depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
2.470000 439.773300 444.725891 449.336850 449.531753 454.850818 460.434502
2.520000 447.116322 450.799583 455.465251 456.529566 461.813686 474.285248
2.570000 452.316464 456.236729 461.770825 463.019251 467.724115 487.606615
2.620000 457.897276 462.557006 467.820313 469.476142 473.291304 509.249601
2.670000 465.211108 470.288610 475.212310 477.779520 480.606276 516.377390
2.720000 479.077858 483.452151 496.667856 497.193127 513.038672 525.844396
2.770000 499.294231 508.295998 516.976934 518.560138 530.911464 535.924441
2.820000 510.400990 520.021397 534.363371 531.777503 539.812518 544.518359
2.870000 518.234167 534.036539 541.384970 539.893829 546.494946 550.272632
2.920000 527.661077 541.015463 547.165209 546.229292 551.896950 555.841430
2.970000 540.516537 547.666820 552.530518 552.351318 557.467299 563.301853
3.020000 547.921793 554.054273 558.655695 560.098417 567.373442 577.712849
3.070000 553.413403 558.010541 563.247016 566.065120 580.093839 586.297130
3.120000 557.989705 562.380869 567.952546 571.399390 586.378769 591.213219
3.170000 562.764150 567.164211 574.216311 577.107972 591.436703 595.901689
3.220000 566.294159 571.983242 583.181585 583.805964 595.665224 600.212723
3.270000 569.777443 578.066406 591.625571 590.117443 600.493547 605.008601
3.320000 574.690633 583.556001 597.340523 595.522528 605.039976 608.551822
3.370000 580.098273 592.695777 602.553208 600.845410 609.163615 612.456247
3.420000 590.017767 600.056313 607.337417 606.371457 613.067336 616.057735
3.470000 599.296398 608.595548 613.115117 612.419902 617.010354 619.345685
3.520000 608.673773 616.257658 619.305949 618.701669 621.578575 623.594766
3.570000 621.555045 623.954822 626.352760 626.862563 629.652149 635.288016
3.620000 625.835351 628.419305 631.471938 632.056891 635.904575 641.136785
3.720000 633.224780 636.693632 640.695703 641.086768 645.357927 651.117529
3.770000 637.941252 641.693327 645.961048 646.496059 651.203278 658.443064
3.820000 643.384168 647.622211 653.156977 653.806434 660.516623 668.019161
3.870000 650.915545 655.523197 663.887613 664.078934 672.123404 679.618952
