depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
33.420000 375.831859 380.612775 384.716986 384.317066 388.033712 390.415921
33.545000 377.571892 382.269090 386.156535 385.730610 389.260906 391.344672
33.670000 379.434451 383.856686 387.622434 387.118203 390.431946 392.353345
33.795000 381.488470 385.493831 389.083736 388.536092 391.565355 393.456014
33.920000 383.442785 386.966128 390.416535 389.932032 392.719698 394.482894
34.045000 385.274819 388.567732 391.730238 391.357334 393.979917 395.600321
34.170000 387.125694 390.313682 393.178167 392.769273 395.141318 396.671005
34.295000 388.585019 391.831562 394.484517 394.071131 396.263292 397.677759
34.420000 390.628864 393.440127 395.677112 395.407319 397.412794 398.677993
34.545000 392.529374 395.194514 396.975742 396.809954 398.522959 399.754767
34.670000 394.587496 396.758604 398.305960 398.183687 399.701527 400.817834
34.795000 396.316419 398.015179 399.445810 399.374803 400.821859 401.922553
34.920000 397.725196 399.272310 400.512421 400.515247 401.923212 402.952754
35.045000 398.730730 400.256679 401.537227 401.529329 402.892728 403.994672
35.170000 399.927983 401.170612 402.557648 402.509009 403.798631 404.984487
35.295000 400.851873 402.109859 403.534291 403.470982 404.704387 406.080274
35.420000 401.779640 403.106486 404.456262 404.429897 405.760110 407.070125
35.545000 402.782173 404.021325 405.330109 405.360539 406.717320 408.069477
35.670000 403.771492 404.956100 406.229016 406.318404 407.719172 409.397958
35.795000 404.712536 405.910560 407.231758 407.327371 408.785919 410.367563
35.920000 405.490171 406.895062 408.294134 408.368981 409.835181 411.562717
36.045000 406.536543 407.974290 409.459058 409.534837 411.080836 412.968597
36.170000 407.618050 409.110641 410.643178 410.799328 412.457703 414.683496
36.295000 408.957054 410.364989 412.002905 412.224017 414.113713 416.717070
36.420000 410.045692 411.738908 413.553045 413.733240 415.856671 418.524013
36.545000 411.186959 413.040366 415.117524 415.322006 417.800947 420.498555
36.670000 412.404057 414.249252 416.892422 416.944790 419.488360 422.351088
36.795000 413.819204 415.752234 418.617415 418.650722 421.413322 423.960457
36.920000 415.270756 417.379378 420.551377 420.459913 423.210467 425.744866
37.045000 417.126261 419.679270 422.735672 422.617915 425.386657 428.064252
37.170000 419.153388 421.721684 425.057860 424.851488 427.664819 430.441479
37.295000 421.630012 424.459903 427.298822 427.104527 429.563956 431.956443
37.420000 424.812915 427.148023 429.339782 429.338066 431.526881 433.667910
37.545000 426.570724 428.890872 430.976679 430.954311 432.969646 435.405592
37.670000 428.320350 430.407354 432.401280 432.398373 434.361723 436.587050
37.795000 429.582662 431.628056 433.637066 433.667491 435.682137 437.936364
37.920000 431.059949 432.842307 434.789297 434.872291 436.952976 439.136932
38.045000 432.193020 434.093287 435.961987 436.116949 438.255999 440.409107
38.170000 433.558552 435.295829 437.164735 437.362512 439.545180 441.663527
38.295000 434.668357 436.526611 438.399417 438.604143 440.858011 443.065512
38.420000 435.890340 437.730759 439.685882 439.873533 442.064742 444.507670
38.545000 436.991718 438.940552 440.997172 441.204808 443.470200 446.279288
38.670000 438.185271 440.113183 442.321444 442.523539 444.806351 448.012861
38.795000 439.569533 441.261917 443.767208 443.973443 446.530669 450.026715
38.920000 440.527815 442.568609 445.178435 445.459294 448.392448 452.482958
39.045000 441.855458 443.742214 446.624300 447.046684 450.355453 454.696649
39.170000 443.183526 445.216865 448.233273 448.664864 452.137706 456.984293
39.295000 444.923267 446.880413 450.054465 450.579822 454.291701 459.162968
39.420000 446.156039 448.514800 452.128131 452.510166 456.371800 461.098746
39.545000 447.472345 450.360495 454.245462 454.503336 458.747680 462.928459
39.670000 449.216555 452.238681 456.584655 456.625670 461.165813 464.994624
39.795000 450.735313 454.242268 458.891197 458.788192 463.271303 466.748421
39.920000 452.570917 456.385472 461.035943 460.936843 465.354552 468.753436
40.045000 454.315201 458.608343 463.374322 463.124983 467.562076 470.885242
40.170000 456.299779 460.970296 465.531176 465.256009 469.434640 472.779479
40.295000 458.539392 463.561005 467.707039 467.465688 471.316196 474.660054
40.420000 461.195545 466.031791 470.039480 469.679336 473.257203 475.989388
40.545000 464.032741 468.425471 472.481437 471.941294 475.341170 477.697542
40.670000 466.526819 471.151253 474.691989 474.211457 477.228791 479.394836
40.795000 469.681238 473.763276 476.870460 476.473882 479.142034 481.145706
40.920000 472.459317 476.397537 478.800956 478.540922 480.870205 482.692506
41.045000 474.462225 478.406293 480.497398 480.327557 482.463803 484.452437
41.170000 477.175524 480.058126 481.944036 481.936540 483.965846 486.280941
41.295000 478.916855 481.384114 483.279136 483.362954 485.337689 488.163479
41.420000 480.615503 482.711649 484.597027 484.746838 486.854106 489.777559
41.545000 481.857844 483.836772 485.833731 486.038297 488.189779 491.646744
41.670000 483.288030 485.106519 487.079188 487.341256 489.558285 493.082638
41.801667 484.880272 486.466085 488.458398 488.803879 491.280637 495.168761
41.933333 485.893539 487.790224 489.885516 490.238418 492.790913 496.692244
42.065000 487.159221 489.057034 491.249049 491.648688 494.446909 498.076332
42.196667 488.408123 490.352865 492.651776 493.036033 495.966153 499.303193
42.328333 489.528961 491.668980 494.089016 494.435049 497.348713 500.952406
42.460000 490.698095 492.996897 495.463365 495.846145 498.975137 502.066751
42.600000 492.178162 494.390822 496.989132 497.369848 500.590014 503.953722
42.740000 493.730916 495.940678 498.714897 499.016619 502.085981 505.692560
42.880000 495.285166 497.516984 500.316026 500.647805 503.867041 507.795882
43.020000 496.823516 499.195937 501.995352 502.333847 505.288129 510.050432
43.160000 498.393321 501.010474 503.758997 504.103113 507.068151 512.282898
43.300000 500.408574 502.912576 505.504690 505.914165 509.012337 514.279504
43.425000 502.184368 504.563473 507.304503 507.674170 510.629379 516.061254
43.550000 503.916250 506.417285 509.142818 509.562269 512.693825 517.567848
43.675000 505.331909 508.036027 510.992886 511.347714 514.635441 519.234518
43.800000 506.869532 509.891194 513.033921 513.201065 516.613658 520.960020
43.925000 508.325524 511.716928 515.012396 515.113809 518.601384 522.858356
44.050000 509.826956 513.572370 516.922820 516.917882 520.472934 524.404669
44.175000 511.694276 515.331693 518.814332 518.788062 522.245188 525.765355
44.300000 513.363101 517.099773 520.707124 520.643802 523.904088 527.408186
44.425000 514.987699 518.709286 522.561436 522.369727 525.553831 529.291339
44.550000 516.994642 520.573218 524.246668 524.110093 527.253628 530.812581
44.653333 518.425461 522.191987 525.655763 525.584583 528.944270 532.227769
44.756667 519.847310 523.692989 527.108910 527.071040 530.298420 533.415583
44.860000 521.532413 525.340147 528.691385 528.566538 531.573374 534.682361
44.985000 523.617676 527.398701 530.503662 530.413500 533.317899 536.587141
45.110000 526.294351 529.623792 532.361084 532.357471 535.247683 538.628072
45.235000 528.666000 531.693768 534.173829 534.364884 537.386363 540.543072
45.360000 531.054307 533.329282 535.986839 536.223219 539.139972 542.601175
45.485000 532.555822 534.882708 537.718043 537.956962 541.084638 544.749252
45.610000 534.017382 536.473076 539.374961 539.685074 542.995923 546.283960
45.735000 535.403925 538.001234 541.116726 541.259965 544.638146 547.500902
45.860000 536.981814 539.506172 542.775397 542.855752 546.203227 548.992088
45.985000 538.311241 541.065566 544.294472 544.334403 547.641451 550.571311
46.110000 539.601721 542.531832 545.940751 545.875417 549.054303 551.702372
46.235000 540.931639 544.121405 547.609070 547.418465 550.561939 553.457724
46.360000 542.303964 545.928571 549.070238 548.965910 551.995783 554.892144
46.485000 544.119278 547.558451 550.637540 550.568200 553.551613 556.591687
46.610000 545.869138 549.414498 552.292095 552.244041 555.045587 558.060549
46.735000 547.963990 551.151854 553.987132 553.916988 556.669902 559.791667
46.860000 549.793364 552.878479 555.723590 555.667588 558.430010 561.560356
46.985000 551.725315 554.535628 557.363376 557.385721 560.206292 563.234265
47.110000 553.945394 556.314896 559.244730 559.214051 561.897325 564.928952
47.235000 555.707740 558.295889 561.175579 561.134808 563.944791 566.867417
47.360000 557.997817 560.116897 563.196355 563.068086 565.795733 568.324118
47.485000 559.473274 562.053145 565.157613 565.000026 567.794297 569.987678
47.610000 561.503132 564.124787 566.996099 566.868514 569.490635 571.537276
47.735000 563.461176 566.303285 569.198749 568.886129 571.280931 573.124173
47.860000 565.723405 568.666531 571.165689 570.887506 573.095381 575.247877
47.985000 567.961735 570.670530 572.856515 572.673611 574.639938 576.665184
48.110000 570.292604 572.554411 574.449659 574.409457 576.268069 578.188907
48.235000 572.110942 574.111737 575.940111 575.956986 577.766468 579.937309
48.360000 574.136701 575.776227 577.440307 577.631690 579.449926 581.893549
48.485000 576.058336 577.630176 579.464829 579.750524 581.918086 584.813318
48.610000 578.095822 579.730492 581.803195 582.009759 584.279591 587.240493
48.735000 579.662500 581.460181 583.720072 583.966676 586.362731 589.348231
48.860000 581.321471 583.215414 585.736984 585.898426 588.623589 591.333406
48.985000 582.768679 584.935231 587.586890 587.794935 590.577415 594.000447
49.110000 584.341423 586.897131 589.549889 589.646880 592.234446 596.086802
49.235000 585.969657 588.663780 591.517791 591.659190 594.594123 598.371033
49.360000 587.789171 590.574866 593.681839 593.731355 596.842854 600.262804
49.485000 589.563253 592.464425 595.637968 595.726836 599.165622 602.349565
49.610000 591.184058 594.131046 597.727621 597.626020 601.140851 603.854083
49.735000 592.879413 595.942604 599.707722 599.606392 603.166636 605.773593
49.860000 594.771877 597.905919 601.661376 601.484846 604.985974 607.295836
49.985000 596.597146 599.741627 603.702315 603.289907 606.670715 608.812546
50.110000 598.540924 601.960244 605.511386 605.161145 608.269482 610.379150
50.235000 600.485004 604.110963 607.318059 606.916007 609.670785 611.572723
50.360000 602.466365 606.329937 609.031972 608.635175 610.985451 612.706621
50.485000 604.366866 607.997356 610.404558 610.102396 612.226923 613.925506
50.610000 606.744873 609.349515 611.629639 611.446324 613.476504 615.075870
50.735000 608.262147 610.805369 612.843801 612.695534 614.606271 616.161737
50.860000 609.904532 612.145935 614.110061 613.989543 615.848376 617.353489
50.985000 611.360319 613.494832 615.454325 615.367102 617.213352 618.762798
51.110000 612.940740 615.121249 616.909201 616.843381 618.587895 620.196554
51.235000 615.208811 617.201640 618.988074 618.926003 620.705406 622.287894
51.360000 617.537820 619.530979 621.059518 621.070708 622.675907 624.188619
51.485000 619.547071 621.402261 622.961777 622.960845 624.576477 626.207562
51.610000 621.653846 623.228754 624.647168 624.726168 626.247079 628.178099
51.735000 622.977492 624.574896 626.193227 626.263568 627.957567 629.970753
51.860000 624.171484 625.805629 627.518378 627.669172 629.511875 631.701521
52.000000 625.329141 627.040021 628.875728 629.031115 630.910071 633.494565
52.140000 626.698083 628.183732 630.173065 630.341106 632.443689 634.870313
52.280000 627.897207 629.410630 631.568225 631.643404 633.743094 636.338771
52.360000 628.646910 630.162373 632.270468 632.427292 634.587760 637.139561
52.445000 629.344110 631.014481 633.118551 633.269641 635.471032 637.845588
52.530000 630.202350 631.955091 634.038033 634.131317 636.304765 638.639913
52.610000 630.854361 632.757464 634.975710 634.956584 637.115894 639.626441
52.735000 631.832081 633.870743 636.162916 636.189852 638.452344 640.956373
52.860000 632.914496 635.151764 637.380637 637.395598 639.731985 642.276872
52.945000 633.833965 635.964991 638.200506 638.239996 640.632959 643.053880
53.030000 634.570066 636.871750 639.016644 639.079971 641.590327 643.684233
53.070000 634.948493 637.261501 639.421216 639.477065 641.911759 644.104922
53.175000 635.952588 638.293321 640.470465 640.491958 642.855277 645.050664
53.280000 636.875402 639.370009 641.429672 641.510453 643.877520 646.271693
53.300000 637.127658 639.543991 641.668959 641.715036 644.133288 646.423959
53.415000 638.236551 640.735345 642.695641 642.864285 645.186126 647.471802
53.530000 639.235547 641.825658 643.930811 644.002887 646.257768 648.574802
53.550000 639.579606 642.014499 644.115024 644.206354 646.494368 648.784033
53.665000 640.772104 643.008145 645.170612 645.296455 647.652135 649.805768
53.780000 641.676408 643.997389 646.372410 646.433165 648.866813 651.099730
53.800000 641.911733 644.209116 646.559847 646.639437 649.119145 651.311834
53.925000 643.340331 645.379331 647.758802 647.829159 650.437216 652.764788
54.050000 644.321702 646.509839 648.938768 649.042266 651.676133 654.180468
54.175000 645.487510 647.561303 650.097699 650.206273 652.893650 655.908376
54.300000 646.584004 648.655000 651.202904 651.408533 654.246205 657.193776
54.425000 647.628311 649.783892 652.351237 652.636250 655.623939 658.598195
54.550000 648.604917 650.826376 653.669387 653.904192 656.973560 660.097898
54.675000 649.558689 652.010550 655.172358 655.219095 658.340049 661.513681
54.800000 650.666362 653.110924 656.441795 656.493265 659.846664 662.889510
54.925000 651.669702 654.328117 657.661024 657.732268 661.148980 664.099259
55.050000 652.769842 655.567920 658.969002 659.021505 662.380113 665.505384
55.175000 653.799591 656.780935 660.200096 660.272463 663.561373 666.969405
55.300000 655.172235 658.103404 661.646085 661.608394 665.019338 667.950893
55.425000 656.572472 659.491216 663.072720 662.989631 666.450417 669.226505
55.550000 657.813627 660.978234 664.496072 664.397890 667.904430 670.504168
55.675000 658.999481 662.208110 665.863847 665.775807 669.238540 671.813069
55.800000 660.391545 663.574157 667.227346 667.121894 670.629143 673.332260
55.925000 662.011901 665.031316 668.609578 668.475474 671.762059 674.631766
56.050000 663.246149 666.731322 670.037364 669.883053 673.009882 675.983323
