depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
56.235000 302.421368 305.285190 308.354036 308.626241 312.355197 314.895806
56.360000 303.457163 306.411361 309.243490 309.598634 313.177430 315.579273
56.485000 304.725063 307.563106 310.365797 310.642426 314.100129 316.339674
56.610000 306.017326 308.708263 311.440893 311.640994 314.975037 317.061491
56.735000 307.202946 309.873705 312.557659 312.685555 315.847991 317.848218
56.860000 308.419102 310.892888 313.648491 313.709323 316.653044 318.475257
56.985000 309.533317 312.078087 314.764557 314.693724 317.432785 319.317127
57.110000 310.606966 313.147551 315.760647 315.697344 318.322431 319.985990
57.235000 311.592619 314.303670 316.872149 316.693582 319.118741 320.850022
57.372500 312.894793 315.397509 317.912000 317.726067 319.899206 321.528935
57.510000 314.081470 316.773344 318.972205 318.769919 320.717455 322.399155
57.647500 315.619132 318.040221 320.042154 319.841666 321.561855 323.119777
57.785000 316.915424 319.381690 321.009383 320.893937 322.456501 323.860857
57.885000 317.940055 320.173454 321.700409 321.596343 323.058348 324.402363
57.985000 318.846493 320.960827 322.357736 322.300419 323.687404 325.054447
58.085000 320.051182 321.745442 323.091659 323.077333 324.443741 325.696629
58.185000 321.315118 322.665520 323.924536 323.900031 325.200054 326.444906
58.285000 322.257756 323.486340 324.684087 324.677151 325.885665 327.164776
58.385000 323.241316 324.260430 325.441235 325.430413 326.553902 327.733517
58.485000 323.930350 324.935143 326.147746 326.110519 327.257964 328.246187
58.585000 324.611897 325.587837 326.770407 326.752427 327.852898 328.926707
58.685000 325.213580 326.211697 327.421693 327.371618 328.445109 329.463482
58.785000 325.862700 326.851490 328.008611 327.975943 329.030155 330.033574
58.885000 326.522301 327.573161 328.650759 328.626554 329.702896 330.605316
58.985000 327.185813 328.242957 329.313227 329.285312 330.324786 331.177038
59.085000 327.912659 328.916641 330.000237 329.962369 330.981014 331.916411
59.185000 328.691161 329.709245 330.770131 330.756441 331.821782 332.789496
59.285000 329.590619 330.567993 331.599280 331.592964 332.621738 333.648244
59.385000 330.346654 331.455643 332.528290 332.526619 333.611313 334.863289
59.485000 331.240145 332.327066 333.396238 333.427386 334.504355 335.715198
59.618333 332.453194 333.397693 334.630486 334.680171 336.052928 337.298130
59.751667 333.306108 334.524113 335.913781 335.896922 337.219375 338.483262
59.885000 334.608372 335.852054 337.181928 337.108589 338.293173 339.604833
59.985000 335.247779 336.618007 337.978490 337.906611 339.101896 340.553795
60.085000 336.147922 337.473726 338.732233 338.675443 339.782027 341.147897
60.185000 336.792959 338.099053 339.322689 339.286294 340.354326 341.847120
60.285000 337.476692 338.773467 339.866104 339.873680 340.942125 342.296022
60.410000 338.175087 339.509915 340.504170 340.560502 341.658532 343.000625
60.535000 339.054197 340.174539 341.138058 341.212858 342.312467 343.595681
60.635000 339.442989 340.720721 341.641743 341.724816 342.840326 344.189523
60.735000 339.972849 341.249846 342.131355 342.229006 343.323364 344.725928
60.835000 340.405467 341.754249 342.611495 342.731502 343.805300 345.227959
60.935000 340.999416 342.257634 343.152177 343.257811 344.387421 345.721476
61.035000 341.455895 342.738215 343.654941 343.770732 344.948804 346.183827
61.135000 341.965674 343.250169 344.169433 344.309035 345.528653 347.118055
61.235000 342.493164 343.712086 344.687289 344.847531 346.136394 347.664347
61.335000 343.023697 344.220490 345.208216 345.405501 346.724235 348.346100
61.460000 343.762164 344.843186 345.881933 346.083953 347.439974 349.076084
61.585000 344.472938 345.449253 346.496471 346.759564 348.199453 349.840156
61.710000 345.057091 346.086919 347.152079 347.453341 349.014096 350.658426
61.835000 345.712047 346.703292 347.807843 348.128682 349.873119 351.326927
61.935000 346.198898 347.230691 348.351414 348.692835 350.446367 351.861444
62.035000 346.776924 347.756019 348.976143 349.285329 351.166190 352.386484
62.135000 347.236635 348.283594 349.623678 349.873264 351.814374 353.033130
62.235000 347.843484 348.836815 350.273702 350.463332 352.408213 353.620660
62.335000 348.406717 349.396193 350.877918 351.046272 352.930150 354.069467
62.435000 348.942077 349.996518 351.481868 351.614795 353.473005 354.489661
62.535000 349.425642 350.566500 352.092831 352.169503 354.003956 354.912635
62.635000 349.979688 351.079570 352.654087 352.721804 354.488501 355.473996
62.735000 350.582450 351.651067 353.236584 353.284631 354.988947 355.943159
62.835000 351.138692 352.260756 353.812006 353.852008 355.479774 356.465621
62.935000 351.636207 352.842474 354.380224 354.398332 355.966103 356.970504
63.035000 352.115798 353.355312 354.948688 354.924783 356.449908 357.369570
63.135000 352.708748 353.939818 355.518161 355.452783 356.897975 357.917676
63.235000 353.239498 354.478936 356.009339 355.954581 357.403606 358.412685
63.335000 353.734077 354.973596 356.541104 356.451247 357.836164 358.948397
63.435000 354.227366 355.493234 357.137619 356.966645 358.302421 359.556924
63.535000 354.732723 355.996838 357.637539 357.469025 358.797385 360.012716
63.635000 355.185496 356.559559 358.113068 357.956633 359.257526 360.533965
63.735000 355.727063 357.065724 358.605535 358.461714 359.746356 361.114859
63.835000 356.276799 357.625200 359.078614 358.997546 360.289624 361.687582
63.935000 356.810130 358.137694 359.598075 359.517456 360.794618 362.371860
64.035000 357.299435 358.691863 360.072688 360.053799 361.343791 362.867697
64.135000 358.018243 359.196248 360.613991 360.595047 361.921278 363.336971
64.235000 358.438761 359.694007 361.128931 361.122305 362.477663 363.896061
64.335000 359.037761 360.252955 361.658660 361.688697 363.111190 364.453667
64.435000 359.580756 360.831580 362.226308 362.268416 363.685689 365.261830
64.535000 360.157901 361.395226 362.764069 362.832344 364.267072 365.813032
64.635000 360.742980 361.974777 363.374348 363.432499 364.924460 366.570404
64.735000 361.261267 362.531333 363.982813 364.067998 365.555867 367.383717
64.835000 361.823534 363.150290 364.588478 364.702430 366.221703 367.932571
64.935000 362.375240 363.781453 365.296102 365.380472 366.977900 368.736015
65.035000 362.946005 364.332544 365.985970 366.046350 367.782479 369.824098
65.135000 363.469341 364.892869 366.605113 366.709999 368.519293 370.456734
65.235000 363.975910 365.452782 367.323649 367.415354 369.297764 371.644033
65.335000 364.578189 366.056959 367.996173 368.091995 370.024004 372.484119
65.435000 365.091773 366.682675 368.661645 368.787728 370.811055 373.326434
65.535000 365.552269 367.313789 369.320618 369.486002 371.587483 374.152837
65.635000 366.022466 368.019188 369.998498 370.172100 372.332081 375.220511
65.735000 366.692497 368.673383 370.771888 370.887289 373.086014 376.056412
65.835000 367.271772 369.347083 371.435029 371.605067 373.972576 376.788235
65.935000 368.094472 370.010539 372.158839 372.364633 374.801230 377.537406
66.035000 368.588204 370.805348 372.932411 373.149420 375.789179 378.481638
66.135000 369.421971 371.449004 373.753974 373.933276 376.631305 379.353850
66.235000 370.189313 372.182350 374.477428 374.731843 377.534923 380.140166
66.335000 370.808799 373.045132 375.199313 375.475178 378.187073 380.892800
66.460000 371.846610 373.954144 376.184445 376.450881 379.077166 381.903577
66.585000 372.561245 374.903570 377.296157 377.432532 380.088512 382.824974
66.685000 373.192956 375.654323 378.130958 378.190465 380.827472 383.615613
66.785000 373.983564 376.453361 378.805575 378.904672 381.607035 384.288975
66.885000 374.792079 377.139421 379.556798 379.658724 382.357022 384.932164
66.985000 375.507153 377.765262 380.372399 380.396341 383.044670 385.677876
67.085000 376.091443 378.565773 381.068777 381.136000 383.792293 386.479309
67.185000 377.014250 379.258431 381.837607 381.901804 384.725657 387.249265
67.285000 377.948629 380.100918 382.635773 382.681557 385.449898 387.850240
67.385000 378.573626 380.961631 383.416546 383.494987 386.197516 388.461704
67.485000 379.505755 381.860411 384.168493 384.338336 387.072891 389.075933
67.585000 380.308944 382.774209 385.155298 385.227676 387.875385 389.877289
67.685000 381.087493 383.685624 386.103380 386.157490 388.824995 390.689392
67.810000 382.523344 384.795608 387.444111 387.388406 389.908715 391.901348
67.935000 383.916693 385.981490 388.589494 388.596546 391.151036 393.121475
68.060000 385.008616 387.271737 389.952219 389.834103 392.335124 394.190999
68.185000 386.342411 388.604960 391.198548 391.087793 393.445763 395.393049
68.285000 387.199371 389.517024 392.183024 391.965505 394.263558 396.280491
68.385000 388.034919 390.536661 393.076547 392.890263 395.112455 397.197922
68.485000 389.018038 391.472678 394.077111 393.854673 396.051987 397.870186
68.585000 390.000309 392.366146 395.083714 394.810626 396.989663 398.649060
68.685000 390.989961 393.691112 396.218890 395.945115 398.130973 399.727373
68.785000 392.329076 395.001472 397.440159 397.146786 399.137262 400.605588
68.918333 394.470695 396.962379 399.057747 398.900310 400.730253 402.509246
69.051667 396.879734 398.737581 400.677832 400.542646 402.257412 403.909009
69.185000 399.200058 400.739593 402.261240 402.232390 403.725690 405.354120
69.285000 400.345072 401.696267 403.192391 403.186085 404.687375 406.172669
69.385000 401.242665 402.641710 404.007424 404.066061 405.498203 407.045534
69.485000 402.029934 403.378808 404.828410 404.878594 406.351744 408.162470
69.585000 402.652616 404.109793 405.574553 405.640197 407.184072 408.873266
69.715000 403.604072 405.051479 406.610577 406.685331 408.313592 410.267066
69.845000 404.620929 406.029076 407.618241 407.701621 409.413160 411.361118
69.975000 405.484823 406.976597 408.643129 408.709489 410.464449 412.154801
70.105000 406.538629 407.913358 409.663302 409.712071 411.508579 413.364237
70.235000 407.579227 408.941708 410.713541 410.741254 412.437573 414.216324
70.335000 408.335813 409.787617 411.653210 411.652222 413.375185 415.254835
70.435000 409.269164 410.724700 412.528589 412.571803 414.348554 416.215719
70.535000 410.154483 411.650618 413.444132 413.514581 415.260875 417.215249
70.635000 411.089107 412.731602 414.466145 414.523401 416.238652 418.349286
70.735000 411.955752 413.684574 415.536599 415.556876 417.350828 419.459259
70.835000 412.889763 414.749222 416.587294 416.601231 418.440536 420.447183
70.935000 413.867201 415.640628 417.502256 417.528995 419.423185 421.391077
71.035000 414.696269 416.539616 418.431656 418.451143 420.283338 422.555174
71.135000 415.605503 417.541128 419.400429 419.383492 421.265462 423.332886
71.235000 416.570671 418.511123 420.268315 420.312382 422.223389 424.079734
71.335000 417.395612 419.444012 421.154728 421.245157 423.161833 424.867850
71.435000 418.177461 420.361308 422.169103 422.210615 424.224586 425.922906
71.535000 419.355697 421.373300 423.282497 423.283262 425.205866 426.944711
71.668333 421.201922 423.200842 425.210106 425.188808 427.248694 428.987920
71.801667 423.200319 425.180075 427.232252 427.161755 429.188718 430.879717
71.935000 425.892130 427.363880 429.184237 429.118672 430.818012 432.247021
72.035000 426.965877 428.471332 430.238234 430.166019 431.670922 433.056902
72.135000 428.086250 429.548578 431.207537 431.077323 432.415726 433.707475
72.235000 428.921910 430.492248 432.103185 431.904867 433.161060 434.169241
72.335000 429.969577 431.380113 432.841093 432.683807 434.042663 434.668345
72.435000 430.861491 432.088649 433.395157 433.385592 434.712621 435.144579
72.535000 431.603718 432.607020 433.856754 434.049503 435.438184 435.464245
72.535500 431.606504 432.609627 433.859600 434.052554 435.442154 435.468043
72.635250 431.986638 433.175387 434.373034 434.514265 435.726607 436.215024
72.735000 432.380052 433.699655 434.836588 434.953421 436.131405 436.999141
72.835000 432.744962 434.254068 435.281325 435.391828 436.576802 437.459064
72.935000 433.124973 434.780690 435.756893 435.836703 436.988193 438.029198
73.035000 433.536054 435.275421 436.213542 436.287894 437.448570 438.500784
73.177857 434.172148 435.878935 436.875928 436.906101 438.065964 439.378310
73.320714 434.727983 436.441273 437.540378 437.532077 438.661564 440.016756
73.463571 435.306598 437.031019 438.146682 438.127156 439.301693 440.754059
73.606429 435.803045 437.624246 438.730148 438.739889 439.984752 441.530099
73.749286 436.452571 438.218985 439.331485 439.361655 440.617085 442.320456
73.892143 436.991006 438.816421 439.940479 439.987632 441.282606 443.125871
74.035000 437.514929 439.366211 440.578958 440.627703 442.005249 443.795618
74.168333 438.044587 439.974339 441.175717 441.241029 442.712200 444.542286
74.301667 438.595524 440.576269 441.746699 441.848104 443.275516 445.270022
74.435000 439.172059 441.099446 442.359919 442.486389 444.031189 445.965354
74.510000 439.674889 441.471517 442.729818 442.885523 444.555072 446.379675
74.585000 440.058833 441.857517 443.131173 443.301325 444.988026 446.859004
74.705000 440.585537 442.465512 443.776120 443.996300 445.830697 447.733305
74.825000 441.077451 443.075691 444.461267 444.713178 446.612692 448.629443
74.945000 441.872498 443.641425 445.161799 445.428332 447.404157 449.545554
75.065000 442.579442 444.300745 445.910690 446.133917 448.128708 450.330740
75.185000 443.257181 444.948159 446.597530 446.848670 448.985202 451.230242
75.285000 443.673197 445.482999 447.307319 447.512006 449.675606 451.856658
75.385000 444.234772 446.081256 447.944839 448.179094 450.428080 452.632186
75.485000 445.244217 446.738082 448.627885 448.878287 451.239205 453.439642
75.585000 445.840236 447.327354 449.338512 449.565790 451.920336 454.184844
75.685000 446.511249 447.934186 450.084248 450.272782 452.681145 454.909984
75.785000 447.064546 448.669156 451.013231 451.054654 453.562976 455.573101
