depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
3.731000 299.481482 304.316384 308.646794 308.871939 313.677562 318.033560
3.828000 308.391114 312.149247 316.813243 316.467072 320.645441 323.083850
3.924000 314.127318 319.059510 324.214215 323.277218 326.860506 329.063102
4.021000 318.971608 324.063123 329.045329 328.055305 331.301241 332.846906
4.117000 323.507715 330.892173 333.217374 332.884177 335.448960 337.173384
4.214000 334.504067 336.420280 338.824539 338.892202 341.207999 344.155671
4.310000 338.037345 340.159814 342.651730 342.852890 345.652013 348.397940
4.407000 341.064417 343.695531 346.266917 346.540402 349.545694 352.974044
4.496500 344.191973 346.899911 349.789825 349.972407 353.124774 356.328695
4.586000 347.273101 350.043269 353.154069 353.342649 356.611012 359.493555
4.681000 350.726053 353.894197 357.039155 356.994067 360.047936 363.175022
4.776000 355.070179 357.832597 361.004616 361.182326 364.337779 368.681253
4.871000 359.450321 362.326290 365.816351 366.290969 370.409303 374.676215
4.966000 364.735643 368.217547 373.351751 373.606863 378.789160 384.041065
5.061000 371.866937 377.505885 383.030756 382.624889 387.714986 391.533023
5.156000 380.170412 385.419805 390.497208 389.791125 393.769777 396.022959
5.251000 390.371743 393.910760 396.318733 395.957878 398.021709 399.650246
5.346000 396.724125 398.526469 400.100918 400.011307 401.566749 402.851300
5.418000 399.472854 400.809465 402.283807 402.283205 403.784428 405.274896
5.513000 402.074332 403.471853 404.851227 404.882009 406.325812 408.043329
5.609000 404.448040 405.951246 407.487322 407.473654 408.941972 410.846139
5.706000 407.115342 408.672184 410.336790 410.309359 411.952590 413.996877
5.802000 409.825829 411.617981 413.444470 413.480067 415.288885 417.517984
5.898000 412.812450 414.783385 416.878154 416.938734 419.029450 421.672891
5.995000 416.090855 418.493296 421.028138 420.956774 423.460127 425.898396
6.091000 420.473254 423.078553 425.757281 425.699259 428.286117 430.837160
6.187000 424.584048 427.371255 430.424094 430.597564 433.908240 437.415793
6.283000 428.184602 431.382348 435.010479 435.043020 438.639412 441.941670
6.380000 432.077708 435.589070 439.024024 439.084076 442.501001 446.093030
6.476000 436.635763 439.543380 442.784374 442.953459 446.358841 451.044355
6.570000 440.982713 443.663095 446.714859 447.230701 451.170065 455.865055
6.641000 443.685677 446.777679 450.019480 450.682138 455.007132 460.031894
6.760000 447.858996 451.528138 455.877351 456.100341 460.710458 465.849599
6.854000 452.014535 455.839148 460.626023 460.781092 466.075610 469.674004
6.949000 456.407903 460.661529 465.485443 465.427518 470.285052 473.831635
7.043000 461.562132 466.727343 471.251265 470.816517 474.938522 477.930298
7.138000 468.614010 474.155208 477.906036 477.488374 480.749478 484.623572
7.233000 478.345584 481.605337 484.802510 485.224831 488.585313 494.713550
7.327000 483.639071 486.677646 491.135881 491.366808 495.982174 500.445238
7.422000 488.011515 492.199055 497.457103 497.199551 501.404637 506.534633
7.514000 494.311519 498.896753 503.024655 503.614051 507.210283 519.620303
7.602000 500.528364 504.657212 508.052701 509.847941 516.161129 524.869395
7.690000 506.627391 510.399065 514.676901 516.147497 523.603631 530.185209
7.778000 510.781918 517.554322 524.187572 523.788635 530.129872 534.646280
7.866000 515.121045 526.350121 532.794924 531.777530 536.761523 543.288816
7.932000 518.784184 531.744518 537.249960 536.683402 542.148338 548.551579
