depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
5.420000 296.047921 300.991140 304.460332 304.139129 307.260001 311.824621
5.470000 300.688596 304.424364 307.510962 307.451979 310.337741 314.915167
5.500000 303.293059 306.747146 309.513391 309.714848 313.086591 316.771537
5.630000 313.418593 317.568763 320.597440 320.155913 322.722964 324.177246
5.670000 317.040916 320.861033 323.109792 322.747454 324.757151 326.106985
5.730000 321.434722 323.710109 325.751770 325.511099 327.306107 328.680940
5.770000 323.808823 325.495244 327.396309 327.205448 328.864595 330.028976
5.830000 326.014652 328.066229 329.770219 329.550167 330.971878 331.983221
5.870000 327.750991 329.807339 331.349872 331.155747 332.515892 333.468051
5.970000 331.515905 332.695693 334.009055 333.956147 335.147855 336.300907
6.030000 333.509183 334.566114 335.942777 335.886852 337.128283 338.331281
6.080000 335.388519 336.464007 337.782837 337.788565 338.979937 340.532283
6.130000 337.351074 338.749907 340.266025 340.419937 342.066356 344.460440
6.170000 338.818077 340.482418 342.232582 342.540444 344.562074 347.410411
6.230000 341.477411 342.949148 345.093433 345.569003 348.166261 352.363459
6.270000 343.266714 344.953329 347.383556 347.837640 350.888590 354.983355
6.330000 346.068023 348.112019 351.232669 351.524848 355.022562 358.520309
6.370000 347.884028 350.233873 353.691286 353.829262 357.499421 361.024899
6.430000 350.805094 353.465551 357.126504 357.034617 360.336940 363.486622
6.470000 352.845642 355.829135 359.255052 359.173630 362.307890 365.809083
6.530000 356.340664 359.362585 362.506853 362.498085 365.468493 369.326446
6.570000 358.896021 361.929627 364.710354 364.855324 367.901772 371.425208
6.630000 361.828002 365.100329 368.134366 368.185284 371.458278 374.556804
6.670000 363.752343 366.914876 370.223171 370.195888 373.371977 376.514522
6.730000 366.637479 369.898099 373.140863 373.168170 376.427073 379.469236
6.770000 368.740027 371.998964 375.475525 375.375931 378.547344 381.561418
6.830000 371.958999 375.368760 378.879135 378.708683 381.975908 384.652062
6.870000 374.228716 377.691876 380.961474 380.895349 384.135177 386.594659
6.930000 377.803526 380.961168 384.216390 384.027942 387.224389 389.634973
6.970000 380.153940 383.227095 386.610496 386.408114 389.443236 392.067350
7.010000 382.386215 385.733675 388.836973 388.660800 391.627674 394.014576
7.070000 386.710562 389.854441 392.523170 392.496058 395.192792 397.620866
7.160000 392.460760 394.975603 397.329756 397.651895 399.930298 407.307771
7.210000 395.150477 397.577132 399.960183 400.503498 403.183872 409.707654
7.260000 399.946152 402.105279 404.544903 404.936255 408.069018 411.948449
7.310000 403.221064 406.828292 409.743074 409.693433 412.589359 415.448762
7.360000 408.726756 411.290544 413.860531 413.848317 416.567040 419.083174
7.410000 413.255723 415.374364 417.959434 417.913279 420.439213 422.446258
7.460000 416.578324 419.089250 421.496433 421.337008 423.449385 424.924258
7.510000 419.775467 422.093666 424.068979 423.896265 425.620131 426.948857
7.560000 422.426805 424.561273 426.109770 426.048950 427.548542 428.937588
7.610000 424.986901 426.635772 427.967528 427.920501 429.212096 430.514815
7.660000 427.051456 428.449149 429.786793 429.784732 431.078805 432.776341
7.710000 428.804303 430.086078 431.512949 431.526911 432.892204 434.402548
7.760000 430.426647 431.689530 433.085561 433.137030 434.510141 436.320564
7.860000 432.852153 434.409805 435.943567 435.952516 437.518012 439.059482
7.960000 435.538540 437.293637 438.997684 438.982128 440.650057 442.442312
8.010000 437.186865 438.886334 440.529714 440.562009 442.250600 443.942519
8.110000 439.932592 441.840141 443.618130 443.725177 445.568020 448.085619
8.160000 441.515577 443.589542 445.378921 445.533158 447.502672 450.579425
8.210000 443.280786 445.261499 447.214384 447.490588 449.648158 453.481332
8.260000 445.322906 447.166758 449.272946 449.645240 452.210696 455.996296
8.310000 446.984767 449.055690 451.622052 451.885559 454.701676 458.720737
8.360000 448.805713 451.122785 454.010256 454.270960 457.518731 461.308754
8.410000 451.054792 453.398825 456.546007 456.800600 460.350555 464.137378
8.460000 453.046734 455.741030 459.058827 459.311779 462.929946 466.691854
8.510000 455.418387 458.324744 461.854525 462.069278 465.903137 469.316953
8.560000 458.006967 461.056156 464.810961 464.809456 468.673833 471.869817
8.610000 460.184697 463.876584 467.811620 467.647816 471.431191 474.126677
8.660000 463.275589 467.178953 470.934004 470.606158 473.988188 476.342269
8.710000 467.084968 470.550016 474.011819 473.637194 476.507712 478.528914
8.760000 470.955047 474.293557 477.007024 476.772912 479.236231 481.269379
8.810000 474.587773 477.152810 479.426016 479.384922 481.602503 483.724037
8.860000 477.097338 479.658052 481.735443 481.744929 483.912040 486.600932
8.910000 480.163435 482.337776 484.522972 484.662883 486.906583 490.375018
9.010000 484.116530 487.927357 491.462016 491.491572 494.760718 499.527644
9.060000 486.533908 490.707124 496.133604 495.607499 500.051450 503.987894
9.110000 489.608499 493.971910 500.108139 499.219744 503.475219 506.858860
9.210000 502.983909 506.405605 508.986701 508.967917 511.713585 514.731528
