depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
6.510000 300.084380 303.319303 306.204131 306.423794 309.760876 313.390856
6.530000 301.494182 304.621750 307.230760 307.484042 310.630760 314.214131
6.610000 306.877409 309.600332 312.308661 312.370404 315.506320 317.322182
6.650000 309.192017 311.782387 314.748351 314.513071 317.154051 318.874890
6.750000 314.163917 317.046770 319.349611 318.985622 320.793828 322.013371
6.810000 317.752736 320.334476 321.844390 321.641268 322.981165 324.066218
6.850000 320.198311 322.107515 323.296218 323.184681 324.386758 325.402098
6.910000 323.162833 324.235006 325.262046 325.247102 326.297384 327.223799
6.940000 324.192445 325.214936 326.226519 326.195698 327.188899 328.138425
7.010000 325.959911 327.161104 328.184169 328.129470 329.111325 330.058869
7.050000 327.233013 328.388333 329.402499 329.331294 330.263669 331.241066
7.110000 329.089799 330.281681 331.275270 331.229088 332.143335 333.085404
7.150000 330.799449 331.809703 332.704114 332.735139 333.655197 334.727502
7.210000 333.083024 334.106556 335.118265 335.259514 336.349127 337.981953
7.250000 334.763649 335.696786 336.902319 337.179994 338.657590 340.720234
7.310000 336.747562 338.179362 339.929548 340.450721 342.666421 347.306573
7.340000 338.199843 339.704644 341.794642 342.237369 344.622544 349.194813
7.410000 341.055048 343.089231 345.736557 346.147968 349.157804 353.404229
7.450000 342.886707 345.146222 348.279732 348.627934 352.225299 355.826415
7.510000 345.497424 348.387328 351.943609 351.952994 355.523472 358.548515
7.610000 350.262997 353.985392 357.338128 357.131555 360.169173 362.842714
7.630000 351.349291 355.243659 358.486125 358.270362 361.155768 363.737123
7.710000 356.491014 359.914435 362.713164 362.773730 365.569397 369.626322
7.750000 359.198203 362.389570 365.209457 365.322300 368.232769 372.020120
7.810000 363.038759 365.810603 368.945307 369.163584 372.439669 376.739023
7.850000 364.959794 367.915084 371.619294 371.541347 375.103936 378.869144
7.910000 368.314956 371.509052 375.397334 375.344321 379.083653 382.446986
7.940000 369.554913 373.094355 377.142663 377.079995 380.829407 384.294315
8.010000 372.899242 377.339687 381.252140 381.107741 385.135591 387.967340
8.050000 375.518641 379.548902 383.614281 383.585876 387.728847 390.476201
8.110000 380.107846 384.270484 388.381495 387.903455 391.401473 393.810624
8.140000 381.969827 386.250544 390.080290 389.653586 392.902743 395.088512
8.210000 388.719417 391.941773 394.231357 393.977417 396.072158 397.406538
8.250000 391.194947 394.203789 396.092533 395.874979 397.581188 399.026677
8.310000 395.031170 397.055988 398.421019 398.334899 399.685992 400.870286
8.350000 397.236140 398.808529 399.979222 399.980290 401.229700 402.544760
8.410000 399.743096 400.799624 402.002158 402.078081 403.315160 404.755945
8.450000 400.974622 402.045428 403.277765 403.329290 404.559987 406.122241
8.510000 402.787473 403.811876 405.047169 405.128544 406.463882 407.934746
8.540000 403.737820 404.687769 406.040009 406.101049 407.556424 408.926813
8.610000 405.612881 406.742565 408.141813 408.228113 409.736153 411.231604
8.640000 406.595028 407.744482 409.183623 409.326090 410.903224 412.712904
8.710000 408.734188 410.106901 411.693323 411.859241 413.588064 416.033449
8.730000 409.714037 411.027250 412.715957 412.878893 414.674223 417.132829
8.810000 412.919904 415.094238 417.193589 417.363539 419.645757 422.358724
8.910000 417.813713 420.315435 423.052576 422.910373 425.345357 427.581158
8.940000 419.712626 422.289893 424.943368 424.817882 427.200367 429.497713
9.010000 423.709408 426.102033 428.315845 428.259408 430.346306 432.879583
9.050000 426.690778 428.836755 430.838092 430.910532 433.052971 435.374494
9.110000 429.284468 431.752067 434.035329 434.090528 436.371822 438.951625
9.140000 430.332477 433.130574 435.741769 435.604660 437.813533 440.455998
9.210000 432.916819 436.128088 438.795903 438.651468 441.078173 443.464944
9.240000 434.514526 437.426068 439.972243 439.874757 442.253246 444.730679
9.310000 437.463183 440.214686 442.554221 442.538636 444.844517 447.468523
9.340000 438.849658 441.515238 443.722158 443.771732 446.082541 448.874110
9.410000 442.260317 444.469715 446.595815 446.766555 449.032224 452.645102
9.450000 443.812951 445.945328 448.273431 448.443426 450.879965 454.286258
9.510000 445.848877 448.249551 450.810853 451.001069 453.733416 457.153113
9.540000 446.907728 449.259750 452.034266 452.222855 455.222604 458.405228
9.610000 449.373297 451.755040 454.855387 454.977667 458.226960 460.990081
9.650000 450.838677 453.318802 456.589317 456.627590 460.064238 462.439513
9.710000 452.973639 455.621082 459.125252 459.018669 462.294347 464.924270
9.750000 454.286984 457.205847 460.676582 460.593972 463.862485 466.756547
9.810000 456.312614 459.528363 463.216885 462.991029 466.204921 469.355733
9.850000 458.050438 461.365541 464.876519 464.724084 467.877828 470.871495
9.910000 460.814683 464.052283 467.440730 467.283620 470.364184 473.221373
9.950000 462.867051 466.039325 469.274575 469.127519 472.282157 474.731765
10.010000 465.491552 468.735949 471.884799 471.771576 474.763256 476.857142
10.050000 467.604166 470.826104 473.986111 473.779687 476.752981 479.038947
10.110000 470.681020 473.796764 476.970404 476.763538 479.538435 482.280973
10.150000 472.974700 476.575411 479.552082 479.374030 481.945216 485.104991
10.250000 481.601282 484.716388 487.685262 487.519083 490.297740 492.671835
10.310000 485.362772 488.121243 490.853871 490.742943 493.338779 495.783854
10.350000 487.652634 490.459539 492.813788 492.778086 495.096481 497.714489
10.410000 490.516471 493.547241 495.819662 495.795422 498.265199 500.550146
10.510000 494.697643 497.938153 500.482710 500.418522 502.918526 505.391005
10.540000 496.034899 499.594028 502.332480 502.170116 504.749107 507.023706
10.610000 503.218972 505.303755 507.586150 507.737262 510.201553 512.956248
10.650000 505.724793 507.839607 510.116757 510.290439 512.855239 515.487933
10.710000 508.555893 510.730018 513.363413 513.535358 516.244974 519.179616
10.750000 510.371858 512.732581 515.601660 515.679644 518.562665 521.745835
10.810000 512.993423 515.645877 518.935996 518.876102 521.907153 524.711767
10.850000 514.830609 517.807739 520.980722 520.940624 524.004745 526.716836
10.910000 517.639034 520.786641 523.989597 523.848634 526.889043 529.410272
10.950000 519.425829 523.043642 526.147393 525.962200 528.898133 531.313513
11.010000 523.132163 526.257000 529.295751 529.141964 531.804306 534.740720
11.110000 530.142142 532.920399 535.470691 535.965937 539.266121 543.592456
11.140000 532.024151 534.703318 537.673653 538.029522 541.607211 545.232606
11.210000 535.852547 538.214452 541.816436 542.050331 545.921700 549.392999
11.250000 537.908021 540.555361 544.400129 544.404916 548.151757 551.330787
11.340000 542.404130 546.429651 550.267824 549.800349 552.983742 555.274282
11.410000 546.242845 551.523675 554.580390 554.459319 557.438471 560.394042
11.450000 549.221945 553.759455 556.578374 556.515595 559.468919 562.690298
11.550000 556.185756 558.566854 561.373948 561.669286 564.469690 569.458348
11.610000 559.294712 561.910884 564.894764 565.788279 569.424210 578.536050
11.650000 561.285322 564.189047 567.536919 568.831452 574.276337 581.285745
11.710000 564.425753 568.193789 573.029928 574.359920 581.454778 585.840550
11.810000 576.089550 580.723589 585.045438 584.965471 589.356835 594.074416
11.850000 580.125696 583.937592 587.727028 587.862251 591.792079 596.723000
11.910000 584.163363 588.052056 591.183858 591.504561 595.247609 600.136977
11.940000 586.237584 589.892339 592.705436 593.262299 597.223332 601.672952
12.010000 590.452914 593.219707 596.135392 596.795539 600.770676 605.615666
12.050000 592.764184 595.186582 598.400564 599.000463 602.901141 608.563629
12.100000 594.733716 597.421796 600.852633 601.690322 605.722486 614.526744
12.140000 596.390607 599.683532 603.201202 604.064722 608.130191 616.762608
12.200000 599.480877 603.305328 607.777381 608.526487 615.072712 619.164848
12.340000 613.308684 618.406088 621.132438 620.759047 623.262573 625.501377
12.440000 622.327934 624.539415 626.601555 626.607026 628.725462 630.897760
12.525000 625.300385 627.754312 629.839616 629.893203 632.166920 634.404959
12.610000 628.335718 630.756467 632.839539 633.017377 635.440267 638.077358
12.650000 630.126048 632.338639 634.393005 634.606732 636.995612 639.682966
12.710000 632.901207 634.722643 636.888800 637.057093 639.408678 642.254493
12.750000 634.463583 636.406416 638.623281 638.782199 641.235704 644.041213
12.810000 637.083723 639.076082 641.434034 641.627946 644.258451 647.246596
12.910000 640.862384 643.179567 645.793585 645.986913 648.824595 652.041251
12.940000 641.977100 644.679367 647.193001 647.414377 650.197940 653.838201
13.010000 644.929010 647.714777 650.458666 650.617390 653.604932 656.841928
