depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
4.790000 324.273951 326.264742 328.546020 328.261002 330.108293 331.311892
4.840000 326.987744 329.041959 330.586220 330.431195 331.750576 332.850825
4.890000 330.630023 331.727409 332.777861 332.741511 333.781794 334.644736
4.940000 332.538987 333.510983 334.447260 334.488714 335.492791 336.522726
4.990000 334.090909 334.904098 335.966358 335.986226 337.026154 338.106021
5.040000 335.359259 336.253098 337.262357 337.332244 338.448822 339.608822
5.090000 336.582980 337.497003 338.529054 338.583941 339.704602 340.791602
5.140000 337.686073 338.678983 339.755983 339.811753 340.955593 341.933036
5.252500 339.879941 340.975165 342.212947 342.218339 343.425908 344.512821
5.365000 342.133025 343.345979 344.606256 344.613888 345.882449 347.020276
5.477500 344.532240 345.764365 347.018948 347.008639 348.193784 349.540203
5.590000 347.249389 348.332078 349.383216 349.419198 350.555312 351.723361
5.640000 348.513224 349.503629 350.572916 350.609052 351.806335 352.918739
5.690000 349.510662 350.658112 351.743285 351.810636 352.970879 354.104755
5.740000 350.740499 351.827943 352.938123 353.006892 354.247025 355.610062
5.840000 352.610776 353.965201 355.252171 355.281475 356.631345 358.006221
5.890000 353.682339 355.138518 356.493222 356.512258 357.930926 359.342935
5.990000 355.907704 357.441872 358.847200 358.903976 360.393886 362.303191
6.090000 358.188932 359.637601 361.254699 361.372211 362.980790 365.342634
6.140000 359.648397 361.176429 362.748484 362.971406 364.666693 367.550223
6.190000 361.148507 362.801310 364.552167 364.925181 367.146739 370.696067
6.240000 362.886310 364.783297 366.848953 367.428690 370.352415 373.959403
6.290000 365.348917 367.343624 370.174963 370.627069 373.914881 377.840122
6.340000 367.706117 369.888067 373.968618 373.956869 377.795104 381.075646
6.390000 370.504060 373.861980 377.908020 377.808752 381.672055 384.877540
6.440000 374.457432 378.258191 382.043465 382.013961 385.721665 388.911578
6.490000 378.619329 382.373002 386.222249 386.148324 389.916141 392.817227
6.540000 382.066315 386.427599 390.137397 390.091062 393.854545 396.801581
6.590000 388.722827 392.722934 396.054326 395.898173 399.001918 402.478545
6.640000 395.099924 398.989971 402.678544 402.965853 407.258398 410.528528
6.690000 398.164941 403.841618 409.576848 408.680980 412.720139 415.759104
6.740000 402.175187 409.619086 413.335329 412.862223 416.380529 419.303355
6.790000 411.752799 414.540445 417.571703 417.531179 420.574247 423.055498
6.840000 416.380566 419.186924 421.792127 421.625754 424.084216 425.891267
6.890000 419.702650 422.339602 424.511602 424.373504 426.476775 428.020859
6.940000 422.660458 424.807439 426.644067 426.562003 428.300421 429.833251
7.040000 426.851508 428.779499 430.418585 430.412333 432.132678 434.030579
7.090000 428.814707 430.525572 432.208358 432.212555 433.906616 435.857758
7.140000 430.596703 432.295024 433.917207 433.977017 435.782661 437.613296
7.190000 432.385457 434.072370 435.675123 435.781252 437.502547 439.310085
7.240000 434.275373 435.861664 437.471282 437.588813 439.445526 441.209096
7.290000 436.157511 437.619955 439.360140 439.406196 441.153266 443.005319
7.390000 439.408371 441.032854 442.795328 442.893960 444.635314 446.752663
7.440000 441.225561 442.908946 444.652742 444.787074 446.657448 449.236545
7.490000 442.876714 444.768003 446.663049 446.910368 449.006537 452.486297
7.540000 444.540209 446.483495 448.714672 448.978655 451.370965 455.202471
7.590000 446.313826 448.360110 450.877392 451.113500 453.923450 457.640344
7.640000 448.117016 450.441745 453.295301 453.507781 456.659940 460.589984
7.690000 450.136312 452.528939 455.599565 455.932740 459.549778 463.288398
7.740000 452.489362 454.790004 458.144532 458.533591 462.420973 466.194685
7.790000 454.561267 457.707407 461.443179 461.586130 465.520541 469.658858
7.890000 459.695608 463.571737 467.768295 467.609899 471.559860 475.020849
7.940000 462.680730 466.977811 471.369677 470.929779 474.603643 477.630308
7.990000 466.916510 471.360947 475.321321 474.955833 478.440734 481.192165
8.040000 472.868018 477.400640 480.923069 481.132093 484.526384 493.223714
