depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
10.605884 280.839992 283.293293 286.077985 286.197336 289.258899 291.705965
10.655884 281.971731 284.282435 287.065702 287.171705 290.266781 292.578353
10.725884 283.088934 285.598504 288.378260 288.487811 291.534619 293.714617
10.775884 284.127570 286.423823 289.327375 289.430098 292.534370 294.497219
10.825884 284.967684 287.448038 290.357529 290.396225 293.464971 295.236064
10.865884 285.567705 288.313415 291.246333 291.202822 294.216457 296.002653
10.925884 286.767041 289.443647 292.522229 292.390725 295.273625 296.993613
10.975884 287.766367 290.451371 293.488694 293.334725 296.230954 297.872708
11.075884 289.643559 292.228389 295.397621 295.103809 297.934317 299.561321
11.125884 290.492773 293.108796 296.463414 296.065806 298.741701 300.273680
11.155884 291.120318 293.701454 297.172292 296.666888 299.312585 300.837367
11.215884 292.122921 295.037712 298.311895 297.832723 300.393820 301.695102
11.245884 292.800167 295.596190 298.958067 298.446794 301.015970 302.286885
11.295884 293.683081 296.650687 299.984435 299.398006 301.809073 303.085392
11.325884 294.627653 297.332690 300.488582 299.996133 302.318766 303.630302
11.435884 297.026283 299.905926 302.537184 302.095754 304.136546 305.429194
11.465884 297.596128 300.647088 303.114516 302.728136 304.755553 305.982226
11.515243 298.746244 301.727125 304.056192 303.706342 305.597077 306.849923
11.555243 299.529616 302.624535 304.914535 304.525805 306.332141 307.616648
11.630243 301.400940 304.473958 306.432423 306.121034 307.816361 309.041120
11.705243 303.229939 306.110112 307.940213 307.708237 309.384704 310.581229
11.755243 304.478817 307.104331 308.838858 308.686059 310.237699 311.596744
11.805243 306.088287 308.348490 309.903582 309.734623 311.261191 312.597732
11.845243 306.868372 309.111566 310.656980 310.515617 312.012845 313.340030
11.885243 307.687939 309.839568 311.376494 311.274551 312.733735 314.085449
11.955243 308.732412 311.144411 312.590534 312.507514 313.941621 315.359108
11.995243 309.713037 311.941890 313.362801 313.280105 314.770084 316.138361
12.035243 310.639079 312.650871 314.137109 314.067165 315.555901 316.981369
12.085243 311.728199 313.656158 315.067005 315.042519 316.510051 317.917985
12.155243 313.259152 315.022242 316.536550 316.479799 317.939231 319.292373
12.195243 314.075544 315.947474 317.562946 317.508140 319.065042 320.427193
12.235243 315.261058 317.156279 318.856647 318.823028 320.499038 322.288908
12.275243 316.486931 318.819355 320.989699 320.861771 322.765449 324.729858
12.345243 321.502141 323.722452 326.205653 326.156560 328.686653 330.463850
12.385243 324.589485 326.331001 328.487531 328.322368 330.358267 331.504153
12.425243 326.485201 328.427638 330.307272 330.146467 331.805029 332.901007
12.465243 329.448521 331.035169 332.342559 332.299767 333.565938 334.740910
12.505243 331.996805 333.150767 334.384661 334.441528 335.721135 337.076745
12.555243 333.671868 334.723353 336.024447 336.055955 337.377213 338.723863
