depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
30.165000 300.464365 303.539692 306.285807 306.326970 309.185931 312.341191
30.265000 301.516637 304.402766 307.152231 307.210789 310.195161 312.865654
30.365000 302.544493 305.236904 308.009936 308.082287 311.037694 313.693605
30.465000 303.447692 306.080616 308.855416 308.953567 311.941814 314.620182
30.565000 304.213642 306.945521 309.634086 309.816574 312.957123 315.356285
30.698333 306.119481 308.192103 310.954815 311.083596 314.167206 316.189710
30.831667 307.534162 309.554863 312.254339 312.360900 315.259446 317.227713
30.965000 309.113993 311.090827 313.717660 313.699644 316.320520 318.331158
31.065000 310.111642 312.175501 314.743685 314.719678 317.184012 319.244390
31.165000 311.218050 313.162979 315.785423 315.692547 317.978890 320.027520
31.265000 312.015458 314.276257 316.773546 316.597447 318.896051 320.638529
31.365000 312.905403 315.279718 317.627177 317.468669 319.662556 321.429925
31.498333 314.168363 316.548700 318.795870 318.635346 320.737457 322.347274
31.631667 315.237355 317.875919 319.873181 319.739342 321.794343 323.259964
31.765000 316.705788 319.102494 320.946689 320.860787 322.763622 324.237693
31.865000 317.725376 320.050646 321.805224 321.766560 323.571101 325.001643
31.965000 318.754078 320.966083 322.787017 322.695341 324.440959 325.812259
32.065000 319.627061 321.842141 323.513462 323.461734 325.173183 326.443757
32.165000 320.716342 322.625005 324.194316 324.179194 325.835494 327.350272
32.298333 321.817438 323.549298 325.166466 325.098208 326.758914 328.151365
32.431667 322.956810 324.506689 326.106980 326.021042 327.607502 328.997478
32.565000 323.933287 325.437962 326.983006 326.943591 328.493629 329.729799
32.665000 324.805850 326.218505 327.761115 327.694260 329.127891 330.378341
32.765000 325.671381 326.972367 328.538194 328.457027 329.854505 330.998050
32.865000 326.729144 327.800895 329.354820 329.267359 330.556750 331.753510
32.965000 327.617472 328.835935 330.188684 330.132938 331.378023 332.566403
33.065000 328.669571 330.022086 331.212615 331.198348 332.407658 333.605346
