depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
6.660000 298.787589 301.757846 304.207381 304.082143 306.448603 308.868827
6.710000 300.405683 303.227536 305.397940 305.354608 307.452336 310.031932
6.760000 301.904944 304.519066 306.629436 306.618467 308.523150 311.501363
6.810000 304.045846 306.235519 308.074141 308.208451 310.224432 313.320899
6.860000 305.771959 307.931720 309.590897 309.867325 312.019760 314.958068
6.910000 307.416032 309.403893 311.291935 311.559942 313.941828 316.410128
6.960000 309.067252 311.003625 313.225407 313.377912 315.959195 318.089097
7.020000 311.409999 313.430926 316.099451 315.881978 318.178671 319.778202
7.060000 312.932491 315.040381 317.462230 317.245181 319.336642 320.607060
7.110000 314.221042 316.994296 319.111657 318.788959 320.602193 321.687460
7.160000 316.018348 318.569436 320.503765 320.178052 321.672573 322.661320
7.210000 317.792203 320.154738 321.566521 321.378126 322.652363 323.646661
7.260000 319.458358 321.369951 322.580229 322.447421 323.549272 324.580774
7.310000 320.681754 322.394572 323.530330 323.447312 324.483723 325.564429
7.360000 322.245773 323.548855 324.574121 324.541367 325.529373 326.599920
7.410000 323.454233 324.546519 325.611000 325.594696 326.670419 327.663778
7.460000 324.438302 325.485713 326.526721 326.567918 327.683504 328.779200
7.510000 325.363616 326.375576 327.527032 327.530341 328.658747 329.791466
7.560000 326.205972 327.305593 328.531830 328.482705 329.588580 330.715954
7.610000 327.365343 328.421770 329.583766 329.530116 330.581222 331.494474
7.660000 328.420586 329.620031 330.667405 330.625120 331.653480 332.447867
7.710000 330.219429 331.117651 332.025309 332.013590 332.895801 333.745350
7.760000 331.532261 332.244883 333.084972 333.095879 333.928105 334.785158
7.810000 332.566445 333.281288 334.163857 334.162765 335.023714 335.794102
7.860000 333.433567 334.234205 335.120457 335.118344 335.979145 336.910159
7.910000 334.248357 335.213594 336.066483 336.089810 337.007831 337.924911
7.960000 335.227417 336.103886 336.993409 337.002429 337.937255 338.870853
8.010000 336.127963 336.952503 337.826377 337.853845 338.795586 339.761122
8.060000 337.009737 337.918451 338.725528 338.798462 339.720219 340.808021
8.100000 337.745390 338.700913 339.543233 339.620967 340.583008 341.803483
8.160000 338.917887 339.861902 340.806301 340.879332 341.922456 343.126740
8.210000 339.900647 340.793730 341.848328 341.917916 343.046439 344.379200
8.260000 340.804664 341.769363 342.870469 342.952464 344.143728 345.566127
8.310000 341.692847 342.761552 343.929022 344.029300 345.328908 346.858606
8.360000 342.632018 343.865334 345.117694 345.239885 346.629905 348.451914
8.400000 343.572350 344.788378 346.186244 346.310848 347.834241 349.796991
8.460000 345.237816 346.388464 347.994305 348.112961 349.693016 351.990671
8.510000 346.463475 347.899854 349.642549 349.747389 351.553957 353.980373
8.560000 347.579186 349.143505 351.055858 351.197722 353.336567 355.565442
8.610000 348.732300 350.472764 352.371112 352.598848 354.809329 357.218036
8.660000 349.924974 351.770100 353.782629 353.906793 356.107824 358.412902
8.710000 351.030349 352.913102 355.091015 355.172582 357.435459 359.726665
8.760000 352.355370 354.200696 356.440415 356.446825 358.663095 360.509123
8.810000 353.604929 355.530339 357.724177 357.754329 359.930248 361.871812
8.860000 354.957279 356.956908 359.245458 359.172530 361.201811 363.006332
8.910000 356.468683 358.722667 360.794268 360.707731 362.763137 364.655076
8.960000 358.204666 360.413530 362.428347 362.419204 364.436486 366.319287
9.050000 362.336979 364.079520 365.900971 365.875012 367.674223 369.551724
9.090000 363.506094 365.350336 367.184939 367.153249 368.925874 370.804040
9.110000 364.113926 365.879631 367.773516 367.749156 369.482315 371.457540
9.160000 365.565417 367.145881 369.144913 369.170100 371.014295 373.390726
9.210000 366.659037 368.511442 370.506901 370.507981 372.380354 374.944968
9.260000 367.691641 369.618088 371.655769 371.710632 373.796905 376.013471
9.310000 368.742979 370.787168 372.897876 372.952426 375.174761 377.331758
9.370000 370.385480 372.126809 374.376805 374.456177 376.778052 379.117628
9.420000 371.468093 373.341595 375.858325 375.928089 378.447554 381.454787
9.460000 372.298850 374.286142 377.028200 377.090834 379.910938 382.561102
9.510000 373.444981 375.567563 378.436482 378.508963 381.382520 384.191283
