depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
8.190000 301.154607 304.044105 306.614874 306.803363 309.506707 313.994044
8.220000 303.933607 306.670059 309.116497 309.217233 311.835964 315.413204
8.250000 307.146445 309.097397 311.478486 311.658449 314.278359 317.275061
8.280000 309.273867 311.630600 314.128629 314.205146 316.790498 319.253598
8.310000 311.038875 313.863120 316.476373 316.428608 318.992385 321.158411
8.340000 313.109234 316.238282 319.221665 319.027872 321.642207 324.065276
8.400000 318.687128 321.693736 324.762356 325.068503 328.978970 331.326222
8.430000 321.044081 324.196518 328.461081 328.003728 331.642261 333.395078
8.490000 332.064142 333.512458 334.866742 334.872499 336.205011 337.574981
8.520000 334.000574 335.280514 336.553599 336.524796 337.782762 339.043562
8.550000 335.447031 336.633138 337.869636 337.824307 338.986636 340.235237
8.580000 336.896424 338.004650 339.198515 339.231498 340.409431 341.860968
8.610000 338.182966 339.225990 340.477815 340.491316 341.649784 343.178375
8.640000 339.266917 340.355071 341.572140 341.635959 342.929250 344.325975
8.670000 340.392906 341.437762 342.674410 342.767951 344.055665 345.492084
8.700000 341.374880 342.549912 343.907675 343.936417 345.251942 346.783635
8.730000 342.414248 343.687913 345.062739 345.121221 346.518697 348.208092
8.760000 343.559806 344.811736 346.232294 346.366351 347.880942 350.003912
8.790000 344.551636 345.922264 347.406303 347.567703 349.113579 351.565835
8.820000 345.607803 347.083631 348.635737 348.861471 350.563455 353.369765
8.850000 346.852763 348.276877 349.964717 350.294111 352.404971 355.494345
8.880000 348.089500 349.586458 351.349753 351.740761 354.076855 357.680496
8.940000 350.160430 351.825508 353.950534 354.409680 357.061085 361.519655
8.970000 351.269010 353.031340 355.156938 355.770651 358.501925 363.473863
9.030000 353.653434 355.425826 357.765422 358.357420 361.193437 366.312555
9.060000 354.789289 356.838258 359.250909 359.861411 362.862442 368.884078
9.090000 356.241673 358.450501 360.911605 361.570032 364.719883 370.763206
9.140000 358.870586 361.196703 364.512004 365.191567 369.398299 374.858895
9.180000 361.662974 364.809487 369.071866 369.387988 374.487298 378.838205
9.240000 371.168272 374.808841 378.721213 378.557852 382.383736 384.767874
9.270000 374.124239 377.411312 381.112090 380.971253 384.305784 386.661277
9.300000 376.529867 379.906129 383.239072 382.965929 385.968357 388.199631
9.330000 378.675799 381.689410 385.105627 384.727833 387.473009 389.723166
9.360000 380.549669 383.454367 386.704740 386.387002 389.042417 391.028183
9.390000 382.880210 385.554575 388.280287 388.061039 390.438177 392.282872
9.420000 385.401938 387.622760 390.045429 389.911003 392.102899 393.585355
9.450000 387.440441 389.785524 391.815122 391.719458 393.598325 395.176065
9.460000 388.305084 390.425531 392.398831 392.310949 394.192412 395.809664
9.480000 389.639619 391.769274 393.677179 393.549577 395.358117 396.622346
9.510000 391.895689 393.799393 395.491030 395.395746 396.920324 398.179051
9.530000 393.597840 395.251781 396.792293 396.655738 398.001209 399.218108
9.540000 394.210575 395.929191 397.397704 397.288257 398.617642 399.627515
9.570000 396.793204 398.027304 399.168606 399.098601 400.194757 401.152564
9.600000 398.379246 399.382575 400.395093 400.392019 401.410503 402.455059
9.630000 399.452841 400.550153 401.510729 401.540385 402.543026 403.719023
9.660000 400.572010 401.596513 402.576599 402.620277 403.715294 404.948248
9.690000 401.669048 402.606142 403.644976 403.693269 404.811185 406.181674
9.720000 402.769220 403.666889 404.720936 404.782300 405.888683 407.151530
9.750000 403.754120 404.783820 405.786458 405.883381 407.018126 408.278029
9.780000 404.772061 405.862115 406.906883 407.015143 408.247059 409.703592
9.810000 405.944334 407.013782 408.080545 408.227554 409.532508 410.884459
9.840000 407.194805 408.279514 409.499319 409.586752 410.893070 412.557127
9.870000 408.433015 409.595972 411.117147 411.150769 412.700612 414.350131
9.900000 409.989101 411.364237 413.007855 413.198714 415.055509 417.114338
9.930000 411.769742 413.314143 415.231686 415.378805 417.415311 419.422608
9.960000 413.799690 415.539307 417.788661 417.809486 420.069829 422.121431
9.990000 416.321821 418.372682 420.592314 420.537602 422.691432 424.342564
10.020000 419.110118 421.287250 423.279376 423.195444 425.070430 426.664166
10.030000 419.834281 422.034842 424.214430 424.009862 425.850687 427.402647
10.050000 421.810000 424.115750 425.823824 425.660036 427.181975 428.368281
10.080000 424.793467 426.625090 427.931274 427.868026 429.178068 430.445259
10.100000 426.575891 427.989424 429.179518 429.153376 430.324107 431.552234
10.110000 427.239475 428.530596 429.755608 429.741498 430.909440 432.128240
10.140000 428.762154 429.980826 431.138085 431.159569 432.341096 433.568837
10.170000 430.082768 431.258430 432.477535 432.448757 433.622798 434.807318
10.200000 431.150429 432.444707 433.598239 433.589761 434.779372 435.935005
10.230000 432.318887 433.596502 434.701464 434.714847 435.881416 437.081413
10.260000 433.479041 434.665728 435.874659 435.839345 437.005996 438.078369
10.290000 434.536310 435.732497 436.977682 436.936942 438.151777 439.224213
10.320000 435.625402 436.882913 438.075752 438.042512 439.175728 440.230339
10.350000 436.712542 438.001261 439.193052 439.158300 440.313126 441.379951
10.370000 437.506380 438.741523 439.958459 439.959154 441.172881 442.265052
10.380000 437.948092 439.169283 440.386610 440.387682 441.605702 442.641417
10.410000 439.239153 440.455016 441.679441 441.664707 442.856784 444.063892
10.440000 440.405651 441.691048 442.890969 442.927129 444.145098 445.738529
10.470000 441.701791 442.796810 444.043890 444.174753 445.483087 447.554559
10.500000 442.887947 443.995924 445.294855 445.506360 446.892438 449.815246
10.520000 443.729764 444.786611 446.137005 446.425099 447.946419 451.059201
10.530000 444.206047 445.230870 446.622950 446.938649 448.584391 451.621136
10.590000 446.275094 447.679508 449.551595 449.929256 452.293354 455.618524
10.620000 447.578034 449.029384 450.946136 451.493011 454.134550 457.961773
10.650000 448.814876 450.480024 452.598217 453.111161 455.885061 460.289344
10.680000 450.018370 451.899049 454.307030 454.725310 457.697683 461.538289
10.710000 451.296936 453.450884 456.252355 456.523315 459.598560 463.236842
10.740000 452.601612 454.979791 458.240434 458.332076 461.666786 465.101482
10.770000 454.209722 456.905159 460.040391 460.214351 463.643678 466.797082
10.800000 455.865869 458.820105 462.192090 462.155891 465.452232 468.489376
10.850000 458.481639 462.013983 465.318857 465.129120 468.268473 470.957413
10.890000 460.804538 464.558783 467.601883 467.439782 470.420141 473.079372
10.920000 462.843473 466.524286 469.340994 469.228546 472.198157 474.646333
10.950000 464.654001 468.181168 470.910210 470.860234 473.743547 475.864519
10.980000 467.074944 470.012376 472.784463 472.662778 475.331272 477.390069
11.010000 469.536952 472.375840 474.698368 474.711215 477.195582 479.259445
11.040000 472.474118 475.002860 477.275522 477.197983 479.506819 481.604775
11.070000 475.600856 477.953575 480.152234 480.088677 482.246381 484.318603
11.100000 478.641850 481.088284 483.168628 483.189986 485.369980 487.169235
11.130000 481.382817 483.469508 485.472865 485.409613 487.255282 488.851980
11.180000 484.957139 486.689391 488.404671 488.328884 489.976973 491.793683
11.220000 487.000834 488.716483 490.200306 490.241177 491.835366 493.401185
11.250000 488.400309 490.076197 491.537184 491.608136 493.239297 494.832594
11.280000 490.017077 491.407105 492.961947 493.007599 494.602596 496.350265
11.310000 491.294078 492.853203 494.559021 494.531460 496.133280 497.868766
11.340000 492.602930 494.266568 495.980901 495.997647 497.679312 499.584192
11.370000 494.166975 495.780785 497.496743 497.528102 499.295805 501.236313
11.400000 495.649412 497.219886 498.970551 498.979675 500.749839 502.686261
11.430000 497.084429 498.738048 500.416215 500.425719 502.171766 503.947797
11.460000 498.463942 500.286227 501.891713 501.928880 503.591333 505.268441
11.490000 500.184098 501.940927 503.597334 503.642359 505.346360 507.124577
11.520000 502.331021 504.029133 505.742596 505.898101 507.755633 510.444175
11.550000 504.535987 506.294446 508.189209 508.356892 510.462214 513.363220
11.580000 506.417825 508.309515 510.638610 510.728214 513.077751 515.621622
11.610000 508.409651 510.467768 512.977277 513.013781 515.460574 517.949945
11.640000 510.012824 512.760879 515.435055 515.454399 518.015560 520.779777
11.670000 512.147218 514.987764 517.604662 517.612724 520.184131 522.947225
11.700000 514.548682 517.205365 519.731447 519.721855 522.278299 525.110487
11.730000 516.204963 518.824181 521.457924 521.536342 524.285977 527.087644
11.740000 517.059697 519.347858 522.062080 522.131014 525.035584 527.684733
11.790000 519.343732 522.020080 524.846217 524.983855 528.156325 531.041070
