depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
4.850000 300.285661 304.009488 306.685185 306.358083 308.939456 310.546237
4.900000 304.405253 306.718388 308.933293 308.809741 310.955329 312.764475
4.950000 306.830013 309.097947 311.135005 311.034249 313.070952 314.640377
5.000000 309.464014 311.256986 313.286842 313.176369 314.994467 316.643821
5.050000 311.314489 313.462750 315.338342 315.221559 316.954529 318.611168
5.100000 313.500562 315.545907 317.393787 317.280503 318.963638 320.659987
5.150000 316.052818 317.934649 319.594634 319.527562 321.049465 322.695907
5.200000 318.647911 320.751914 322.342941 322.424186 324.028492 326.458975
5.250000 322.490565 324.280369 326.457463 326.472422 328.667865 330.685147
5.300000 325.353695 328.644521 330.994380 330.792419 332.910284 334.906153
5.350000 333.048539 334.468209 336.126211 336.173428 337.816958 339.492706
5.400000 335.859764 337.499210 338.991452 339.032696 340.556760 342.373098
5.450000 338.383190 339.902345 341.454330 341.518652 343.106081 345.122707
5.500000 340.650450 342.015471 343.728857 343.777982 345.450491 347.367580
5.550000 342.509217 344.157425 345.775575 345.967252 347.790401 350.370669
5.600000 344.727567 346.432492 348.213269 348.353870 350.228057 353.224462
5.650000 347.237172 348.939877 350.800483 351.015359 352.993581 356.150879
5.700000 349.454304 351.404497 353.605170 353.951044 356.675043 359.579274
5.750000 351.596449 353.893261 356.599974 357.066544 360.398229 364.209842
5.800000 354.182742 356.852776 359.883372 360.196269 363.654898 367.303162
5.850000 357.261001 359.893197 363.108114 363.377656 366.964101 370.967125
5.900000 360.261483 362.844008 366.228113 366.570908 370.472044 374.366733
5.950000 363.212256 366.343700 369.926642 370.179745 374.248784 377.685935
6.000000 366.685513 370.327078 374.111164 374.302674 378.427623 382.588786
6.050000 371.588072 375.596637 379.909335 379.731115 383.786214 387.321080
6.100000 376.678318 380.827137 384.724195 384.534531 388.364935 391.525088
6.150000 381.210899 385.350840 389.049502 388.869258 392.429472 395.052972
6.200000 386.254741 390.044213 393.319934 393.099299 396.177978 398.638736
6.250000 389.528418 393.980014 397.149279 396.753704 399.306390 401.473626
6.300000 397.986171 400.508892 402.470383 402.499183 404.637527 407.392695
6.350000 402.288085 404.619072 407.224781 407.228073 409.952885 412.369911
6.400000 407.840147 410.519272 413.432742 413.591622 416.847033 420.081616
6.450000 412.086248 415.775184 419.912712 419.803886 423.938703 426.918507
6.500000 423.548867 426.993564 429.688594 429.608040 432.197189 434.711821
6.550000 429.025313 431.832902 434.124765 433.948291 436.070254 438.431478
6.600000 432.779154 435.404891 437.435298 437.463208 439.702499 441.710051
6.650000 436.240160 438.693687 440.876103 441.017031 443.352760 446.072853
6.700000 439.554564 441.878426 444.421920 444.687868 447.308413 451.497897
6.750000 442.497195 444.911040 447.737429 448.300144 451.769341 457.517600
6.800000 445.415974 448.159069 451.570112 452.227477 456.554275 461.981162
6.850000 449.355522 452.115345 456.052576 456.583277 461.221003 466.209378
6.900000 452.948884 456.450229 460.937484 461.098083 466.047892 469.904884
6.950000 457.251601 461.068342 465.958029 465.801574 470.652455 473.780510
7.000000 461.181880 466.615772 471.206226 470.790696 475.066372 477.391559
7.050000 468.278167 473.620216 477.120276 476.586080 479.480554 481.526756
7.100000 476.654826 479.673677 481.977502 481.759844 483.759737 485.596177
7.150000 481.448743 483.652157 485.409487 485.402883 487.276368 488.774414
7.200000 485.160724 486.973059 488.811552 488.780848 490.540714 492.271078
7.250000 488.278639 490.161607 491.861823 491.853784 493.458481 495.341168
7.300000 491.256548 493.131621 494.913089 494.918042 496.582033 499.130797
7.350000 494.793895 496.288936 498.056453 498.263413 500.058125 502.602054
7.400000 498.007942 499.585614 501.501108 501.901818 503.735533 509.772460
7.450000 501.131981 503.158950 505.368943 506.426864 508.929718 519.857077
7.500000 505.197169 507.697756 511.513495 512.555096 517.641185 526.055773
7.550000 509.458580 513.570561 519.712277 519.711800 525.387030 530.669970
7.600000 515.215401 521.656791 527.448033 526.889841 531.709292 536.540649
7.650000 525.109689 531.671938 535.616196 535.481224 539.594397 544.178893
7.700000 533.714597 537.633374 541.511905 541.637611 545.841419 549.330388
7.750000 538.596591 543.399459 547.618809 547.408690 551.461327 554.669538
7.800000 544.688970 549.686384 553.495514 553.348607 556.949658 560.507856
7.850000 554.370825 557.241953 560.308556 560.631929 563.881182 568.174889
7.900000 558.884003 561.728505 565.269561 565.567543 568.665042 579.137081
7.950000 563.217769 566.423789 569.654811 570.480908 573.250356 588.447442
8.000000 567.535761 571.817279 574.796044 575.952627 579.006769 593.898351
8.050000 571.654106 577.668040 581.183071 582.765730 589.149827 598.611916
8.100000 579.297933 583.312708 588.272812 589.198021 596.070121 602.857296
8.150000 584.301702 588.958412 594.324039 595.098498 602.239000 606.897960
