age(kyr) mean(permil) sigma(permil)
280.000000 4.023046 0.218787
281.000000 4.023660 0.214346
282.000000 4.024776 0.210159
283.000000 4.027203 0.206504
284.000000 4.031686 0.203807
285.000000 4.038218 0.202323
286.000000 4.045623 0.202137
287.000000 4.054358 0.203228
288.000000 4.064282 0.205539
289.000000 4.074362 0.208685
290.000000 4.084696 0.212364
291.000000 4.094720 0.216126
292.000000 4.104412 0.219940
293.000000 4.114990 0.223187
294.000000 4.128272 0.225311
295.000000 4.142885 0.225732
296.000000 4.155725 0.223018
297.000000 4.165652 0.217000
298.000000 4.166364 0.208680
299.000000 4.150466 0.199007
300.000000 4.118534 0.188835
301.000000 4.077592 0.178608
302.000000 4.035697 0.168832
303.000000 4.005275 0.160529
304.000000 3.982043 0.153629
305.000000 3.958430 0.148980
306.000000 3.926693 0.145289
307.000000 3.886459 0.142717
308.000000 3.842380 0.139818
309.000000 3.795556 0.137019
310.000000 3.756036 0.136200
311.000000 3.730271 0.140212
312.000000 3.714081 0.149160
313.000000 3.699083 0.159483
314.000000 3.684534 0.168004
315.000000 3.667066 0.172436
316.000000 3.643992 0.172240
317.000000 3.620876 0.167397
318.000000 3.606528 0.159888
319.000000 3.592392 0.153488
320.000000 3.560688 0.149021
321.000000 3.501885 0.144439
322.000000 3.434151 0.139732
323.000000 3.369497 0.140918
324.000000 3.292823 0.145672
325.000000 3.217947 0.146542
326.000000 3.170360 0.146241
327.000000 3.153321 0.149490
328.000000 3.158004 0.152908
329.000000 3.168289 0.158619
330.000000 3.222301 0.183497
331.000000 3.345161 0.218920
332.000000 3.519250 0.237460
333.000000 3.684356 0.241120
334.000000 3.827810 0.249690
335.000000 3.960693 0.262880
336.000000 4.084947 0.266148
337.000000 4.191481 0.252557
338.000000 4.286330 0.226584
339.000000 4.381512 0.201679
340.000000 4.471322 0.183109
341.000000 4.532386 0.168644
342.000000 4.554256 0.158201
343.000000 4.550137 0.150548
344.000000 4.531263 0.143449
345.000000 4.508265 0.137177
346.000000 4.478414 0.136992
347.000000 4.445230 0.145383
348.000000 4.407217 0.156829
349.000000 4.368076 0.165554
350.000000 4.334217 0.166921
351.000000 4.318002 0.161353
352.000000 4.319266 0.150393
353.000000 4.326850 0.138070
354.000000 4.334525 0.127484
355.000000 4.339227 0.119524
356.000000 4.341499 0.114628
357.000000 4.339306 0.111574
358.000000 4.329482 0.110349
359.000000 4.315111 0.109413
360.000000 4.293495 0.109826
361.000000 4.273886 0.109958
362.000000 4.250273 0.110138
363.000000 4.224639 0.110254
364.000000 4.197887 0.110417
365.000000 4.173917 0.110434
366.000000 4.149771 0.110053
367.000000 4.126787 0.110503
368.000000 4.108719 0.111602
369.000000 4.098789 0.113998
370.000000 4.092690 0.118220
371.000000 4.084425 0.124046
372.000000 4.078653 0.131410
373.000000 4.068354 0.138242
374.000000 4.048235 0.142729
375.000000 4.031118 0.144360
376.000000 4.014962 0.143737
377.000000 3.993585 0.140033
378.000000 3.972599 0.134458
379.000000 3.957598 0.129050
380.000000 3.941951 0.124568
381.000000 3.922330 0.121861
382.000000 3.906872 0.121075
383.000000 3.892230 0.121252
384.000000 3.878605 0.123086
385.000000 3.867777 0.126688
386.000000 3.856447 0.130849
387.000000 3.842824 0.136707
388.000000 3.828489 0.142671
389.000000 3.807396 0.148449
390.000000 3.782721 0.152868
391.000000 3.752875 0.156292
392.000000 3.722056 0.157298
393.000000 3.689427 0.157605
394.000000 3.657214 0.158361
395.000000 3.630327 0.160074
396.000000 3.599216 0.164162
397.000000 3.559048 0.170348
398.000000 3.499776 0.177922
399.000000 3.415068 0.182755
400.000000 3.314241 0.182705
401.000000 3.215181 0.177591
402.000000 3.135182 0.169476
403.000000 3.079431 0.162690
404.000000 3.054917 0.161266
405.000000 3.052971 0.167861
406.000000 3.066865 0.182076
407.000000 3.099600 0.200119
408.000000 3.146053 0.218345
409.000000 3.209253 0.233861
410.000000 3.284937 0.244556
411.000000 3.367840 0.249550
412.000000 3.448578 0.249363
413.000000 3.524145 0.245750
414.000000 3.591287 0.240285
415.000000 3.651096 0.234828
416.000000 3.703577 0.231395
