depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.072500 3.309229 4.217595 5.091897 5.052984 5.904296 6.668379
0.115000 5.189010 6.305831 7.404367 7.373801 8.431757 9.500509
0.180000 9.120389 10.449376 11.898940 11.957458 13.572849 14.822678
0.235000 15.058343 16.318310 17.669300 17.636596 18.908415 20.383129
0.275000 17.743766 18.691781 19.802783 19.862566 20.966364 22.338507
0.295000 18.827826 19.762415 20.903102 20.927213 22.029410 23.477853
0.307500 19.504298 20.386507 21.587964 21.622900 22.771004 24.364271
0.335000 20.818584 21.887366 23.087708 23.182824 24.477589 26.143665
0.372500 22.557952 23.633613 25.011353 25.193575 26.740724 28.779357
0.395000 23.547921 24.777571 26.213233 26.415587 28.073908 30.094801
0.445000 25.564536 27.117854 28.717239 29.038236 31.010430 34.052570
0.465000 26.536403 28.135691 29.841623 30.237299 32.510854 35.763616
0.525000 29.257826 30.936648 33.163307 33.661658 36.604630 40.347534
0.565000 31.282321 33.006628 35.661207 36.177738 39.687415 43.567175
0.625000 34.120594 36.166028 39.362204 40.077796 44.244385 48.971865
0.670000 36.192895 38.752474 42.249363 43.247299 48.284950 52.437871
0.700000 37.804264 40.602051 44.767310 45.571771 50.806767 55.218590
0.725000 39.471373 42.468767 47.791955 47.765913 52.923888 56.953043
0.765000 42.328816 45.727645 52.114804 51.634523 57.233613 60.420223
0.817500 46.203522 52.139391 57.968578 57.050974 61.861559 64.156628
0.855000 49.377047 56.654944 62.448543 61.130240 64.871437 67.105966
0.870000 50.379843 58.317929 63.703042 62.497003 66.235707 68.610546
0.905000 54.431054 63.334896 66.232617 65.576745 68.520474 70.447772
0.945000 62.511024 66.902865 69.002253 68.856790 71.238432 73.454955
0.995000 69.889666 71.482879 73.463541 73.427597 75.388212 77.448233
1.025000 72.132703 73.734611 75.655591 75.661691 77.529876 79.250130
1.067500 74.837452 76.879788 78.704591 78.633921 80.389261 82.284248
1.113000 77.777019 80.144207 81.683906 81.786550 83.515085 85.788861
1.135000 79.528210 81.675607 83.329359 83.481791 85.469191 87.672173
1.175000 82.471656 84.680934 86.421695 86.712873 89.146489 91.477611
1.212500 85.469759 87.564460 90.006201 89.928061 92.219719 93.894212
1.250000 88.359943 91.323327 93.155559 92.987567 94.726875 96.369877
1.275000 90.558407 93.581656 95.344257 95.202040 96.801367 98.878597
1.315000 94.132037 96.048864 97.768427 97.834393 99.614300 102.123531
1.365000 96.997646 98.693787 100.549107 100.823530 103.029082 106.787021
1.425000 100.045327 101.853566 104.171057 104.957999 108.416205 112.838676
1.475000 103.230203 105.791951 110.171866 109.832451 113.579160 115.339900
1.545000 114.276417 115.551213 116.762790 116.720909 117.894351 119.108938
1.565000 115.834550 116.955611 117.946211 118.005069 119.060713 120.461909
1.615000 118.391237 119.469462 120.701813 120.901400 122.216914 124.972363
1.665000 121.047306 122.591303 124.230018 124.397701 126.278632 128.337375
1.715000 124.780163 126.732905 128.585013 128.430167 130.078510 131.192903
1.765000 129.809698 131.020952 132.189508 132.131568 133.251605 134.155995
1.812500 132.380830 133.292208 134.306407 134.273015 135.250475 136.199729
1.865000 134.594782 135.350285 136.202864 136.243241 137.172974 138.192855
1.915000 136.362199 137.393759 138.347382 138.414714 139.512536 140.637737
1.965000 138.385434 139.505820 140.696737 140.770849 141.994108 143.444190
