depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.020000 0.045655 0.282895 0.786922 0.847625 1.427982 2.003590
0.050000 0.623208 0.956921 1.534033 1.598186 2.211226 3.019598
0.100000 1.413678 1.958430 2.657687 2.724470 3.476516 4.420149
0.150000 2.276986 3.004121 3.805307 3.840124 4.626206 5.707728
0.200000 3.282834 4.010686 4.917392 4.959335 5.849423 6.930192
0.250000 4.361416 5.243876 6.117313 6.161705 7.057718 8.139619
0.300000 5.663688 6.511788 7.478991 7.553400 8.614191 9.684995
0.350000 7.192123 8.300279 9.338323 9.385496 10.494780 11.644557
0.413000 9.492043 10.698692 12.084571 12.150148 13.658099 14.918472
0.475000 13.904678 15.458487 16.758845 17.129149 18.455999 22.804728
0.525000 16.352191 17.565934 19.204937 19.760556 22.265326 25.134260
0.575000 18.118172 19.559700 21.837128 21.987815 24.473669 26.678587
0.625000 19.846950 21.686732 23.970414 24.064067 26.511524 28.467257
0.675000 21.806321 23.738447 26.036787 26.047313 28.479972 30.136306
0.725000 23.613208 25.404222 28.005545 27.981577 30.491526 32.855451
0.775000 25.005892 26.908247 29.512265 29.501139 32.070089 34.285916
0.875000 27.529922 29.757462 32.270215 32.548236 35.441710 39.395612
0.975000 30.200508 32.439480 34.829799 35.402061 38.892962 42.663103
1.025000 31.414712 33.610641 36.255243 36.727422 40.451195 43.619505
1.075000 32.550784 34.780139 37.393729 37.931927 41.675084 44.662021
1.125000 33.593143 35.779652 38.604596 39.112677 42.942636 45.808142
1.250000 36.041155 38.380280 41.186678 41.792241 46.020870 48.855575
1.375000 38.062661 40.778797 43.600627 44.368259 48.897352 51.157171
1.475000 40.273553 43.023116 45.572407 46.439711 50.664909 52.990176
1.575000 42.418070 45.251261 47.406742 48.438876 52.503082 54.414927
1.675000 43.902458 46.994070 50.313727 50.402401 54.055853 55.926200
1.775000 45.213741 49.113274 52.949799 52.379464 55.494745 57.461260
1.875000 46.603047 51.449982 54.657432 54.211673 56.989052 58.823036
1.975000 47.755542 53.374830 56.530707 55.895072 58.344893 59.827322
2.075000 50.084894 55.335182 58.129437 57.515424 59.688819 61.088294
2.125000 50.838013 56.094999 58.847717 58.288006 60.436495 61.739753
