depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.021903 0.196855 0.562997 0.629866 1.089369 1.620358
0.100000 0.323352 0.545765 1.014415 1.058624 1.552122 2.153907
0.170000 0.576325 0.827727 1.333859 1.378946 1.917875 2.571846
0.260000 0.839437 1.167213 1.736836 1.771182 2.338779 3.052794
0.385000 1.262510 1.652378 2.237509 2.292235 2.894518 3.670113
0.510000 1.635987 2.148051 2.745808 2.803391 3.451374 4.268342
0.635000 2.039436 2.648489 3.276561 3.327621 4.000952 4.844142
0.760000 2.522093 3.145335 3.795913 3.846575 4.588830 5.360028
0.830000 2.837153 3.440780 4.108202 4.161842 4.908998 5.670980
0.860000 3.014022 3.609133 4.255818 4.317439 5.024446 5.838632
0.950000 3.520866 4.081251 4.747353 4.786123 5.495667 6.223626
0.980000 3.709372 4.241255 4.937458 4.951474 5.677208 6.403997
1.010000 3.889083 4.414131 5.114940 5.122430 5.831484 6.525972
1.110000 4.524551 5.133150 5.694301 5.734740 6.444735 6.991188
1.160000 4.865993 5.462184 5.976209 6.042346 6.726330 7.270375
1.180000 4.965272 5.569827 6.103548 6.159962 6.856709 7.353179
1.210000 5.185813 5.751475 6.246325 6.338232 7.040648 7.510785
1.250000 5.459248 6.025525 6.484606 6.585460 7.306127 7.739690
1.260000 5.545551 6.092543 6.530580 6.642157 7.376789 7.777156
1.270000 5.612245 6.156162 6.582616 6.701940 7.418983 7.826852
1.290000 5.756850 6.283640 6.728227 6.829244 7.536796 7.933825
1.310000 5.959009 6.400495 6.872799 6.961920 7.644625 8.046530
1.360000 6.393782 6.802777 7.353685 7.379898 7.971166 8.357440
1.380000 6.545134 6.936274 7.520338 7.524042 8.125744 8.470636
1.420000 6.908665 7.261190 7.911983 7.875115 8.420333 8.773652
1.430000 6.971778 7.339841 7.979740 7.944832 8.477187 8.860495
1.460000 7.263484 7.645619 8.211371 8.190521 8.688180 9.127917
1.470000 7.320830 7.726475 8.283047 8.260202 8.744902 9.202881
1.500000 7.635710 8.094936 8.584802 8.551469 8.962205 9.532063
1.530000 7.994447 8.452741 8.875800 8.856148 9.181765 9.875040
1.540000 8.092764 8.523978 8.938440 8.929676 9.259148 9.934309
1.550000 8.179462 8.593915 9.008811 9.002326 9.330015 9.976824
1.570000 8.385643 8.799937 9.194279 9.184220 9.514544 10.184061
1.590000 8.519194 8.965396 9.345128 9.346992 9.684427 10.387370
1.600000 8.572942 9.030598 9.409255 9.419211 9.766495 10.478325
1.640000 8.975082 9.441817 9.789542 9.830198 10.212307 10.903149
1.660000 9.157394 9.578012 9.936959 9.977337 10.379728 11.063850
1.680000 9.308288 9.707332 10.102770 10.124692 10.547285 11.219103
1.720000 9.612675 9.977149 10.414568 10.442036 10.894063 11.504533
1.760000 9.832618 10.241124 10.697608 10.723523 11.226217 11.721115
1.800000 9.982953 10.449690 10.945712 10.969769 11.490017 12.031086
