depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
11.960000 293.055743 297.437905 300.581772 300.252707 303.079474 305.569700
12.060000 297.349146 300.237219 302.975279 302.748480 305.291746 307.406395
12.160000 300.068801 302.930789 305.144660 305.124489 307.476508 309.630160
12.260000 302.805009 305.370817 307.386331 307.524368 309.874490 312.517762
12.360000 304.895756 307.834647 309.967619 310.284487 313.088500 315.500894
12.440000 307.175493 309.824499 312.699629 312.747712 315.899397 317.972320
12.560000 311.363525 315.064056 318.000379 317.630205 320.274964 322.013247
12.660000 320.053371 322.489872 324.130505 324.232216 326.149714 328.649985
12.760000 325.927917 327.705367 329.423657 329.446001 331.248028 332.913250
12.860000 330.741847 332.332844 333.727649 333.633709 334.975398 336.000869
12.960000 333.634472 334.897417 336.128537 336.059436 337.237561 338.197386
13.060000 336.022179 337.272004 338.367225 338.410922 339.494003 340.962612
13.160000 338.047708 339.596751 341.129338 341.242599 342.959349 344.716947
13.260000 339.674909 341.692759 343.900660 343.850837 346.029360 347.702672
13.360000 341.137828 343.721255 346.671855 346.235903 348.410869 350.016065
13.460000 343.194383 345.243862 348.443997 348.110678 350.487134 352.306194
13.560000 344.858573 347.034396 350.032871 349.808477 352.381183 354.378813
13.660000 346.479605 348.750926 351.602143 351.418515 354.019842 356.049662
13.760000 348.335274 350.377282 353.000091 352.998403 355.558831 357.996534
13.860000 349.979272 352.035299 354.568294 354.576709 357.093613 359.574460
13.960000 351.297831 353.784129 356.358499 356.368680 358.946048 361.162313
14.060000 353.275728 355.612334 358.261596 358.196729 360.671360 363.161568
14.160000 355.325820 357.644892 360.193950 360.175457 362.665650 365.359046
14.260000 357.249204 359.559344 361.925828 362.103523 364.713502 367.929175
14.360000 359.009362 361.613888 364.153009 364.155161 366.865229 369.647022
14.460000 361.078146 363.538006 366.160712 366.218562 368.938557 371.274876
14.560000 363.173737 365.857591 368.273390 368.340365 370.984911 373.408838
14.660000 365.267410 368.041564 370.637872 370.509600 372.933216 375.253127
14.760000 367.992972 370.723407 373.164531 373.006445 375.137988 377.814930
14.860000 371.274871 373.909532 375.983069 376.071610 378.433493 381.344449
14.960000 375.322275 377.006857 379.441315 379.543348 382.083082 384.484517
15.060000 378.218994 380.248638 383.144945 383.040681 385.612906 387.945131
15.160000 381.123582 384.209159 386.549798 386.543664 388.996033 391.484227
15.260000 384.455807 388.287947 390.297076 390.159367 392.137574 394.189421
15.320000 388.084939 391.401704 393.336665 393.108458 394.920476 396.694177
15.420000 394.822160 396.576274 398.366504 398.390379 400.218269 402.065410
15.520000 399.118889 401.291838 403.394163 403.363595 405.411290 407.465219
15.620000 402.928914 405.066806 407.386845 407.325711 409.534770 411.336348
15.720000 406.805204 409.181393 411.509576 411.478416 413.580788 416.677453
15.820000 411.784694 413.853333 416.640415 417.103942 420.888322 423.512990
15.920000 419.494534 421.955909 424.443225 424.164873 426.317105 427.570477
16.020000 424.014035 426.024010 427.534661 427.407404 428.828837 429.938377
16.120000 427.380584 428.911259 430.190738 430.184792 431.487813 432.771794
16.220000 429.754669 430.934437 432.093845 432.162148 433.430319 434.828456
16.320000 431.570423 432.652008 433.897327 433.961662 435.301912 437.056555
16.420000 433.476536 434.499233 435.885270 435.953748 437.432509 438.751319
16.520000 435.275514 436.786590 438.339563 438.420744 439.936777 441.945611
16.620000 438.367720 440.010849 441.696639 442.044478 444.052951 447.082258
16.720000 441.321981 442.788583 444.908110 445.181827 447.676456 450.705293
16.820000 443.250357 445.073555 447.741257 447.928562 450.791067 453.558093
16.920000 445.144200 447.027286 450.228236 450.250652 453.354608 456.100952
17.020000 446.901285 448.998659 452.550876 452.407073 455.464094 458.007416
17.120000 448.754599 450.947571 454.804928 454.561844 457.634179 460.225640
17.220000 450.809948 453.415828 457.231407 456.897571 459.864194 462.354631
17.320000 453.293323 456.100762 459.967578 459.499123 462.361802 464.960346
17.420000 456.285026 459.353867 462.790622 462.669718 465.603626 469.137654
17.520000 459.882907 463.314835 466.045507 466.295677 469.599163 473.240619
17.620000 465.586993 467.731775 470.813717 471.109745 474.732557 477.398242
17.720000 469.344379 472.236186 475.684293 475.483071 478.602711 481.191144
17.820000 472.999639 476.918811 480.131885 479.830684 482.658119 484.449064
17.920000 477.578028 480.745512 483.701178 483.379724 485.838460 487.875134
18.020000 481.406494 483.984523 486.134990 486.126621 488.318530 490.649597
18.120000 484.525866 486.338436 488.347992 488.413948 490.427604 492.921602
18.220000 486.699613 488.366814 490.292418 490.437264 492.471179 494.907571
18.320000 488.724415 490.317430 492.209570 492.462486 494.821850 497.284181
18.420000 490.699621 492.249545 494.299076 494.614551 497.187080 499.868393
18.520000 492.749756 494.639942 496.921214 497.178509 499.731371 502.868472
18.620000 495.065890 497.478981 500.286335 500.343021 503.052742 506.254406
18.720000 498.389719 501.508380 504.394543 504.750488 508.179011 512.499326
18.820000 501.351985 504.761771 508.404937 508.662874 512.957632 517.006275
18.920000 503.898423 507.808690 512.054326 512.108192 516.491785 519.936157
19.020000 507.538015 511.845981 516.015652 515.724132 519.278695 522.309469
19.120000 511.016202 516.115471 519.487960 519.126866 522.254690 524.980985
19.220000 515.140440 519.187739 522.142182 521.953009 524.919933 527.209901
19.320000 518.880454 521.571855 524.602934 524.484609 527.395974 529.580286
19.420000 521.869543 524.549338 527.062918 527.090113 529.750792 531.813824
19.520000 524.922126 527.938307 530.469240 530.249649 532.497714 534.378388
19.620000 529.452949 532.292948 534.329722 534.243946 536.142255 538.687908
19.720000 534.375643 536.230254 538.120933 538.407658 540.685507 543.770385
19.820000 537.320227 539.285309 541.822994 541.952754 544.584508 547.013989
19.920000 540.176946 542.539876 545.170880 545.137018 547.830535 549.710659
20.020000 543.148230 545.808500 548.360857 548.200346 550.569936 552.239187
20.120000 546.906097 549.673301 551.814314 551.672304 553.683991 555.528832
20.220000 551.079999 553.159194 554.936849 554.962328 556.862276 558.581695
20.320000 554.222702 556.188874 558.102229 558.176676 560.191829 562.053978
20.420000 556.884057 558.642358 561.069417 560.942106 563.090626 564.882425
20.520000 559.006605 560.859482 564.031580 563.672879 565.973905 567.379837
