depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.077000 4.741434 5.569385 6.469572 6.472819 7.366737 8.151363
0.121000 7.616694 8.676537 9.743962 9.723389 10.719833 11.650902
0.129000 8.443284 9.487187 10.628666 10.558966 11.550818 12.445810
0.152000 10.617021 11.703577 12.798540 12.685532 13.610933 14.365793
0.175000 13.044971 14.117722 14.986992 15.040044 15.840990 17.274210
0.199000 15.254559 16.277052 17.440056 17.857294 19.310783 23.276780
0.246000 18.271879 20.362794 22.525790 22.864347 25.530941 28.023633
0.269000 20.059000 22.782720 25.312207 25.415119 28.165313 30.505023
0.292000 21.904511 24.860419 27.447505 27.495685 30.292836 32.366835
0.316000 24.019008 26.872733 29.459707 29.487234 32.147448 34.186841
0.339000 26.507110 29.182740 31.738661 31.715322 34.245565 36.579457
0.362000 28.204684 31.007064 33.588491 33.533241 36.098646 38.560227
0.386000 30.176668 32.645360 35.311620 35.223525 37.695897 40.114945
0.456000 33.956941 36.504171 39.448361 39.391730 42.162504 44.746359
0.479000 35.262761 37.844015 40.901331 40.818246 43.697807 46.356526
0.503000 36.557099 39.296560 42.309487 42.209037 45.125001 47.920643
0.573000 40.939382 43.227816 46.317972 46.174534 48.912686 51.868100
0.586000 41.538699 44.051614 47.074033 46.953355 49.702564 52.470244
0.648000 45.236833 47.652921 50.421825 50.341156 52.895889 55.342557
0.744000 50.354249 52.978782 55.540667 55.359897 57.617799 59.788012
0.817000 54.119318 56.805882 59.315643 59.137170 61.466454 63.087521
0.841000 55.475944 58.185668 60.582287 60.408299 62.673865 64.229727
0.865000 56.541199 59.418888 61.750495 61.573685 63.828458 65.319081
0.889000 57.993703 60.594453 62.939997 62.738900 64.968952 66.548817
0.913000 59.666009 61.857994 64.140213 63.969118 66.124709 67.613803
0.937000 61.145353 63.173752 65.325488 65.194270 67.287049 68.638609
0.961000 62.500875 64.580476 66.532914 66.444057 68.303848 69.719580
0.985000 63.687397 65.989999 67.828555 67.716072 69.559006 70.867204
1.009000 65.005913 67.241836 69.110810 68.979504 70.701401 72.014009
1.033000 66.496432 68.797259 70.465741 70.365984 71.960595 73.313717
1.057000 68.025505 70.110737 71.684985 71.655872 73.229638 74.840751
1.106000 71.511546 72.922272 74.473723 74.468128 75.960158 77.489091
1.130000 73.039715 74.359818 75.849656 75.912415 77.405194 78.885323
1.154000 74.314500 75.691851 77.188568 77.288299 78.745514 80.721934
1.202000 76.828232 78.230556 79.694618 79.943049 81.304279 86.191207
1.226000 78.110537 79.652855 81.060770 81.410079 82.775365 88.206750
1.274000 81.647660 83.077876 84.554638 84.869815 86.357234 90.951198
1.322000 85.070229 86.921740 88.509148 88.882507 90.655861 94.454541
1.370000 87.867547 90.012238 92.130770 92.525889 94.904314 99.805873
1.419000 90.544179 93.222789 95.909615 96.449601 99.478316 105.100121
1.467000 93.450903 96.795885 100.365681 100.554698 104.009115 108.999878
1.515000 96.847203 101.054375 105.047213 105.174178 108.516436 113.529473
1.563000 102.277376 106.308173 109.471960 110.340473 112.700758 130.103311
1.587000 104.033453 108.272946 111.522048 112.549346 115.049166 131.474781
1.635000 108.725496 113.342950 121.001686 122.552737 131.803580 134.644139
1.683000 129.510276 132.823014 135.466494 135.288949 137.970696 140.330346
1.730000 134.329249 136.541944 139.055845 139.009226 141.362468 143.725598
1.778000 137.473786 139.878129 142.096904 142.093592 144.248066 146.630281
1.850000 141.565666 144.714953 146.883602 146.856194 148.978213 151.409968
1.898000 144.343040 147.562876 149.821787 149.800771 151.992281 154.799145
1.969000 147.882164 151.268166 153.907888 153.873413 156.295315 159.660842
2.065000 152.736970 155.865086 158.593207 158.933688 162.115441 166.873171
2.161000 157.804881 160.820876 163.521623 163.916748 167.134615 172.114023
2.256000 164.214727 166.801247 169.192594 169.684735 172.841930 177.160628
2.352000 170.770332 172.942016 175.063101 175.607179 178.580313 183.005512
2.400000 173.937048 176.378587 178.721493 179.051689 181.990455 185.551711
2.447000 177.306824 179.888505 182.599577 182.705673 185.649170 188.406805
2.495000 180.917725 184.210491 187.119120 186.982509 189.712339 191.966832
2.539000 187.604504 190.661946 193.623389 193.737949 196.645224 201.109470
2.608000 193.422865 196.181631 199.396421 200.025352 204.123371 208.842976
2.657000 197.186792 200.184899 204.073016 204.505951 208.892239 213.452864
2.706000 200.779118 204.546708 208.719314 209.159519 213.377609 218.288415
2.755000 204.852770 209.805365 213.897641 214.511097 216.680920 238.893711
2.804000 210.058258 216.098446 218.136462 219.986255 222.601743 243.600255
2.853000 217.843205 220.048169 222.740594 225.265989 228.827267 247.001408
2.902000 221.203573 223.845583 227.919846 231.028129 244.859612 250.616766
3.000000 227.793022 243.710475 249.300229 247.615464 253.157846 257.694457
3.098000 243.087255 251.188541 257.327163 256.189782 261.160567 263.928410
3.196000 250.705374 257.971948 263.858474 263.010295 267.520910 269.732433
3.293000 258.090487 265.135209 269.846181 269.096949 272.836310 277.044471
3.391000 268.192254 272.396338 275.549904 275.605337 278.095128 289.016223
3.440000 272.958298 276.082740 279.116678 279.396037 281.547394 292.721130
3.538000 279.510096 281.620834 286.873087 287.054607 291.818829 299.998327
3.635000 285.222551 288.117545 294.615566 294.903153 301.550398 307.589424
