depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.039071 0.194775 0.668888 0.735896 1.255346 1.849947
0.110000 2.078031 3.126422 4.205335 4.196848 5.234634 6.182298
0.150000 3.466520 4.436133 5.859672 5.765374 6.909408 7.956922
0.210000 5.822388 6.930417 8.056034 8.047389 9.142309 10.133452
0.240000 7.140228 8.168997 9.190018 9.220138 10.254727 11.352662
0.310000 9.272244 10.419305 11.415700 11.391373 12.376792 13.350494
0.340000 10.288335 11.272518 12.290651 12.259900 13.235196 14.180452
0.350000 10.624465 11.529050 12.581784 12.561341 13.558563 14.461454
0.410000 12.296083 13.178850 14.028521 14.033955 14.937338 15.764353
0.440000 13.261374 14.039484 14.891067 14.935544 15.804378 16.914062
0.510000 15.710391 16.585937 17.748468 18.183006 19.822254 22.963373
0.540000 16.785525 17.833782 19.258110 19.686384 21.643079 24.514334
0.600000 18.663351 20.325994 22.504568 22.687084 25.023771 27.755377
0.640000 20.055521 22.106488 24.535907 24.634706 27.081378 29.599365
0.700000 22.998852 25.464100 27.999060 27.927923 30.320373 32.811509
0.740000 24.924010 27.629545 29.930468 29.931186 32.358330 34.584570
0.810000 28.523678 30.530558 32.836059 32.971380 35.294189 37.489108
0.840000 29.780533 31.765341 34.144286 34.159051 36.467591 38.698119
0.910000 32.070756 34.193781 36.717012 36.705471 39.215210 41.198382
0.940000 33.141001 35.113408 37.846069 37.752213 40.354771 42.207931
1.010000 35.194272 37.282730 40.049264 39.995557 42.605433 44.552442
1.110000 37.548141 40.154562 43.132577 42.965239 45.601530 47.593543
1.140000 38.286050 41.048914 44.127805 43.929857 46.532048 48.550458
1.210000 40.271687 43.208826 46.381011 46.080453 48.663280 50.493031
1.240000 41.191397 44.225850 47.387089 47.062807 49.620646 51.516311
1.310000 43.460786 46.672377 49.602360 49.301234 51.804831 53.883533
1.340000 44.363893 47.684321 50.564923 50.265678 52.690064 54.739126
1.410000 46.342814 49.947644 52.815369 52.522329 54.893729 57.201844
1.440000 47.408929 50.855770 53.772835 53.467148 55.865291 58.043164
1.540000 50.646411 54.027641 56.751737 56.412429 58.666778 60.775782
1.610000 52.902964 56.216130 58.655765 58.476157 60.693427 62.894693
1.710000 57.144598 59.598723 61.617050 61.560864 63.528079 65.906132
1.750000 58.704646 60.882683 62.839787 62.833613 64.706288 67.065615
1.810000 61.201926 62.967057 64.788973 64.839637 66.647921 68.885126
1.840000 62.327375 64.071641 65.804645 65.892869 67.646729 69.958136
1.910000 64.738348 66.540762 68.391619 68.524199 70.585344 73.058866
1.940000 66.020829 67.828774 69.883731 69.989647 72.230520 74.728549
2.010000 71.826629 74.145187 77.532822 78.644695 83.217764 90.912542
2.060000 74.595544 77.062201 80.368046 81.654478 86.423311 93.836788
2.110000 76.980358 79.379719 82.498291 84.396682 90.616593 95.965908
2.140000 78.480857 80.731977 83.832491 85.883032 92.308095 97.146399
2.210000 81.348699 84.014988 87.118633 89.423342 96.287139 100.089137
2.240000 82.387935 85.750300 88.962964 90.950343 97.521003 101.674574
2.325000 86.469880 90.487599 95.377252 95.505146 100.819847 105.845021
2.410000 91.571598 95.957629 100.140545 100.135839 104.342170 108.943310
2.510000 97.020855 100.941040 105.066872 105.082027 109.246879 113.172449
2.540000 98.283550 102.597549 106.564301 106.582330 110.671864 114.231514
2.610000 101.591746 106.377203 110.992237 110.383084 114.139523 116.904052
2.630000 102.528205 107.493675 112.078268 111.493170 115.178805 117.649524
2.710000 112.053426 115.122797 117.547200 117.302161 119.574835 121.349603
2.750000 115.664290 117.782424 119.818897 119.736088 121.739677 123.044442
2.810000 118.874506 120.690285 122.525678 122.442344 124.186055 125.605133
2.840000 120.258704 122.054686 123.706468 123.658408 125.226883 126.709801
2.910000 122.914631 124.705152 126.306759 126.210524 127.698756 128.926456
3.010000 127.611836 128.856801 130.360344 130.337523 131.760795 133.104587
3.050000 129.614230 130.962840 132.360750 132.378324 133.832151 135.346486
3.110000 132.339604 133.701840 135.074468 135.168881 136.734283 138.279043
3.140000 133.584718 134.920540 136.448955 136.526018 138.235916 139.935134
3.210000 135.885031 137.241865 138.873293 139.014628 140.829133 142.977823
3.240000 136.862233 138.203063 139.895030 140.075467 142.017679 144.278560
3.310000 138.736876 140.234084 142.093252 142.324530 144.415855 147.090011
3.340000 139.553197 141.184300 143.098611 143.373934 145.487259 148.487515
3.410000 141.609419 143.237846 145.523715 145.821958 148.545479 151.976593
3.440000 142.609268 144.116084 146.536675 146.943535 149.742020 153.466216
3.510000 144.440091 146.505256 149.327381 149.664950 153.010737 155.891008
3.540000 145.369909 147.623209 150.507926 150.860007 154.418643 157.145317
3.610000 147.812331 150.401539 153.950316 153.712322 156.949742 159.308850
3.640000 148.931359 151.704066 155.158639 154.951287 158.080417 160.285293
3.710000 151.473649 154.738792 158.172457 157.831086 160.602080 162.694517
3.740000 153.180513 156.238986 159.346492 159.108972 161.900490 163.788350
3.840000 157.692695 160.511232 163.402204 163.267573 165.802883 168.903660
3.910000 160.423841 163.632340 166.275855 166.334761 168.865231 173.262490
3.940000 161.671259 164.989343 167.734344 167.803747 170.389050 175.290275
4.040000 166.196474 169.500116 172.722407 173.007100 176.764385 180.098351
4.140000 170.764426 175.161314 178.599886 178.531431 182.124722 184.735094
4.210000 175.282372 179.215928 182.974033 182.492733 185.778415 187.440174
4.240000 177.388900 181.147155 184.889974 184.286135 187.374698 188.928333
4.310000 182.910002 187.026440 189.331039 188.973779 191.114373 192.555742
4.340000 187.051611 189.790705 191.727557 191.574659 193.274855 195.594309
4.410000 192.301839 193.739440 195.307888 195.489799 197.220988 199.642937
4.430000 192.947552 194.530479 196.185287 196.371912 198.212530 200.459955
4.510000 195.497683 197.144598 199.219279 199.385389 201.648648 204.098367
4.610000 198.437721 200.436675 203.133494 203.109670 205.795181 207.935492
4.640000 199.485949 201.641932 204.344636 204.361054 207.045976 209.291174
4.710000 202.016272 204.671903 207.503813 207.262956 209.690955 211.542534
4.750000 203.557235 206.517092 209.323763 209.031619 211.383429 212.987214
4.810000 206.154611 209.093482 212.008165 211.555013 213.762502 215.060126
4.850000 207.950733 210.969847 213.759133 213.307586 215.297534 216.736518
4.910000 211.765040 214.006582 215.996275 215.904656 217.621721 219.939260
4.940000 214.080783 215.975246 217.653964 217.868624 219.772847 223.269160
5.010000 216.984023 218.888750 221.574594 221.887625 225.061023 227.438183
5.040000 218.437731 220.540375 223.693077 223.632017 226.615262 228.562397
5.110000 222.754444 225.667681 227.895079 227.688544 229.789784 231.234429
5.140000 225.145962 227.474768 229.340521 229.195686 231.018123 232.287154
5.210000 229.102863 230.724374 232.258905 232.100451 233.446812 234.393846
5.240000 230.396818 232.116757 233.390847 233.267531 234.437145 235.339180
5.310000 233.557200 234.781355 235.791051 235.748417 236.754436 237.629138
5.340000 234.785753 235.808475 236.770800 236.755835 237.744348 238.623024
5.410000 236.689805 237.837332 238.806319 238.809567 239.891931 240.815363
5.440000 237.579695 238.763343 239.751728 239.773072 240.847541 241.751714
5.510000 239.715777 240.740614 241.776790 241.740339 242.687255 243.652950
5.550000 240.910113 242.035869 243.065509 243.051737 244.072307 245.201377
5.610000 242.555884 243.678770 244.905769 245.095801 246.486289 248.415522
5.650000 244.289932 245.368046 246.909111 247.537989 249.959453 253.613214
5.710000 246.147059 247.696993 250.043982 251.187765 255.258264 259.962962
5.750000 247.753732 249.882621 252.526754 253.655632 257.631914 262.952152
5.810000 250.577337 254.322907 258.485709 258.458288 262.556022 267.192379
5.850000 252.537274 256.751310 261.417832 261.335621 265.822818 269.962348
5.910000 256.045959 261.280297 265.739924 265.631094 270.124007 273.517077
5.940000 257.725235 264.253065 268.076825 267.862455 271.959302 274.847947
6.010000 263.320159 271.551073 274.162188 273.762157 276.591837 278.765629
6.050000 267.133846 273.975303 276.579042 276.050514 278.453798 280.275762
6.110000 274.959532 277.824316 279.793429 279.552976 281.283699 282.863200
6.210000 280.887212 282.685341 284.097751 284.276011 285.845123 288.174404
6.310000 285.087995 286.764706 288.189348 288.986267 291.598442 296.768548
6.330000 285.890331 287.641657 289.188524 290.040307 292.802429 298.240388
6.410000 288.574979 290.735170 293.375922 294.109114 297.922076 302.401855
6.450000 290.335064 292.497189 295.733776 296.232467 300.278177 305.008837
