depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 0.825239 1.596992 2.366815 2.336195 3.058016 3.732574
0.050000 1.909969 2.648529 3.448181 3.440935 4.197917 4.865863
0.060000 2.116821 2.915793 3.685066 3.689097 4.470485 5.134768
0.080000 2.573220 3.410926 4.207752 4.180231 5.002270 5.645749
0.100000 3.068674 3.877820 4.690735 4.683836 5.499903 6.244605
0.120000 3.506354 4.366021 5.205751 5.191671 6.025175 6.805744
0.140000 3.987781 4.889144 5.697811 5.714589 6.533190 7.365829
0.160000 4.503399 5.411024 6.279773 6.279111 7.132793 8.093247
0.180000 5.066763 5.930197 6.851953 6.851678 7.728177 8.973735
0.200000 5.581130 6.513212 7.448513 7.513093 8.504033 9.830821
0.220000 6.256429 7.175005 8.265710 8.395458 9.593495 11.456995
0.240000 10.657559 14.260557 15.167050 14.994361 16.002372 16.736663
0.260000 14.323003 15.205094 15.929183 15.929264 16.651978 17.473321
0.280000 15.157895 15.882812 16.530876 16.582736 17.316679 18.218057
0.300000 15.766314 16.410409 17.045657 17.125438 17.874596 18.799766
0.320000 16.238857 16.886010 17.568783 17.643679 18.489363 19.380129
0.340000 16.671050 17.366798 18.056234 18.159878 19.029926 19.958404
0.360000 17.178995 17.834715 18.581848 18.684414 19.606310 20.591654
0.380000 17.608630 18.323788 19.082779 19.183245 20.126285 21.097356
0.400000 18.128806 18.798766 19.630450 19.705563 20.675668 21.688423
0.420000 18.677177 19.278602 20.150752 20.223095 21.213438 22.170541
0.440000 19.139782 19.784861 20.668588 20.754729 21.763977 22.720584
0.460000 19.635977 20.254696 21.173112 21.266194 22.261150 23.303434
0.480000 20.122141 20.790052 21.702159 21.781512 22.756660 23.897172
0.500000 20.569046 21.307191 22.271633 22.304397 23.267446 24.410930
0.520000 21.063288 21.784870 22.813768 22.828646 23.793509 24.940005
0.540000 21.511692 22.274538 23.283854 23.333960 24.334485 25.480710
0.560000 21.987712 22.777803 23.815819 23.845481 24.867483 26.054375
0.580000 22.596128 23.292288 24.376046 24.381610 25.360271 26.570906
0.600000 23.014447 23.816183 24.904353 24.908915 25.920627 27.044948
0.620000 23.483316 24.365187 25.434943 25.463588 26.520284 27.571295
0.640000 24.014387 24.905168 25.976464 26.007191 27.092510 28.089068
0.660000 24.567693 25.417207 26.547539 26.580635 27.708590 28.758201
0.680000 25.037406 26.029718 27.131012 27.165364 28.310607 29.480386
0.700000 25.526332 26.638745 27.730246 27.784647 28.994284 30.293343
0.720000 26.153793 27.182628 28.380741 28.415196 29.616518 31.081556
0.740000 26.644315 27.842554 29.054290 29.082102 30.325075 31.693127
0.760000 27.153018 28.497561 29.747948 29.753829 31.084243 32.304332
0.780000 27.837977 29.201924 30.446862 30.467077 31.863019 32.933523
0.800000 28.623651 30.004988 31.229690 31.241731 32.578286 33.745912
0.820000 29.251116 30.686805 32.036223 32.010576 33.327598 34.529808
0.840000 30.073261 31.498018 32.832597 32.818180 34.097903 35.509026
0.860000 30.813341 32.270399 33.611422 33.620759 34.884961 36.418102
0.880000 31.876153 33.022695 34.434749 34.422150 35.733804 37.322663
0.900000 32.481133 33.816174 35.176875 35.187982 36.532243 38.274571
0.920000 33.237634 34.590810 35.945367 35.971910 37.379070 38.944280
0.940000 33.977236 35.289080 36.646267 36.715734 38.192915 39.545501
0.960000 34.567721 35.984914 37.383913 37.439805 38.978461 40.318149
0.980000 35.196925 36.713609 38.137614 38.171187 39.749270 41.159649
1.000000 35.834133 37.388558 38.806383 38.888837 40.502815 42.101279
1.020000 36.572808 38.055792 39.594222 39.617625 41.146050 42.758042
1.040000 37.186497 38.759097 40.406407 40.383098 41.902579 43.634080
1.060000 38.136435 39.515130 41.143031 41.167354 42.752345 44.510989
1.080000 38.802921 40.243742 41.926936 41.919368 43.525394 45.098672
1.100000 39.520747 41.093921 42.655772 42.688910 44.301723 45.950404
1.120000 40.234642 41.850334 43.451029 43.459513 45.105429 46.643919
1.140000 40.897889 42.590216 44.218235 44.205433 45.781071 47.211174
1.160000 41.766635 43.428650 44.938083 44.968219 46.529057 47.895585
1.180000 42.457212 44.177332 45.681617 45.692510 47.316615 48.662825
1.200000 43.310638 44.958707 46.492882 46.420339 48.009247 49.190552
1.220000 44.107166 45.601365 47.211237 47.142698 48.685855 49.944612
1.240000 44.822179 46.331064 47.904483 47.833467 49.347952 50.447095
1.260000 45.548579 47.017528 48.714299 48.561148 50.027379 50.931074
1.280000 46.297608 47.716201 49.410649 49.273581 50.711102 51.533653
1.290000 46.674042 48.086244 49.792691 49.622003 51.047812 51.866466
1.300000 47.180720 48.453887 50.122251 49.959245 51.374561 52.251167
1.320000 47.924385 49.275838 50.818218 50.668235 52.007859 52.801819
1.340000 48.617628 49.981181 51.462807 51.344990 52.606297 53.448347
1.360000 49.293795 50.638143 52.127417 51.976976 53.213878 54.104356
1.380000 50.011727 51.339621 52.758901 52.627832 53.855806 54.809135
1.400000 50.647200 52.024039 53.387026 53.269273 54.485391 55.404276
1.420000 51.346668 52.653658 53.990614 53.896544 55.059138 56.046956
1.440000 52.013834 53.319809 54.687880 54.558592 55.719573 56.679378
1.460000 52.571415 53.980776 55.310557 55.192376 56.341086 57.376823
1.480000 53.346539 54.629654 55.936586 55.841276 56.947208 58.014478
1.500000 53.892255 55.310180 56.647924 56.490018 57.604590 58.494233
1.520000 54.497061 55.986259 57.260004 57.123568 58.243461 59.095501
1.540000 55.120900 56.581543 57.855297 57.721883 58.822967 59.611977
1.560000 55.693044 57.253972 58.458715 58.331084 59.434774 60.198732
1.580000 56.380938 57.963171 59.048054 58.952707 60.003754 60.828196
1.600000 57.139746 58.626097 59.666697 59.587255 60.604521 61.406083
1.620000 57.897609 59.188704 60.296901 60.256843 61.292691 62.131093
1.640000 58.585608 59.936970 61.007690 60.960532 62.045858 62.796294
1.660000 59.427375 60.555068 61.664442 61.619612 62.659763 63.666661
1.680000 60.162954 61.202099 62.291983 62.264562 63.290780 64.295049
1.700000 60.778653 61.810550 62.875413 62.877714 63.869540 65.046869
1.720000 61.424484 62.434310 63.473110 63.492927 64.527300 65.829450
1.740000 62.045382 63.022931 64.026366 64.078977 65.127876 66.501474
1.760000 62.607359 63.576421 64.619581 64.674398 65.728826 67.011416
1.800000 63.703337 64.630489 65.761522 65.827610 66.944559 68.291597
1.820000 64.172069 65.195094 66.427153 66.442880 67.593274 68.936857
1.840000 64.774444 65.852963 67.063514 67.087522 68.290171 69.750220
