depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.040000 0.024857 0.162662 0.547366 0.615274 1.067334 1.653518
0.120000 0.197651 0.363107 0.800589 0.851239 1.303679 1.862397
0.200000 0.370333 0.578878 1.032410 1.085973 1.573636 2.170492
0.300000 0.560007 0.832222 1.333517 1.375062 1.883566 2.502399
0.400000 0.770948 1.096546 1.620513 1.664972 2.218494 2.879492
0.500000 0.977302 1.360716 1.904949 1.946180 2.524182 3.210018
0.600000 1.190966 1.594955 2.178342 2.215857 2.837006 3.580593
0.733333 1.458623 1.944625 2.533226 2.584816 3.220112 3.948496
0.866667 1.745358 2.264004 2.897893 2.940709 3.576009 4.352275
1.000000 2.063567 2.599701 3.287381 3.304344 3.966696 4.723460
1.100000 2.283577 2.878490 3.548610 3.588759 4.261872 5.012829
1.200000 2.504668 3.202221 3.847940 3.875287 4.582924 5.295342
1.300000 2.757592 3.458934 4.116955 4.154113 4.902162 5.579144
1.400000 3.020588 3.736264 4.412462 4.440623 5.221270 5.852206
1.500000 3.279042 4.014716 4.724174 4.725008 5.493768 6.117231
1.600000 3.542524 4.316357 5.004767 5.008346 5.775058 6.390523
1.700000 3.816287 4.604711 5.282957 5.296950 6.058674 6.639712
1.800000 4.114247 4.909070 5.561188 5.589202 6.327389 6.910978
1.900000 4.420400 5.235634 5.888250 5.896299 6.629202 7.181750
2.000000 4.782215 5.515173 6.190426 6.196121 6.938431 7.486127
2.100000 5.074022 5.839512 6.495270 6.500887 7.242368 7.780195
2.200000 5.361262 6.148042 6.805473 6.807904 7.515594 8.073400
2.300000 5.810650 6.488842 7.124837 7.134394 7.814340 8.364983
2.400000 6.195903 6.842518 7.455369 7.470498 8.129476 8.709164
2.500000 6.624859 7.171842 7.830661 7.813241 8.426975 8.994646
2.600000 6.995025 7.541656 8.186807 8.166877 8.765972 9.350390
2.700000 7.265093 7.866704 8.497957 8.484127 9.116168 9.622221
2.800000 7.569602 8.183974 8.804521 8.794096 9.408389 9.912780
2.900000 7.923450 8.492460 9.106499 9.101518 9.701895 10.150568
3.000000 8.255764 8.840678 9.428298 9.415711 9.998532 10.411350
3.100000 8.666679 9.214172 9.785959 9.750141 10.308637 10.695133
3.200000 9.019654 9.568512 10.119682 10.091126 10.629529 10.976236
3.300000 9.401533 9.908947 10.454543 10.428425 10.924841 11.329471
3.400000 9.766998 10.234353 10.771525 10.747803 11.228329 11.600846
3.500000 10.084215 10.630084 11.108922 11.072931 11.515180 11.892953
3.600000 10.495209 10.985345 11.433900 11.410784 11.824244 12.232606
3.700000 10.898638 11.336223 11.751255 11.744145 12.130202 12.582304
3.800000 11.283035 11.700373 12.073090 12.073608 12.444178 12.891397
3.900000 11.665790 12.029311 12.375793 12.387439 12.771369 13.134682
4.000000 12.001009 12.335728 12.655038 12.694757 13.117215 13.375530
4.040000 12.141755 12.459323 12.778706 12.820040 13.240934 13.517258
4.080000 12.275335 12.596652 12.908611 12.945584 13.366414 13.623825
4.100000 12.342375 12.653101 12.979636 13.007979 13.424298 13.681148
4.120000 12.421446 12.721636 13.046265 13.072833 13.476931 13.738429
4.160000 12.557023 12.879317 13.169818 13.206755 13.592363 13.854325
4.200000 12.707457 13.015511 13.313256 13.342922 13.703812 13.939923
4.240000 12.846539 13.161369 13.467794 13.478059 13.813968 14.029651
4.280000 12.976724 13.308952 13.609128 13.611116 13.935622 14.142028
4.300000 13.056302 13.385113 13.685145 13.678542 13.993964 14.180610
4.320000 13.117628 13.463193 13.763950 13.748949 14.053043 14.236218
4.360000 13.281316 13.626181 13.917893 13.896464 14.166628 14.342738
4.400000 13.405270 13.769262 14.075773 14.037842 14.291327 14.443797
4.440000 13.566428 13.933693 14.225630 14.180409 14.407309 14.561876
4.480000 13.764124 14.095780 14.366154 14.320724 14.521005 14.667855
4.500000 13.835290 14.182293 14.428365 14.389051 14.581978 14.731970
4.520000 13.958343 14.259227 14.496165 14.457024 14.640786 14.791336
4.560000 14.111010 14.410411 14.606389 14.584198 14.748271 14.925395
4.600000 14.271765 14.562247 14.734145 14.716487 14.865734 15.118529
4.640000 14.430100 14.697081 14.849584 14.843215 14.974848 15.301004
4.680000 14.556061 14.823631 14.966341 14.972215 15.097478 15.477934
4.700000 14.647494 14.890712 15.026362 15.036537 15.159125 15.571047
4.720000 14.711620 14.959577 15.090211 15.104610 15.230207 15.667364
4.760000 14.853864 15.079325 15.211178 15.237140 15.373101 15.872397
4.800000 14.996094 15.189085 15.331909 15.366246 15.516629 16.026451
4.840000 15.126594 15.299597 15.441410 15.493752 15.658992 16.242222
4.880000 15.247989 15.416779 15.566585 15.621259 15.808685 16.435944
4.900000 15.303341 15.481367 15.632438 15.686947 15.883967 16.506178
4.920000 15.370300 15.542863 15.703585 15.757286 15.959235 16.558370
4.960000 15.515525 15.666028 15.844322 15.903069 16.102778 16.767094
5.000000 15.632333 15.800159 15.983354 16.042770 16.232795 16.884274
5.040000 15.768141 15.939819 16.123856 16.184212 16.386182 17.033307
5.080000 15.889109 16.072827 16.260665 16.322609 16.517498 17.168759
5.100000 15.950417 16.139885 16.327242 16.387842 16.593070 17.232453
5.120000 16.028626 16.210531 16.397897 16.454727 16.657317 17.290353
5.160000 16.152303 16.328543 16.521073 16.576386 16.770653 17.402456
5.200000 16.285633 16.457248 16.634689 16.701211 16.885656 17.523782
5.240000 16.412812 16.596194 16.755596 16.826571 17.031979 17.633152
5.280000 16.554697 16.719658 16.881346 16.957488 17.224632 17.744951
