depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.075000 1.555760 2.533189 3.513914 3.488690 4.414565 5.179122
0.085000 1.738461 2.674152 3.661787 3.644521 4.592737 5.299136
0.125000 2.336198 3.381177 4.504057 4.485848 5.517300 6.557690
0.225000 4.384315 5.911088 7.325509 7.283444 8.745042 9.862959
0.275000 5.645990 7.206821 8.697530 8.532634 9.802164 10.746723
0.325000 8.396404 9.404316 10.320333 10.328097 11.272859 12.022508
0.375000 9.408748 10.304116 11.202473 11.151994 11.956561 12.760160
0.425000 10.318111 11.116756 11.890481 11.900906 12.662906 13.471943
0.525000 11.683455 12.334295 13.087246 13.092479 13.868353 14.648107
0.618000 12.680571 13.421223 14.204902 14.192945 14.948056 15.711502
0.633000 12.863927 13.623725 14.437257 14.400675 15.169825 15.952489
0.754000 14.523809 15.430028 16.292084 16.308655 17.186173 18.114791
0.875000 16.686633 17.433689 18.195893 18.224183 19.006884 19.721466
0.925000 17.416536 18.097708 18.887438 18.875952 19.619579 20.287759
0.975000 18.043555 18.667058 19.436262 19.429477 20.184527 20.837560
1.025000 18.540073 19.189621 19.939417 19.946181 20.697997 21.319778
1.075000 18.980555 19.688852 20.456697 20.441796 21.175045 21.859389
1.125000 19.439326 20.168953 20.957785 20.934689 21.667054 22.431150
1.175000 19.926271 20.684933 21.430562 21.428210 22.153986 22.887589
1.225000 20.414145 21.212404 21.963700 21.941497 22.650513 23.412115
1.275000 20.908055 21.740774 22.523226 22.484066 23.197488 23.968730
1.325000 21.535558 22.227786 23.040833 23.022271 23.756328 24.628052
1.375000 22.021008 22.705565 23.563658 23.549936 24.319379 25.246728
1.475000 22.943542 23.641805 24.505334 24.515720 25.327791 26.218853
1.575000 23.719000 24.561340 25.434570 25.441075 26.276417 27.321411
1.675000 24.481795 25.424445 26.351232 26.350168 27.238402 28.184458
1.775000 25.388417 26.260083 27.320463 27.282938 28.151014 29.172985
1.825000 25.849983 26.790233 27.819763 27.785093 28.686002 29.766900
1.875000 26.383120 27.311062 28.314389 28.312961 29.275020 30.326682
1.975000 27.251228 28.267405 29.269828 29.368346 30.369885 32.187129
2.075000 28.200953 29.233470 30.240652 30.440468 31.590124 34.222652
2.175000 29.197467 30.125506 31.211754 31.506281 32.802175 36.013926
2.225000 29.681564 30.623604 31.757727 32.054923 33.441059 36.820909
2.275000 30.156103 31.126900 32.296860 32.637481 34.144330 37.606737
2.325000 30.749764 31.636247 32.818792 33.242063 34.798003 38.373003
