depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
12.030000 288.709370 294.873581 298.450442 297.945440 301.414274 303.606801
12.130000 291.137397 297.578419 300.840559 300.384844 303.689038 305.953250
12.230000 294.038885 300.462681 303.498051 303.057154 306.107537 308.290046
12.330000 299.207715 304.571605 307.085094 306.799230 309.483502 311.668882
12.430000 305.566780 308.646665 310.673392 310.638352 312.793369 314.866747
12.530000 309.550147 311.854346 313.993759 313.920394 316.130399 317.809620
12.630000 312.976421 315.307523 317.239893 317.065006 318.767823 320.203772
12.730000 317.137735 318.979405 320.739364 320.597034 322.169078 323.552517
12.830000 320.256919 321.627042 323.060559 323.074061 324.530687 326.104270
12.930000 322.601398 323.768374 325.286839 325.323773 326.862896 328.319745
13.030000 324.875477 326.442120 327.784998 327.760922 329.132015 330.354085
13.130000 327.211268 329.099591 330.462240 330.373172 331.639905 332.744394
13.220000 331.251714 332.475515 333.609703 333.654383 334.856604 336.228139
13.325000 333.880062 335.229321 336.624332 337.012465 338.821143 342.451418
13.430000 336.901074 338.051892 339.448612 340.109061 342.832600 346.111968
13.530000 339.590847 341.010902 342.545162 342.942184 344.904153 348.403775
13.630000 342.206684 343.932877 345.580127 345.750750 347.361035 350.835320
13.730000 344.368001 345.924077 347.686376 347.893518 349.861858 353.469027
13.830000 346.326647 347.642567 349.541234 349.856975 352.133060 355.430551
13.930000 347.554764 349.210632 351.350457 351.623105 354.130627 356.969951
14.030000 349.073668 350.853731 353.183318 353.328468 355.800172 359.239503
14.130000 350.794742 352.512288 354.822939 355.009316 357.430242 360.838525
14.230000 352.346214 354.285276 356.380917 356.731598 359.273139 362.855917
14.330000 354.237794 356.129643 358.021032 358.458709 360.922737 364.653771
14.430000 355.971791 357.904194 359.821110 360.334077 363.065567 366.178002
14.530000 357.877543 359.815380 362.065079 362.428526 365.500015 367.949208
14.630000 359.637303 361.755787 364.597566 364.620500 367.562404 369.692023
14.720000 361.428154 363.539784 366.690428 366.556344 369.391463 371.226324
14.830000 363.565039 366.034294 369.201563 368.907335 371.445624 373.636993
14.930000 365.555333 368.394221 371.210397 371.032437 373.513078 376.350448
15.030000 368.001942 370.666765 373.116072 373.201802 375.954288 378.326404
15.130000 370.907635 373.332788 375.314321 375.662899 378.589105 380.917837
15.230000 372.614414 375.616425 377.646542 377.910402 380.827889 383.065642
15.330000 374.992400 377.932432 380.216699 380.333672 383.051580 384.848517
15.430000 377.528254 380.140087 382.981806 382.643917 384.996151 386.549857
15.530000 380.016867 382.885885 385.361086 384.943827 386.877814 387.998738
15.630000 383.077291 385.695637 387.506163 387.290395 388.873359 389.967114
15.730000 386.437685 388.229471 389.596466 389.543393 390.944002 392.189235
15.830000 389.456334 390.809968 392.195719 392.174535 393.494887 394.808245
15.930000 391.975309 393.297225 394.738218 394.663214 396.086548 397.008784
16.030000 395.042507 396.767340 398.329212 398.315637 399.787274 401.670888
16.130000 398.397594 399.926091 401.538842 401.690522 403.489073 405.892645
16.220000 401.102044 402.973301 405.315130 405.305955 407.409229 410.082558
16.330000 407.302198 409.775465 411.746351 411.739551 413.695432 416.307799
16.430000 414.179097 415.671016 417.207140 417.267897 418.838888 420.594706
16.530000 418.157366 419.638761 421.109640 421.172445 422.761135 424.308904
16.630000 421.239565 422.391606 423.827417 423.790019 425.208162 426.359876
16.730000 423.788976 425.165917 426.594877 426.559319 427.875815 429.270810
16.830000 427.042508 428.797166 430.711437 430.769299 432.759924 434.973933
16.930000 429.852194 431.449362 433.834128 433.757740 435.970690 437.804938
17.030000 432.316728 434.296464 436.510661 436.368597 438.295279 439.913294
17.130000 435.172519 437.126662 438.815580 438.734606 440.237105 441.849770
17.230000 438.188737 439.792239 440.992218 441.071540 442.419678 444.013491
17.330000 440.439468 441.699290 442.993224 443.071876 444.442546 446.238599
17.430000 441.865987 443.243648 444.602030 444.632255 446.036064 447.641394
17.530000 443.224835 444.532085 446.031676 445.991528 447.383592 448.838809
17.630000 444.313844 445.799907 447.355011 447.196365 448.517787 449.768230
17.720000 445.268244 446.999373 448.353496 448.226376 449.370602 450.515144
17.820000 446.195902 448.200425 449.333859 449.273670 450.411630 451.446189
17.830000 446.308262 448.336527 449.445205 449.382347 450.491017 451.554954
17.920000 447.362370 449.225630 450.315575 450.249571 451.363086 452.361870
17.995000 448.338824 449.968256 450.982030 450.934403 452.014508 452.945192
18.070000 449.064794 450.679707 451.657763 451.627882 452.686980 453.704948
18.120000 449.613823 451.147664 452.116328 452.102087 453.192515 454.251211
18.250000 450.855699 452.282107 453.345957 453.332044 454.475521 455.585038
18.385000 452.063336 453.440359 454.608969 454.678257 455.968844 457.548418
18.520000 453.559096 454.742873 455.950691 456.061262 457.437527 458.985647
18.620000 454.475859 455.703193 457.079311 457.125717 458.545023 460.369454
18.720000 455.404916 456.805365 458.093599 458.205485 459.653571 461.469764
18.840000 456.739683 458.116960 459.411742 459.550960 461.093183 463.060401
18.930000 457.739626 459.173889 460.549999 460.750188 462.419829 464.435073
19.020000 458.687335 460.250821 461.871012 461.998565 463.778326 466.197620
19.120000 460.216497 461.768096 463.498348 463.705315 465.810726 468.328047
19.220000 461.466437 463.278538 465.320974 465.667676 468.430578 470.981715
19.320000 462.902359 465.023835 467.720188 468.018081 471.375274 473.520751
19.420000 465.914861 468.059032 471.802312 471.588035 474.919756 477.036521
19.500000 468.273608 471.123019 474.680812 474.362187 477.397333 479.295271
19.580000 470.787229 474.463168 477.441756 477.040711 479.550199 481.205235
19.695000 475.487619 478.565837 480.800221 480.542915 482.504490 484.211457
19.810000 479.730029 482.005557 483.673263 483.591539 485.212294 486.887859
19.920000 482.683739 484.626171 486.124893 486.141583 487.783354 489.739379
20.010000 484.531532 486.188275 487.809017 487.848257 489.538097 491.333498
20.110000 486.091056 487.818087 489.563650 489.606459 491.402913 493.549738
20.220000 487.853039 489.433712 491.237360 491.426203 493.519276 495.579833
20.320000 489.507401 490.829187 492.738960 492.976170 495.111950 497.240718
20.410000 490.657785 492.286288 494.243902 494.408393 496.619106 498.718156
20.510000 491.911766 493.691145 495.855460 495.991457 498.203382 500.692254
20.610000 493.089260 495.021413 497.375170 497.437467 499.581752 502.010122
20.710000 494.389450 496.486290 498.824654 498.847655 500.854240 503.357893
20.810000 495.490124 497.686821 500.009650 500.098525 502.016999 504.602356
20.910000 496.718580 498.939096 501.156362 501.356874 503.149792 506.288586
20.990000 497.694443 499.975168 502.149085 502.449609 504.175020 510.884844
21.070000 498.644930 501.006667 503.194877 503.544039 505.210878 514.970005
