depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
26.820000 537.548644 540.034564 542.430747 542.242966 544.422626 546.262145
26.890000 538.719177 541.090843 543.297072 543.142858 545.229819 547.053581
27.020000 540.957748 542.951458 544.900942 544.839177 546.649102 548.458747
27.110000 542.049047 544.136875 546.086555 545.956060 547.656066 549.334790
27.200000 543.302224 545.398112 547.282749 547.095740 548.711728 550.278445
27.320000 545.165747 547.144930 548.779869 548.693626 550.256658 551.953158
27.400000 546.578079 548.327005 549.908614 549.880840 551.461395 552.930805
27.520000 548.953802 550.494700 552.070409 552.106587 553.798918 555.463634
27.610000 550.801237 552.476991 554.178531 554.198629 555.878612 558.092948
27.720000 554.092584 555.719152 557.564978 557.644795 559.343606 562.231060
27.820000 558.196521 559.515557 561.179953 561.562066 563.740492 566.488034
27.850000 559.226238 560.618593 562.391432 562.635955 564.883786 567.350684
27.900000 560.963541 562.260892 564.089521 564.336669 566.532854 568.850187
28.020000 564.451840 566.302739 567.948484 567.970338 569.701100 571.787934
28.100000 567.323771 568.855905 570.323887 570.452779 572.163781 574.188815
28.200000 570.002704 571.523770 573.268110 573.341069 575.242714 577.063142
28.315000 572.783316 574.329937 576.242299 576.286516 578.361606 579.996461
28.400000 574.798189 576.702052 578.643394 578.628417 580.667574 582.304969
28.515000 578.303690 580.676407 582.464676 582.352068 583.981582 585.953995
28.600000 583.426349 584.704382 586.088415 586.317833 587.992396 590.268525
28.650000 585.147381 586.527588 588.233215 588.339915 590.178190 592.067960
28.720000 587.074533 588.855910 590.900096 590.834458 592.793597 594.401686
28.850000 590.083075 592.551297 595.016876 594.880006 597.193443 599.040427
28.960000 592.448452 594.903681 597.670946 597.567943 600.027836 602.318510
29.070000 594.904118 597.297610 600.184424 600.014766 602.587823 604.720167
29.150000 596.548668 599.019435 601.893235 601.720848 604.421221 606.265973
29.220000 598.007916 600.511448 603.394181 603.206105 605.826211 607.586763
29.310000 599.884546 602.356731 605.200259 604.971542 607.441958 608.968261
29.400000 601.547640 604.321884 607.056399 606.721500 608.954232 610.239845
29.510000 603.849239 606.823594 609.051419 608.786629 610.710693 612.168042
29.600000 605.960217 608.778306 610.575225 610.413401 612.127706 613.477522
29.700000 608.727204 610.790981 612.356265 612.220378 613.671433 614.897828
29.815000 610.987664 612.830083 614.048458 613.990991 615.249159 616.380434
29.900000 612.667804 614.281664 615.372030 615.335512 616.464660 617.495281
30.030000 615.679687 616.598109 617.621908 617.659673 618.704752 619.891516
30.100000 616.791153 617.707052 618.744511 618.805677 619.930535 621.105812
30.150000 617.545837 618.482811 619.546899 619.604205 620.712774 621.808413
30.270000 619.255332 620.289979 621.483861 621.412278 622.473677 623.413482
30.360000 620.745666 621.913775 622.935495 622.891642 623.855827 624.707010
30.450000 622.356487 623.462221 624.360283 624.349949 625.272592 626.131913
30.525000 623.608482 624.657694 625.552400 625.540887 626.466601 627.412988
30.600000 624.913454 625.883601 626.760043 626.768928 627.676711 628.641523
30.650000 625.818447 626.675445 627.630315 627.638458 628.632158 629.590050
30.680000 626.249725 627.125583 628.105485 628.105412 629.099845 630.144865
30.765000 627.694483 628.644391 629.622474 629.609332 630.527436 631.682277
30.820000 628.384627 629.485542 630.450788 630.493913 631.536915 632.591247
30.900000 629.841185 630.960265 631.995561 632.083906 633.218394 634.730930
31.015000 631.522964 632.807027 634.023269 634.113406 635.452884 637.074640
31.100000 632.805443 634.119088 635.564516 635.579248 636.990700 638.725802
31.200000 634.261424 635.609126 637.140307 637.180034 638.700173 640.525527
31.315000 635.936381 637.272044 638.852472 638.931936 640.654736 642.375841
31.400000 636.968298 638.413589 640.107823 640.163460 641.922513 643.673089
31.520000 638.485359 640.075585 641.841331 641.866130 643.699398 645.512588
31.610000 639.751477 641.342303 643.106522 643.180982 645.028370 646.965807
31.700000 640.943295 642.650479 644.386522 644.523450 646.394776 648.505935
31.810000 642.572557 644.246244 646.021251 646.181749 648.137407 650.801430
31.900000 643.999736 645.655383 647.422791 647.644479 649.671533 652.950904
31.975000 645.296262 646.757828 648.635965 648.940055 651.135924 654.345527
32.050000 646.408298 648.036330 649.903988 650.270053 652.582867 655.947259
32.150000 647.848149 649.584112 651.629743 652.075387 654.787707 658.347044
32.225000 648.821791 650.654956 653.004554 653.438478 656.247984 660.079561
32.300000 650.046171 651.913541 654.353852 654.833057 657.855627 661.806158
32.400000 651.646513 653.756532 656.392084 656.811564 660.020340 663.828512
32.480000 652.902340 655.261457 658.310957 658.506533 661.891093 665.329119
32.560000 654.122687 656.806135 659.978608 660.182133 663.591959 666.798604
32.640000 655.887334 658.517839 661.752826 661.973069 665.392004 668.734432
32.770000 658.514547 661.640603 664.833043 664.906454 668.035104 671.609285
32.850000 660.689762 663.843616 666.804903 666.903722 670.050806 673.575896
32.940000 662.806075 666.168743 669.052718 669.141459 672.322603 675.968373
33.040000 665.289143 668.834019 671.679222 671.819724 674.919489 679.121267
33.150000 667.805143 671.829678 674.898091 675.018624 678.525188 682.340444
33.240000 670.904077 674.625152 677.862025 678.162427 682.142205 685.294384
33.300000 673.157924 676.702952 680.305434 680.430489 684.487813 687.247891
33.400000 678.672860 681.493427 685.189204 684.936565 688.262726 690.407649
33.540000 683.882690 687.324902 689.882816 689.598795 691.830644 693.547819
33.660000 688.717201 691.159376 692.972922 692.874897 694.565890 696.283464
33.800000 692.199582 694.240761 695.820848 695.811502 697.464842 699.440463
33.900000 694.226325 696.064984 697.724289 697.727300 699.412551 701.393126
34.002500 695.830079 697.793155 699.500820 699.514126 701.311199 703.284732
34.105000 697.470414 699.526241 701.292466 701.302926 703.157530 705.210272
34.230000 699.697852 701.724626 703.606774 703.660558 705.624860 707.793692
