depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
3.970000 1569.549698 1574.813434 1578.711621 1578.508150 1582.490579 1586.034987
4.020000 1574.058654 1577.979619 1581.508327 1581.509891 1585.171213 1588.430957
4.070000 1578.425483 1581.401541 1584.670430 1584.729151 1588.110683 1591.189861
4.120000 1582.340795 1584.827156 1588.052819 1588.068298 1591.339019 1594.140267
4.170000 1586.246818 1588.644685 1591.674905 1591.618979 1594.358353 1597.187857
4.220000 1588.865967 1592.139655 1594.762043 1594.676317 1597.346123 1599.455020
4.270000 1592.369968 1595.651984 1598.071887 1597.955220 1600.394419 1602.143846
4.320000 1596.043621 1598.741468 1600.981172 1600.860626 1602.962179 1604.908666
4.370000 1598.943335 1601.328391 1603.514490 1603.390421 1605.433370 1607.348520
4.420000 1601.442139 1603.809563 1605.927979 1605.833612 1607.844522 1609.872186
4.470000 1603.534484 1606.133139 1608.266255 1608.344081 1610.678038 1613.561795
4.520000 1606.294573 1608.271158 1610.565059 1610.778223 1613.316134 1616.915235
4.570000 1609.083295 1610.910491 1613.272867 1613.613382 1616.296957 1620.057687
4.620000 1611.809111 1613.754104 1616.441228 1616.794180 1619.822413 1623.657979
4.670000 1614.525442 1616.607783 1619.803955 1620.054721 1623.399596 1627.148596
4.720000 1616.705143 1619.633345 1623.133455 1623.378879 1626.850763 1630.620860
4.770000 1619.698550 1622.740426 1626.660708 1626.965132 1630.159057 1634.249038
4.820000 1622.799604 1626.074426 1629.849263 1630.549571 1633.377405 1640.122086
4.870000 1625.586072 1629.261007 1633.054161 1634.322825 1636.282167 1675.385242
4.920000 1628.488229 1632.348167 1635.924654 1638.069487 1638.838205 1679.910642
4.970000 1632.306292 1635.605891 1638.806759 1641.650269 1641.615749 1684.416077
5.020000 1635.618845 1639.207813 1641.907911 1645.507157 1645.101154 1688.351047
5.070000 1639.778065 1642.914371 1645.617266 1649.671072 1649.390655 1693.204501
5.120000 1644.329841 1646.729072 1649.962684 1654.495420 1656.347953 1697.996188
5.220000 1650.243066 1655.165554 1660.674358 1667.641262 1693.790282 1706.395737
5.270000 1654.639661 1659.674092 1665.967879 1673.445949 1699.003659 1712.771617
5.320000 1659.155480 1664.080423 1670.000368 1679.158804 1705.090500 1720.530560
5.370000 1664.071037 1668.670970 1674.799486 1685.081304 1710.332841 1726.868809
5.420000 1672.350627 1676.383032 1683.490178 1693.051473 1716.583898 1735.105347
5.470000 1677.927839 1683.885771 1695.178071 1701.173566 1723.707117 1740.904471
5.520000 1684.187330 1688.857758 1701.547567 1707.317312 1729.739171 1747.525979
5.570000 1688.442328 1692.490212 1708.966477 1713.783206 1736.201895 1754.588167
5.620000 1692.665853 1696.625777 1717.575568 1720.084314 1742.224495 1764.057514
5.670000 1697.325258 1700.407032 1726.212361 1726.966301 1748.774698 1776.487266
5.720000 1700.999277 1704.391656 1733.497178 1734.464615 1759.188526 1783.336598
5.770000 1705.125522 1709.397321 1743.202511 1744.201359 1781.562620 1788.249177
