depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
5.000000 0.905300 3.047622 5.014628 5.003473 6.970398 8.204828
5.142857 0.983041 3.085523 5.077772 5.060713 7.019572 8.276532
5.285714 1.079181 3.152248 5.130933 5.116279 7.070452 8.338609
5.428571 1.151178 3.211442 5.180033 5.172223 7.112521 8.383425
5.571429 1.234503 3.269226 5.239056 5.225119 7.154612 8.451800
5.714286 1.300646 3.324871 5.283675 5.275554 7.200482 8.489228
5.857143 1.424727 3.389453 5.324948 5.327916 7.249948 8.548387
6.000000 1.480841 3.439649 5.366449 5.379305 7.298752 8.584730
6.142857 1.525219 3.481860 5.410311 5.430948 7.349874 8.641675
6.285714 1.577018 3.519204 5.477355 5.482996 7.394063 8.684910
6.428571 1.652878 3.585064 5.523361 5.531938 7.439545 8.726599
6.571429 1.698809 3.632269 5.565173 5.580588 7.479693 8.779758
6.714286 1.755145 3.694526 5.620068 5.630987 7.522981 8.874429
6.857143 1.794873 3.742810 5.654425 5.678383 7.553748 8.934864
7.000000 1.843551 3.800423 5.699229 5.726822 7.607770 8.974192
7.142857 1.916898 3.848114 5.742634 5.772759 7.649984 9.020942
7.285714 1.968714 3.888287 5.800075 5.819028 7.683812 9.056017
7.428571 2.023825 3.938928 5.851395 5.867485 7.745284 9.084638
7.571429 2.089327 3.974132 5.892719 5.912624 7.788046 9.119713
7.714286 2.149387 4.010338 5.925446 5.958321 7.825535 9.154280
7.857143 2.188716 4.053813 5.970360 6.003033 7.883345 9.181615
8.000000 2.257463 4.109546 6.018362 6.047911 7.934074 9.207113
8.142857 2.315166 4.168644 6.063807 6.093599 7.978092 9.238486
8.285714 2.353301 4.214704 6.116833 6.139005 8.005791 9.309545
8.428571 2.399447 4.252777 6.171561 6.184632 8.036201 9.362174
8.571429 2.449325 4.293900 6.215059 6.231805 8.062992 9.430556
8.714286 2.490571 4.331338 6.264285 6.277533 8.093691 9.471249
8.857143 2.542236 4.371804 6.307423 6.321526 8.131903 9.502176
9.000000 2.584774 4.434426 6.352952 6.366443 8.168421 9.537419
9.142857 2.659262 4.491559 6.397400 6.412856 8.209784 9.594104
9.285714 2.699604 4.531626 6.446923 6.458299 8.239664 9.635033
9.428571 2.733770 4.584534 6.490567 6.502838 8.263703 9.673014
9.571429 2.786259 4.624441 6.541937 6.547297 8.294932 9.703240
9.714286 2.833069 4.674821 6.586126 6.590936 8.334164 9.730946
9.857143 2.859410 4.717605 6.627419 6.636252 8.378006 9.762900
10.000000 2.923358 4.781414 6.701247 6.684179 8.412936 9.780090
10.142857 2.962906 4.840855 6.739668 6.731147 8.466084 9.843502
10.285714 2.995080 4.910978 6.778483 6.776971 8.499872 9.894207
10.428571 3.034566 4.965483 6.830031 6.820921 8.539158 9.942000
10.571429 3.074677 5.007851 6.878559 6.864991 8.584601 9.983824
10.714286 3.123992 5.072084 6.938479 6.911589 8.621617 10.016960
10.857143 3.168452 5.124050 6.977714 6.956089 8.652140 10.053477
11.000000 3.196531 5.173079 7.023634 7.002600 8.683029 10.091124
11.142857 3.231574 5.237298 7.085012 7.048760 8.748662 10.133497
11.285714 3.275253 5.290250 7.136812 7.095035 8.813894 10.165102
11.428571 3.305152 5.342646 7.180940 7.141611 8.877870 10.206729
11.571429 3.353355 5.390547 7.241821 7.187435 8.915706 10.254634
11.714286 3.388720 5.420801 7.286883 7.232622 8.950546 10.313545
11.857143 3.418398 5.480979 7.349277 7.279225 8.974824 10.399481
12.000000 3.468888 5.527504 7.398732 7.324755 9.029119 10.483563
12.142857 3.511506 5.610024 7.459588 7.373344 9.082655 10.587512
12.285714 3.548014 5.655112 7.508483 7.418787 9.126357 10.622506
12.428571 3.583758 5.698834 7.539930 7.465463 9.159814 10.668340
12.571429 3.624184 5.738224 7.586247 7.512506 9.229009 10.745849
12.714286 3.674339 5.781158 7.629838 7.559102 9.261282 10.819537
12.857143 3.724382 5.824056 7.679157 7.606963 9.306899 10.868979
13.000000 3.791849 5.876214 7.732263 7.657606 9.381228 10.919017
13.142857 3.878411 5.935531 7.781280 7.709400 9.451798 10.977783
13.285714 3.942333 5.995059 7.822627 7.758150 9.541125 11.029863
13.428571 3.969982 6.037433 7.855065 7.808352 9.571842 11.086343
13.571429 3.997657 6.072150 7.917001 7.857030 9.614382 11.132821
13.714286 4.024564 6.127979 7.961703 7.908387 9.629902 11.186211
13.857143 4.047771 6.160383 7.997745 7.958396 9.683465 11.212162
14.000000 4.068625 6.201685 8.055006 8.009801 9.752438 11.249487
14.142857 4.125590 6.257333 8.102843 8.063326 9.815240 11.387975
14.285714 4.174935 6.331287 8.169302 8.116765 9.873461 11.448436
14.428571 4.230504 6.375255 8.208541 8.168455 9.922091 11.509173
14.571429 4.269384 6.416928 8.271607 8.216853 9.947283 11.554934
14.714286 4.331380 6.455778 8.309342 8.267142 9.996826 11.603563
14.857143 4.387666 6.503130 8.368195 8.315974 10.070621 11.663373
15.000000 4.456828 6.553445 8.423749 8.368187 10.161777 11.732626
15.142857 4.508368 6.598804 8.474497 8.421233 10.220320 11.870743
15.285714 4.540296 6.635698 8.520539 8.475919 10.295368 11.938214
15.428571 4.584266 6.680034 8.557086 8.529229 10.369490 12.038325
15.571429 4.623219 6.746538 8.617758 8.584524 10.412370 12.121501
15.714286 4.686894 6.822817 8.668805 8.637560 10.440626 12.175308
15.857143 4.747029 6.848190 8.716365 8.694123 10.492154 12.229241
16.000000 4.853798 6.887744 8.769087 8.751401 10.577724 12.364621
