depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.250000 6.808516 9.008299 10.315429 10.183217 11.300112 12.217200
0.325000 6.936642 9.147127 10.435712 10.316304 11.431564 12.326706
0.400000 7.127056 9.289175 10.545557 10.446397 11.551739 12.450733
0.450000 7.235555 9.385829 10.602947 10.529604 11.625436 12.509486
0.500000 7.299434 9.458933 10.679330 10.610460 11.712363 12.578661
0.550000 7.356776 9.554651 10.746457 10.692989 11.792077 12.676353
0.600000 7.539468 9.640385 10.792136 10.773873 11.856793 12.767109
0.650000 7.680517 9.750636 10.879944 10.855736 11.937920 12.928008
0.700000 7.812182 9.839462 10.943855 10.938529 12.017955 12.984102
0.750000 7.921908 9.915611 11.043007 11.022158 12.100899 13.097443
0.800000 8.051919 10.013545 11.115855 11.108886 12.189341 13.164880
0.850000 8.201447 10.152813 11.185891 11.196367 12.284541 13.232356
0.900000 8.313182 10.233452 11.266343 11.281339 12.365450 13.320180
0.950000 8.384997 10.370067 11.355966 11.373847 12.448237 13.371608
1.000000 8.599160 10.487542 11.425662 11.469396 12.540815 13.478106
1.050000 8.768729 10.592799 11.558081 11.567833 12.638463 13.593512
1.100000 8.941807 10.675095 11.718189 11.668419 12.754359 13.667751
1.150000 9.080742 10.793299 11.872436 11.777431 12.883478 13.759287
1.200000 9.257734 10.891088 11.989445 11.905860 13.034678 13.853612
1.250000 9.443102 10.998774 12.107224 12.035311 13.179660 13.927081
1.300000 9.881975 11.139971 12.258314 12.183605 13.336122 14.007232
1.350000 10.279852 11.407158 12.449930 12.392035 13.483873 14.088290
1.400000 10.485004 11.545953 12.552819 12.517515 13.616908 14.200714
1.450000 10.821769 11.715636 12.676158 12.665263 13.720198 14.298133
1.500000 11.116179 11.871756 12.793530 12.817942 13.836054 14.376151
1.550000 11.239534 12.044733 12.996854 12.962960 13.939265 14.498276
1.600000 11.390573 12.190299 13.218852 13.135975 14.095049 14.592544
1.650000 11.490017 12.307929 13.376524 13.270547 14.234399 14.701025
1.700000 11.638607 12.450863 13.502813 13.417837 14.365109 14.911143
1.750000 11.809051 12.592712 13.639538 13.557389 14.475911 15.019108
1.800000 11.923217 12.719947 13.756743 13.692540 14.577806 15.136573
1.875000 12.195828 13.043746 14.080915 13.984359 14.794942 15.403816
1.950000 12.691259 13.449038 14.397924 14.272813 15.000793 15.579811
2.000000 12.829349 13.612264 14.535396 14.400216 15.107066 15.668238
2.050000 12.947927 13.734006 14.668601 14.520620 15.211014 15.748825
2.100000 13.028681 13.912160 14.798325 14.644186 15.310973 15.815923
2.175000 13.262311 14.103098 14.990803 14.833736 15.490665 15.949785
