depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.009920 0.333826 1.493235 3.439974 3.362924 5.068228 6.083819
0.059900 0.552080 1.726111 3.661553 3.588064 5.255345 6.281947
0.109980 0.816445 1.974446 3.937588 3.823543 5.515572 6.452415
0.160010 1.017832 2.183872 4.209058 4.050611 5.730799 6.646946
0.210041 1.236265 2.443567 4.473800 4.280562 5.978092 6.842963
0.260072 1.483224 2.691660 4.649082 4.497212 6.170346 7.015536
0.310103 1.770639 2.936269 4.859474 4.715153 6.372619 7.168531
0.410164 2.287319 3.447143 5.312669 5.141260 6.760977 7.467503
0.460195 2.561255 3.686341 5.557399 5.354131 6.944597 7.620760
0.510226 2.852179 3.958923 5.803968 5.586415 7.150851 7.782506
0.560257 3.077280 4.251132 6.028941 5.807094 7.339422 7.971931
0.610288 3.323198 4.496833 6.277707 6.030060 7.572948 8.153256
0.660318 3.558481 4.727556 6.472516 6.243567 7.761215 8.319536
0.710349 3.865434 4.969403 6.691413 6.455349 7.957600 8.489399
0.760380 4.068769 5.175560 6.921269 6.662671 8.149646 8.664126
0.810411 4.291685 5.381203 7.126535 6.862273 8.338729 8.827112
0.860442 4.488014 5.593128 7.344949 7.070319 8.518346 8.983451
0.910472 4.787053 5.832663 7.524746 7.273864 8.676453 9.133310
0.960503 5.046190 6.066053 7.734266 7.483919 8.841911 9.336113
1.010530 5.304970 6.307605 7.922948 7.691010 9.018911 9.479362
1.110460 5.838962 6.784645 8.338254 8.105426 9.308543 9.802207
1.160300 6.042077 7.010707 8.539135 8.311441 9.500655 9.960753
1.210130 6.339600 7.246185 8.738533 8.531594 9.696991 10.139481
1.259770 6.604594 7.491681 8.957143 8.747431 9.885429 10.372635
1.309610 6.845110 7.764639 9.131784 8.963853 10.057155 10.541552
1.359940 7.056527 8.015089 9.342857 9.183307 10.250345 10.712435
1.410090 7.339423 8.293522 9.536836 9.411597 10.438660 10.879131
1.459870 7.629630 8.605423 9.771707 9.645291 10.632033 11.021469
1.509670 7.877123 8.899983 9.999273 9.879690 10.825970 11.203103
1.559870 8.189062 9.202316 10.256390 10.117949 10.995629 11.400689
1.610190 8.629652 9.509193 10.525220 10.365039 11.163886 11.555113
1.709740 9.376787 10.113597 11.012619 10.857909 11.511264 11.912057
1.760000 9.707536 10.442756 11.234630 11.104199 11.696087 12.110916
1.810130 9.994174 10.773660 11.437915 11.346547 11.896836 12.329966
1.859990 10.301120 11.071114 11.669523 11.596701 12.134250 12.561661
1.909830 10.555835 11.336849 11.905276 11.834284 12.350996 12.768019
1.960070 10.895816 11.592645 12.133747 12.078215 12.557929 13.001214
2.010330 11.187710 11.832715 12.374546 12.316247 12.779417 13.280981
2.060080 11.394210 12.057553 12.622691 12.563071 13.003313 13.580021
2.109790 11.597516 12.308299 12.872046 12.815726 13.272299 13.832312
2.160060 11.811844 12.516763 13.120344 13.058788 13.533383 14.113101
2.210390 11.990777 12.751349 13.359848 13.298601 13.789041 14.398247
2.260250 12.166721 12.973718 13.594305 13.534898 14.047874 14.683525
2.309890 12.332375 13.175298 13.843427 13.772755 14.308567 14.915656
2.329950 12.415974 13.272325 13.944178 13.870478 14.424057 15.061213
2.360120 12.562176 13.420506 14.084936 14.019522 14.582110 15.223562
2.380150 12.651979 13.537628 14.195159 14.125560 14.678872 15.280362
2.430370 12.921497 13.840651 14.478428 14.389502 14.917463 15.489468
2.480150 13.111419 14.067410 14.751467 14.634997 15.143803 15.670357
2.530010 13.365732 14.311225 15.029479 14.877476 15.373037 15.889646
2.580340 13.601513 14.549109 15.271481 15.127367 15.590503 16.091902
2.630480 13.855991 14.868362 15.524843 15.401252 15.831617 16.307055
2.705135 14.381247 15.507648 15.965082 15.920221 16.380411 17.069648
2.779790 15.097225 16.045920 16.475932 16.498459 16.977415 17.772353
2.879817 15.719545 16.543971 17.040129 17.076353 17.602650 18.501749
2.979843 16.456411 17.050948 17.578002 17.635841 18.208898 19.044992
3.079870 17.055186 17.558919 18.101292 18.182565 18.803053 19.705764
3.179910 17.537278 17.983524 18.585663 18.686534 19.354447 20.539362
3.229750 17.706865 18.178810 18.812977 18.924664 19.650284 20.863021
3.330130 18.041942 18.590906 19.271879 19.396356 20.213262 21.519155
3.380010 18.192819 18.767499 19.538280 19.644824 20.540963 21.838460
