depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.250000 6.979568 8.734520 9.580761 9.597566 10.608841 11.583699
0.325000 7.126142 8.905890 9.718682 9.732950 10.701499 11.744773
0.400000 7.251715 9.041607 9.838141 9.860642 10.815101 11.858966
0.450000 7.369503 9.119781 9.922391 9.946092 10.878456 11.950118
0.500000 7.442910 9.209121 10.007716 10.029698 10.945206 12.006199
0.550000 7.597391 9.287959 10.091491 10.112411 11.006922 12.078312
0.600000 7.838334 9.391383 10.164416 10.194335 11.068976 12.124092
0.650000 7.944694 9.458180 10.260786 10.275898 11.141755 12.203972
0.700000 8.092891 9.536317 10.338113 10.358109 11.209986 12.269595
0.750000 8.196972 9.617580 10.428603 10.440972 11.301464 12.316609
0.800000 8.308976 9.716047 10.502246 10.526782 11.381965 12.382793
0.850000 8.444769 9.823893 10.570210 10.613429 11.481382 12.473527
0.900000 8.558311 9.955066 10.645699 10.702169 11.570757 12.590946
0.950000 8.646022 10.072686 10.727165 10.794044 11.637497 12.666120
1.000000 8.873884 10.189422 10.815725 10.894527 11.717499 12.775285
1.050000 9.052597 10.345887 10.902932 11.006812 11.837036 12.935452
1.100000 9.218859 10.476876 10.988857 11.113009 11.941217 13.056252
1.150000 9.623053 10.585375 11.090543 11.223713 12.041733 13.142814
1.200000 9.795543 10.703578 11.174208 11.334891 12.134956 13.306623
1.250000 9.915497 10.816956 11.292244 11.457943 12.244971 13.371116
1.300000 10.219685 10.953191 11.440809 11.604101 12.376632 13.467037
1.350000 10.412323 11.116716 11.611159 11.769823 12.501357 13.692268
1.400000 10.608024 11.242335 11.743712 11.895960 12.632982 13.819425
1.450000 10.890330 11.396309 11.881749 12.046731 12.768084 13.954128
1.500000 11.108466 11.554369 12.014011 12.190744 12.908981 14.076928
1.550000 11.213510 11.678368 12.127143 12.321169 13.048865 14.261462
1.600000 11.328848 11.798517 12.233662 12.446432 13.223459 14.352306
1.650000 11.454587 11.916133 12.357540 12.574422 13.369851 14.477152
1.700000 11.597158 12.034369 12.468147 12.702058 13.522975 14.576606
1.750000 11.728901 12.165183 12.591174 12.835358 13.688694 14.661789
1.800000 11.855730 12.289564 12.713052 12.958332 13.828788 14.750283
1.875000 12.076925 12.496170 12.907841 13.181049 14.120324 14.899888
1.950000 12.299525 12.705474 13.123408 13.408903 14.376672 15.050368
2.000000 12.456733 12.821655 13.234828 13.521364 14.502957 15.128733
2.050000 12.561686 12.916334 13.355385 13.632046 14.653944 15.209080
2.100000 12.634576 13.023486 13.474834 13.743183 14.778818 15.283473
2.175000 12.798453 13.190723 13.683641 13.915964 14.926540 15.439457
2.250000 12.930913 13.357637 13.879324 14.078988 15.095563 15.556795
2.300000 13.007354 13.459690 13.993749 14.188335 15.190904 15.654861
2.400000 13.223205 13.685834 14.231174 14.436520 15.429041 15.808778
2.450000 13.322919 13.788073 14.340956 14.543487 15.527894 15.910181
2.500000 13.411370 13.904936 14.461245 14.657493 15.619648 16.075924
2.550000 13.516141 14.009109 14.582371 14.769675 15.732169 16.260618
2.650000 13.747928 14.222174 14.829224 15.018112 15.917255 16.593401
2.750000 13.985845 14.401162 15.099043 15.243560 16.050646 16.916052
2.800000 14.092188 14.477741 15.214815 15.336638 16.128956 17.064354
2.875000 14.205553 14.608418 15.427442 15.478840 16.220095 17.265857
2.950000 14.332857 14.726326 15.671771 15.616845 16.324118 17.428544
3.050000 14.529110 14.873994 15.894292 15.787425 16.467387 17.689073
3.100000 14.616967 14.952906 15.983996 15.869993 16.535029 17.786264
3.200000 14.767023 15.078799 16.136829 16.030091 16.678845 18.016842
3.250000 14.828290 15.151712 16.214969 16.109359 16.748722 18.202921
3.300000 14.902414 15.238018 16.291273 16.188350 16.850721 18.314387
3.350000 14.965855 15.339472 16.350991 16.269918 16.918789 18.390967
3.400000 15.054439 15.449517 16.431565 16.353443 17.004723 18.466673
3.500000 15.223121 15.686397 16.571461 16.514077 17.158243 18.661709
3.550000 15.303124 15.788425 16.631605 16.594197 17.233714 18.747972
3.600000 15.388054 15.906838 16.700358 16.674027 17.338039 18.777939
3.700000 15.549905 16.069023 16.815479 16.832466 17.540739 18.996086
3.800000 15.670066 16.228056 16.933741 16.983919 17.702909 19.167017
3.900000 15.799379 16.362306 17.059966 17.137328 17.948817 19.453709
3.950000 15.862700 16.440454 17.120806 17.214253 18.054731 19.549468
4.000000 15.926893 16.511330 17.189931 17.293767 18.153043 19.648724
4.050000 15.994720 16.580174 17.245316 17.371437 18.246250 19.700234
4.125000 16.086941 16.691150 17.333708 17.492556 18.398247 19.960440
4.200000 16.170271 16.807468 17.434321 17.619720 18.579162 20.054500
4.250000 16.235067 16.878316 17.504295 17.706649 18.691374 20.118805
4.300000 16.300851 16.944965 17.576060 17.790496 18.795524 20.169237
4.350000 16.378209 16.994828 17.643044 17.874720 18.896694 20.224620
4.400000 16.452494 17.065943 17.706002 17.965991 19.013982 20.385735
4.450000 16.514877 17.130966 17.770266 18.054003 19.122124 20.616873
4.500000 16.592039 17.203050 17.855590 18.147200 19.217768 20.851888
4.550000 16.677685 17.270310 17.933398 18.242868 19.325891 20.922987
4.600000 16.730815 17.335282 18.020046 18.337337 19.435216 21.093052
4.650000 16.815214 17.399307 18.108756 18.428375 19.534101 21.146793
4.700000 16.874050 17.479450 18.195503 18.523820 19.635670 21.318735
4.750000 16.950995 17.566335 18.291365 18.619902 19.743024 21.407055
4.800000 17.024290 17.644099 18.404665 18.714367 19.828020 21.526907
4.900000 17.152489 17.819475 18.659748 18.936820 20.100234 21.929229
4.950000 17.209111 17.903154 18.772601 19.032346 20.180037 22.017682
5.000000 17.281499 17.975594 18.879846 19.125261 20.276161 22.104921
5.050000 17.338455 18.061012 18.989429 19.225901 20.381397 22.198989
5.100000 17.421684 18.148133 19.121694 19.325560 20.510007 22.270983
5.150000 17.488760 18.259699 19.230510 19.432044 20.639230 22.412684
5.200000 17.561367 18.373910 19.339897 19.534186 20.726062 22.505019
5.250000 17.637770 18.483700 19.454464 19.641592 20.837249 22.640793
5.300000 17.711626 18.594096 19.587419 19.755688 20.936546 22.721692
5.350000 17.820784 18.705697 19.705646 19.857982 21.040040 22.810018
5.400000 17.873535 18.803921 19.786552 19.962040 21.178967 23.027472
5.450000 17.952697 18.923587 19.910670 20.074433 21.315812 23.114255
5.500000 18.113580 19.038315 20.023250 20.182614 21.417096 23.202003
5.550000 18.201541 19.134023 20.150307 20.292363 21.537746 23.331800
5.600000 18.285875 19.250575 20.247092 20.394595 21.645058 23.503142
5.620000 18.333424 19.284607 20.283378 20.432404 21.685611 23.535263
5.650000 18.398972 19.358140 20.343042 20.491121 21.736479 23.571910
5.700000 18.516710 19.471773 20.497192 20.599215 21.824486 23.712388
5.750000 18.603440 19.557617 20.596299 20.706679 21.901003 23.867819
5.800000 18.690711 19.683025 20.679447 20.807517 21.992166 23.937877
5.850000 18.784233 19.802397 20.771843 20.912550 22.075095 24.010764
5.900000 18.880065 19.921428 20.859159 21.017576 22.148670 24.127013
5.950000 18.961253 20.002411 20.961550 21.120698 22.234584 24.240565
6.000000 19.026389 20.078567 21.056758 21.219721 22.314501 24.443678
6.050000 19.093354 20.170293 21.161170 21.321959 22.413926 24.568106
6.100000 19.160088 20.265306 21.260358 21.420488 22.507551 24.631328
6.150000 19.268939 20.368271 21.373722 21.523961 22.617879 24.727392
6.200000 19.345845 20.452727 21.485236 21.624721 22.750449 24.810928
6.250000 19.474065 20.538359 21.623626 21.723974 22.835785 24.896548
6.300000 19.598345 20.644370 21.733918 21.821858 22.914564 24.959058
6.350000 19.722910 20.750741 21.849890 21.918559 23.048798 25.047240
6.425000 19.873306 20.903409 22.010984 22.073974 23.234665 25.150163
6.500000 19.989829 21.033518 22.180589 22.228165 23.386816 25.295696
6.550000 20.109849 21.104333 22.286783 22.327568 23.549744 25.384957
6.600000 20.176830 21.181384 22.389915 22.427451 23.676187 25.439916
6.640000 20.218966 21.251989 22.459608 22.503137 23.725940 25.487865
6.690000 20.314436 21.353213 22.554516 22.603607 23.832194 25.546778
6.740000 20.386208 21.441591 22.672043 22.704980 23.930550 25.613265
6.790000 20.506354 21.537776 22.775090 22.807573 24.030063 25.695032
6.840000 20.572407 21.623620 22.885383 22.908354 24.134287 25.779151
6.890000 20.663643 21.724012 23.000614 23.009291 24.223296 25.835337
6.990000 20.871669 21.895732 23.246235 23.226002 24.514770 25.946043
7.090000 21.012783 22.036084 23.465740 23.439860 24.714223 26.075438
7.190000 21.140748 22.264264 23.685260 23.662998 24.910091 26.228237
7.240000 21.226118 22.360154 23.796145 23.770051 25.044757 26.286457
7.290000 21.281058 22.448311 23.923044 23.870839 25.149226 26.341618
7.390000 21.442340 22.657215 24.194938 24.087183 25.338735 26.552276
7.490000 21.628568 22.859829 24.509161 24.309104 25.546042 26.703898
7.540000 21.740699 22.963532 24.609920 24.405869 25.638757 26.770231
7.590000 21.815141 23.045160 24.722971 24.506026 25.729689 26.820251
7.640000 21.935836 23.101536 24.829297 24.601756 25.830775 26.897754
7.690000 22.017048 23.173417 24.931756 24.698650 25.910350 26.967566
7.740000 22.127385 23.259802 25.043292 24.795761 26.005509 27.031892
7.840000 22.351584 23.481776 25.255373 24.997621 26.184073 27.192789
7.890000 22.437397 23.573688 25.369711 25.097172 26.276774 27.268477
7.940000 22.494489 23.653349 25.468554 25.192866 26.395224 27.319420
7.990000 22.558561 23.733353 25.557705 25.285429 26.491525 27.401526
8.040000 22.627033 23.790055 25.663091 25.376117 26.596725 27.467597
8.115000 22.735679 23.912718 25.789697 25.508872 26.741446 27.596571
8.190000 22.835777 24.033682 25.954676 25.644152 26.882374 27.726559
8.290000 22.985176 24.186322 26.134470 25.832805 27.111366 27.893505
