depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.009920 0.353878 1.380565 3.139008 3.263660 5.206352 6.253646
0.059900 0.592566 1.599926 3.388059 3.498475 5.408618 6.426953
0.109980 0.764409 1.822808 3.626020 3.728579 5.647738 6.589792
0.160010 0.935026 2.081346 3.833867 3.954346 5.884373 6.774566
0.210041 1.144364 2.354869 4.084692 4.187230 6.086901 6.959097
0.260072 1.342833 2.579909 4.296029 4.409137 6.300877 7.118485
0.310103 1.598626 2.874219 4.516027 4.628094 6.503201 7.315131
0.410164 1.971242 3.353096 5.000380 5.058923 6.838044 7.626912
0.460195 2.309206 3.635141 5.185188 5.283123 7.015258 7.784334
0.510226 2.577314 3.909466 5.400802 5.503247 7.201743 7.955088
0.560257 2.805226 4.147695 5.686769 5.731847 7.406837 8.151570
0.610288 3.015775 4.401141 5.959191 5.951781 7.588839 8.320865
0.660318 3.201886 4.634121 6.223110 6.161077 7.777880 8.484078
0.710349 3.430127 4.843484 6.461867 6.379327 7.958240 8.650407
0.760380 3.593455 5.076834 6.667441 6.593533 8.134257 8.795190
0.810411 3.829831 5.341388 6.871162 6.798859 8.307088 8.940173
0.860442 4.041326 5.571758 7.113419 7.008406 8.468885 9.132572
0.910472 4.271410 5.827874 7.322893 7.221493 8.648501 9.261212
0.960503 4.496387 6.061819 7.536964 7.432131 8.829786 9.452762
1.010530 4.743963 6.319128 7.723080 7.650110 9.022117 9.622905
1.110460 5.390009 6.853590 8.179885 8.075806 9.361516 9.945572
1.160300 5.651384 7.104980 8.386342 8.289103 9.560599 10.089410
1.210130 5.840202 7.335933 8.634207 8.506859 9.729525 10.269920
1.259770 6.034231 7.573336 8.833473 8.725424 9.925159 10.390050
1.309610 6.259092 7.840178 9.008275 8.943843 10.128117 10.592109
1.359940 6.500692 8.085593 9.210476 9.162499 10.300065 10.767606
1.410090 6.897637 8.342885 9.448819 9.392778 10.508311 10.922872
1.459870 7.316621 8.615948 9.702879 9.629305 10.671459 11.122561
1.509670 7.791651 8.921056 9.967335 9.875869 10.848719 11.271780
1.559870 8.089210 9.216509 10.241800 10.121082 11.027638 11.445966
1.610190 8.515772 9.517287 10.503428 10.374144 11.224448 11.638465
1.709740 9.176867 10.103363 11.005394 10.878223 11.581870 12.035340
1.760000 9.448829 10.424212 11.266910 11.132354 11.777831 12.229382
1.810130 9.719779 10.749934 11.485403 11.375259 12.002093 12.433313
1.859990 9.931014 11.042755 11.718486 11.621707 12.199429 12.701830
1.909830 10.272087 11.311640 11.939584 11.859975 12.395868 12.961076
1.960070 10.634323 11.579712 12.166562 12.105782 12.623277 13.265888
2.010330 11.004228 11.822442 12.401722 12.355380 12.850571 13.520502
2.060080 11.363411 12.055144 12.658042 12.606435 13.107657 13.762335
2.109790 11.602118 12.298981 12.912137 12.870688 13.401163 13.994372
2.160060 11.833071 12.526912 13.166346 13.113470 13.658233 14.275744
2.210390 12.042267 12.761596 13.427855 13.355734 13.919006 14.534782
2.260250 12.243660 12.971748 13.675634 13.588921 14.167465 14.714540
2.309890 12.427182 13.153130 13.921551 13.828324 14.402672 15.037253
2.329950 12.506937 13.225252 14.025292 13.924556 14.496462 15.134458
2.360120 12.643942 13.382112 14.182313 14.074831 14.640963 15.286971
2.380150 12.716255 13.495645 14.284306 14.176444 14.736442 15.390297
2.430370 13.016738 13.813498 14.580082 14.440264 14.965920 15.635067
2.480150 13.217048 14.067108 14.837344 14.688488 15.175235 15.784095
2.530010 13.462463 14.339538 15.094982 14.937155 15.401550 15.982854
2.580340 13.658404 14.601172 15.343220 15.186369 15.613499 16.183214
2.630480 13.942346 14.913985 15.572425 15.458446 15.865939 16.433721
2.705135 14.624829 15.587308 16.034668 15.996486 16.453325 17.134304
2.779790 15.065988 16.083643 16.512477 16.537347 17.067565 17.729568
2.879817 15.930299 16.587411 17.050289 17.114236 17.686782 18.496385
2.979843 16.670992 17.062073 17.577786 17.663638 18.286150 19.150226
3.079870 17.156419 17.559770 18.133994 18.205043 18.814269 19.986865
3.179910 17.575621 17.957727 18.619202 18.691958 19.304699 20.665490
3.229750 17.753204 18.165590 18.854221 18.925560 19.566338 20.968669
3.330130 18.116415 18.537814 19.312471 19.387787 20.066889 21.552102
3.380010 18.288700 18.725149 19.550394 19.617949 20.291876 21.968319
3.429710 18.476720 18.923860 19.772584 19.850707 20.557875 22.234847
3.479930 18.626046 19.098397 20.015952 20.084705 20.802108 22.580184
3.579960 18.935365 19.463825 20.478688 20.530978 21.328754 23.109677
3.629800 19.109378 19.655722 20.666767 20.757873 21.588056 23.416976
3.669910 19.249744 19.826281 20.847504 20.937340 21.805247 23.716132
3.730250 19.459597 20.046580 21.089210 21.195231 22.103609 24.083039
3.780140 19.615821 20.295801 21.305196 21.424079 22.356376 24.397481
3.829910 19.837803 20.504280 21.527842 21.645536 22.569757 24.689393
3.879980 20.016336 20.708933 21.722006 21.869464 22.830989 24.958091
3.930320 20.219274 20.928759 21.908959 22.092717 23.103887 25.261657
4.030010 20.534976 21.339397 22.268981 22.520406 23.650493 26.065048
4.080050 20.693074 21.556103 22.485001 22.747016 23.895713 26.303511
4.155065 20.988195 21.874273 22.777507 23.091319 24.319149 26.913548
4.230080 21.258217 22.181862 23.099754 23.444487 24.784756 27.272808
4.329650 21.572535 22.612682 23.509827 23.915438 25.435671 28.021051
4.379640 21.764203 22.831504 23.716294 24.155618 25.748137 28.222029
4.429840 21.913236 23.048437 23.964400 24.403855 26.080257 28.469672
4.479840 22.097892 23.243717 24.187602 24.653345 26.375806 28.722382
4.529740 22.405191 23.438225 24.454558 24.912123 26.689374 29.035690
4.579700 22.636844 23.634519 24.762033 25.176981 27.049259 29.503127
4.679970 23.117749 24.048975 25.365112 25.787959 28.051260 30.327499
4.729680 23.346381 24.229726 25.642542 26.084306 28.409539 30.606097
4.779730 23.604977 24.427706 25.931875 26.370650 28.777619 30.908738
4.830000 23.874638 24.646567 26.212815 26.681631 29.233546 31.307307
4.880060 24.046215 24.849263 26.460955 26.961177 29.547739 31.670471
4.929770 24.278920 25.084833 26.707059 27.224759 29.834764 31.905382
4.979800 24.572235 25.307469 26.943487 27.513215 30.165968 32.252009
5.030070 24.859516 25.531995 27.181535 27.788286 30.514164 32.544824
5.080230 25.046821 25.797948 27.431145 28.066970 30.847799 32.813660
5.130150 25.280707 26.109591 27.676254 28.358822 31.268345 33.161377
5.180070 25.473383 26.433445 27.908405 28.635861 31.516649 33.449717
5.229990 25.763084 26.644893 28.170427 28.935270 31.896759 33.752563
5.280080 25.956003 26.960765 28.407099 29.220863 32.274244 34.383019
