depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 0.213530 0.803768 2.311664 2.438499 4.129073 5.467698
0.100000 0.780425 1.525575 3.017823 3.128934 4.796547 6.044155
0.200000 1.461116 2.303556 3.714180 3.830354 5.464195 6.587989
0.300000 2.076582 3.055424 4.403804 4.516093 6.116611 7.174243
0.400000 2.679237 3.752261 5.031708 5.185171 6.755304 7.803243
0.500000 3.416167 4.459466 5.698840 5.850997 7.423935 8.315454
0.600000 3.970889 5.188337 6.305309 6.492847 8.066401 8.905131
0.700000 4.651615 5.952090 6.980564 7.147822 8.632997 9.471687
0.800000 5.427235 6.624638 7.616873 7.785444 9.212818 10.019510
0.900000 6.223355 7.324497 8.366877 8.451094 9.793303 10.626484
1.000000 7.023952 8.042115 9.001671 9.111005 10.348109 11.148160
1.100000 7.784317 8.775714 9.793649 9.834348 10.988315 11.764653
1.200000 8.636364 9.590513 10.580038 10.598960 11.653033 12.439103
1.325000 9.644138 10.634151 11.580167 11.593947 12.629837 13.497454
1.450000 10.872099 11.721876 12.540193 12.646972 13.646929 14.603137
1.525000 11.477750 12.355913 13.298399 13.358238 14.362914 15.355846
1.600000 12.262063 13.000840 14.061723 14.100187 15.226174 16.174538
1.716667 13.190201 14.136510 15.314180 15.531847 16.802741 19.706572
1.833333 14.007184 15.174986 16.600017 16.866655 18.444836 21.675520
1.950000 14.902379 16.100703 17.953047 18.261810 20.285060 23.396888
2.050000 15.381052 16.674817 18.997463 19.278902 21.899024 24.777647
2.150000 16.027331 17.310298 19.972592 20.243384 23.250549 26.304978
2.225000 16.412877 17.913912 20.586627 20.890305 23.792547 26.838975
2.300000 17.125016 18.500272 21.291544 21.538425 24.429167 27.553634
2.400000 17.775776 19.428265 22.102889 22.412858 25.303748 28.438388
2.500000 18.445718 20.368415 23.000346 23.297853 26.148865 29.126317
2.600000 19.245115 21.442380 24.050199 24.220831 26.995689 30.070131
2.700000 20.072292 22.463799 24.955572 25.155553 27.951225 31.060435
2.825000 21.345566 23.708369 26.093245 26.356008 29.170557 32.248293
2.950000 22.297685 24.878368 27.248089 27.543282 30.554575 33.741767
3.050000 23.255536 25.800852 28.050722 28.465208 31.636662 34.605971
3.150000 24.250586 26.673153 28.891047 29.393038 32.621828 35.289930
3.275000 25.617662 27.734585 30.016641 30.586292 33.821130 36.477018
3.400000 27.016495 28.957046 31.292793 31.809617 35.124914 38.003753
3.475000 27.617913 29.592340 31.960064 32.461557 35.816170 38.683002
3.550000 28.319560 30.147886 32.551264 33.089232 36.394894 39.554108
3.650000 29.190959 30.948160 33.449377 33.904495 37.284128 40.436668
3.750000 29.806891 31.737153 34.254490 34.717806 38.179752 41.183848
3.875000 30.775858 32.628960 35.340658 35.733252 39.212694 42.122074
4.000000 31.500446 33.595645 36.222340 36.718858 40.126267 43.500447
4.100000 32.443083 34.360814 37.030333 37.509625 40.981803 44.162731
4.200000 33.109876 35.133964 37.836450 38.301983 41.646120 44.974604
4.300000 33.924492 35.973522 38.569353 39.104645 42.569582 45.824817
4.390000 34.570463 36.732139 39.372563 39.843501 43.221312 46.660665
4.480000 35.247748 37.432773 40.027492 40.571638 44.019994 47.323752
4.590000 35.917276 38.262870 40.832763 41.450990 44.939512 48.201963
4.700000 37.116896 39.184305 41.746577 42.327119 46.009906 49.166229
4.800000 38.021234 39.969601 42.728551 43.147879 46.893864 49.828683
4.900000 38.879953 40.786019 43.567387 43.957222 47.833636 50.670419
5.020000 39.864868 41.835165 44.577393 44.926354 48.790737 51.423510
5.140000 40.861291 42.963744 45.516722 45.916140 49.796695 52.241074
5.245000 41.912798 43.878092 46.290656 46.759957 50.633971 53.058256
5.350000 42.682131 44.649810 47.075088 47.589608 51.426578 53.937634
5.475000 43.491148 45.594165 48.134244 48.572476 52.308707 54.728808
5.600000 44.521918 46.589293 49.050750 49.547733 53.179545 55.698618
5.675000 45.041156 47.179968 49.671515 50.139761 53.638017 56.261903
5.750000 45.525325 47.752502 50.333899 50.745369 54.218240 56.688805
5.850000 46.295558 48.461497 51.248568 51.552830 54.926637 57.535365
5.950000 47.310272 49.344810 52.135839 52.364908 55.556993 58.200141
6.060000 48.175040 50.157134 53.227823 53.265151 56.326209 59.022063
6.170000 48.988388 51.024084 54.342635 54.178149 57.073045 60.046636
6.275000 49.751944 51.866505 55.270574 55.063714 57.830168 60.608764
6.380000 50.554953 52.642607 56.266582 55.930403 58.556011 61.301187
6.465000 51.115580 53.368056 57.001305 56.637276 59.237269 61.734931
6.550000 51.804824 54.062421 57.776547 57.336429 59.837673 62.264410
6.650000 52.463202 55.143823 58.743776 58.210200 60.618183 62.812402
6.750000 53.342856 56.084571 59.598860 59.066369 61.405416 63.515798
6.850000 54.198733 57.269490 60.484931 59.967306 62.219871 64.225826
6.950000 55.116783 58.383796 61.337282 60.846009 63.049068 64.971776
7.035000 55.838775 59.377047 62.066725 61.623909 63.906418 65.552530
7.120000 56.528679 60.252293 62.859246 62.401213 64.675046 66.170658
7.220000 57.467599 61.159254 63.610580 63.258403 65.486134 67.084208
7.320000 58.538515 61.950426 64.435961 64.113886 66.246550 67.949498
7.425000 59.706096 63.052036 65.218483 65.053003 67.142594 68.670555
7.530000 60.733266 64.069442 66.073707 65.982460 67.958377 69.521997
7.620000 61.522249 65.063621 66.979041 66.810925 68.657232 70.557429
