depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 0.057764 0.385306 1.270845 1.446211 2.510611 3.619334
0.100000 0.566039 1.039598 1.999734 2.122276 3.205391 4.222747
0.200000 1.031773 1.701775 2.667249 2.767886 3.801153 4.838988
0.300000 1.568453 2.323048 3.342687 3.402998 4.435362 5.533619
0.400000 2.092680 2.966878 4.043436 4.050962 5.063680 6.359712
0.500000 2.751341 3.571149 4.726632 4.684816 5.673015 6.991430
0.600000 3.389961 4.156103 5.390752 5.318736 6.244742 7.681529
0.700000 3.958400 4.828632 6.028721 5.971436 6.930337 8.185423
0.800000 4.642481 5.505416 6.712755 6.648509 7.616109 8.761240
0.900000 5.343836 6.212615 7.341743 7.315808 8.293032 9.409633
1.000000 5.942711 6.966317 8.021333 7.998176 9.000983 9.983604
1.100000 6.616589 7.756701 8.735215 8.723888 9.754905 10.562909
1.200000 7.389867 8.556460 9.540211 9.490247 10.460690 11.137003
1.325000 8.448019 9.575544 10.524290 10.513514 11.501733 12.426881
1.450000 9.732321 10.724736 11.622710 11.631134 12.534272 13.663465
1.525000 10.469988 11.420854 12.471359 12.493781 13.532360 14.794306
1.600000 11.210401 12.206570 13.330446 13.381205 14.538343 15.718766
1.716667 12.233825 13.489669 14.889444 15.189123 16.840673 20.140977
1.833333 13.095975 14.682162 16.619498 16.948636 19.259652 22.311014
1.950000 14.056466 15.996627 18.431239 18.686828 21.473965 23.926312
2.050000 14.779582 16.734836 19.710299 19.878892 22.953748 25.514532
2.150000 15.464610 17.436071 20.991370 21.001226 24.242703 27.040275
2.225000 16.065634 18.167471 21.716206 21.723987 24.917232 27.929614
2.300000 16.733747 19.066366 22.579999 22.484348 25.613084 28.616089
2.400000 17.673411 20.129924 23.632036 23.446880 26.494519 29.508500
2.500000 18.527185 21.235496 24.618558 24.433735 27.437594 30.388273
2.600000 19.442076 22.462559 25.722963 25.479823 28.337369 31.470791
2.700000 20.538355 23.571811 26.719522 26.516051 29.293102 32.217102
2.825000 21.858052 25.018915 28.086398 27.841845 30.662678 33.197726
2.950000 22.859418 26.354468 29.364633 29.156035 32.011588 34.241918
3.050000 24.397504 27.363460 30.446760 30.292914 33.034518 35.375950
3.150000 25.471978 28.385850 31.584592 31.372388 34.199751 36.791241
3.275000 27.263164 29.713595 32.946658 32.747162 35.639301 37.947003
3.400000 28.441109 30.959935 34.267011 34.078714 37.030880 39.300612
3.475000 29.084861 31.559826 34.876801 34.767409 37.762826 39.977542
3.550000 29.713311 32.369272 35.410153 35.435692 38.435261 40.628746
3.650000 30.554315 33.310123 36.178245 36.320575 39.436165 41.912688
3.750000 31.448249 34.208539 36.967866 37.211157 40.366591 42.901777
3.875000 32.348806 35.177820 37.967504 38.285809 41.496938 44.150683
4.000000 33.300125 36.180995 39.069936 39.386491 42.615923 45.689285
4.100000 34.110443 36.932380 39.960389 40.264951 43.586962 46.907930
4.200000 34.918354 37.818598 40.780207 41.164161 44.668338 47.971311
4.300000 36.079260 38.590788 41.657110 42.060075 45.555873 49.102194
4.390000 36.664783 39.321700 42.408499 42.880808 46.361784 50.854809
4.480000 37.337598 40.052684 43.169565 43.675563 47.166173 51.607410
4.590000 38.269278 40.976128 44.080081 44.639402 48.292150 52.697956
4.700000 39.099960 41.806141 45.145408 45.604241 49.313990 53.790642
4.800000 39.740210 42.603254 46.255812 46.439176 50.247965 54.442026
4.900000 40.406121 43.402425 47.249092 47.297136 51.115092 55.241701
5.020000 41.639241 44.292650 48.246869 48.283893 52.176143 56.429192
5.140000 42.559662 45.243762 49.541137 49.313205 53.362013 57.351538
5.245000 43.405119 46.005570 50.521011 50.213119 54.540748 58.035403
5.350000 44.349799 46.717495 51.433207 51.115231 55.550111 58.780184
5.475000 45.459160 47.660484 52.458809 52.184303 56.807848 59.829492
5.600000 46.461239 48.707853 53.278223 53.269638 58.034448 60.853910
5.675000 47.054561 49.370965 53.852844 53.922347 58.816680 61.499367
5.750000 47.830363 50.004399 54.515483 54.573961 59.454975 62.075003
5.850000 48.423064 50.951267 55.269701 55.425120 60.406138 62.926666
5.950000 49.229861 51.907228 55.947775 56.285400 61.435244 63.838015
6.060000 49.998213 53.053681 56.741604 57.225028 62.348466 64.777919
6.170000 50.903298 54.063148 57.497343 58.170712 63.431380 65.903096
6.275000 51.796994 54.922844 58.178404 59.061233 64.186341 66.852413
6.380000 52.531908 55.946627 58.977265 59.952124 65.156536 67.802350
6.465000 53.495250 56.711894 59.667320 60.693042 65.920802 68.567336
6.550000 54.277742 57.471482 60.412453 61.446908 66.649872 69.348520
6.650000 55.309817 58.335490 61.276730 62.347029 67.461296 70.319272
6.750000 56.220298 59.298923 62.120357 63.243367 68.299534 71.035067
6.850000 57.175812 60.226751 63.148935 64.163630 69.134318 71.935257
6.950000 58.196148 61.211014 64.235003 65.133560 69.924517 72.844150
