depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
7.770000 71.479993 73.220266 74.220604 74.051329 74.823640 75.771415
7.790000 71.599765 73.368645 74.361846 74.203710 74.989237 75.923333
7.890000 72.222509 74.086654 75.116151 74.930996 75.766525 76.585316
8.010000 72.761932 74.913219 76.084373 75.833224 76.669370 77.326065
8.030000 72.853808 75.101509 76.266689 75.993061 76.817663 77.466515
8.050000 73.011395 75.284179 76.417724 76.153600 76.972521 77.604112
8.070000 73.126669 75.494046 76.576774 76.311261 77.122098 77.727184
8.110000 73.356556 75.863918 76.868303 76.618003 77.403910 77.975630
8.130000 73.464958 76.099720 77.017433 76.773107 77.566074 78.113880
8.150000 73.592558 76.314220 77.177724 76.926570 77.725217 78.274700
8.170000 73.748800 76.457427 77.341026 77.079098 77.892552 78.420813
8.210000 73.949947 76.814746 77.641322 77.382410 78.209195 78.674861
8.230000 74.099965 76.974421 77.789283 77.543349 78.378172 78.854078
8.250000 74.257275 77.152862 77.934114 77.693064 78.516194 78.997488
8.270000 74.512861 77.297158 78.066514 77.845144 78.678482 79.153987
8.290000 74.659125 77.443608 78.226241 77.997499 78.833530 79.327881
8.330000 75.002242 77.676186 78.518267 78.286726 79.103643 79.553358
8.350000 75.147843 77.827006 78.662429 78.433534 79.246128 79.696043
8.370000 75.322121 78.007971 78.804635 78.576841 79.375102 79.840658
8.460000 75.976088 78.584224 79.381536 79.149335 79.865367 80.264975
8.490000 76.369018 78.809489 79.573676 79.350329 80.067111 80.473059
8.540000 76.834917 79.159727 79.894541 79.675090 80.331340 80.801209
8.655000 77.908618 79.866848 80.541394 80.345952 80.956829 81.361418
8.770000 78.754320 80.529935 81.202718 81.014656 81.603968 81.934678
8.800000 79.020113 80.735963 81.399563 81.217370 81.777535 82.102347
8.885000 79.744134 81.316514 81.883846 81.745204 82.254742 82.572741
8.970000 80.659740 81.856716 82.385581 82.265619 82.715156 82.990844
9.070000 81.620288 82.604358 82.993826 82.868178 83.191031 83.367919
9.090000 81.744823 82.750177 83.130159 83.007252 83.318700 83.470658
9.110000 81.908374 82.919400 83.271523 83.154366 83.441904 83.601664
9.130000 82.079230 83.071238 83.422444 83.307646 83.567125 83.715338
9.140000 82.176438 83.166988 83.501836 83.385332 83.640036 83.780729
9.150000 82.284040 83.262968 83.574373 83.464222 83.712044 83.851107
9.160000 82.384213 83.337841 83.648860 83.540442 83.780267 83.941361
9.170000 82.467895 83.440447 83.719305 83.617378 83.852373 84.021287
9.180000 82.543040 83.528185 83.794701 83.695278 83.924652 84.089460
9.190000 82.602934 83.609029 83.868736 83.770406 83.995792 84.161317
9.200000 82.686562 83.681243 83.944677 83.846065 84.074025 84.237026
9.210000 82.779619 83.745020 84.014353 83.920261 84.147629 84.311614
9.230000 82.985656 83.895454 84.145196 84.063261 84.292942 84.460293
9.250000 83.161497 84.026420 84.272130 84.200413 84.421324 84.603720
9.260000 83.238059 84.105116 84.340900 84.273821 84.495557 84.677555
9.280000 83.458531 84.260169 84.478310 84.420629 84.633429 84.839430
9.295000 83.604087 84.368720 84.587301 84.530458 84.741561 84.946392
9.315000 83.879521 84.498031 84.712908 84.674533 84.889555 85.136096
9.335000 84.037682 84.635595 84.844355 84.816039 85.029849 85.266028
9.355000 84.278907 84.785605 84.982114 84.959668 85.164065 85.434669
9.375000 84.449116 84.915725 85.119761 85.105668 85.308098 85.602751
9.415000 84.787916 85.165921 85.383584 85.373349 85.590462 85.869804
9.435000 84.937498 85.298113 85.532971 85.519829 85.745004 86.040302
9.455000 85.084114 85.454293 85.672654 85.671194 85.895389 86.228461
9.475000 85.274720 85.613832 85.835435 85.839586 86.066294 86.430526
9.495000 85.472135 85.782050 86.022993 86.026291 86.272912 86.674076
9.515000 85.656328 85.948012 86.214282 86.236993 86.538805 86.962520
9.615000 86.351181 86.655195 87.102165 87.243777 87.872485 88.702349
9.635000 86.478669 86.805911 87.291726 87.432038 88.152621 88.888792
9.655000 86.615045 86.960521 87.470515 87.621215 88.381881 89.133178
9.700000 86.928982 87.268770 87.910368 88.054304 88.880791 89.808738
9.715000 87.011781 87.384469 88.059841 88.193358 89.034282 89.972125
9.735000 87.178126 87.539924 88.253388 88.383956 89.239086 90.167053
9.755000 87.323035 87.705187 88.472130 88.578429 89.447886 90.380165
9.855000 88.020774 88.620360 89.586552 89.674137 90.671270 92.186253
9.915000 88.532935 89.110732 90.182682 90.315211 91.440850 93.121267
9.935000 88.663328 89.290389 90.433721 90.532944 91.649413 93.413216
10.015000 89.307103 89.980996 91.207704 91.430687 92.870512 94.680822
10.035000 89.491492 90.150619 91.419166 91.642593 93.082258 94.913765
10.055000 89.696562 90.404556 91.645649 91.855973 93.338856 95.086416
10.075000 89.910437 90.606397 91.827163 92.075895 93.620985 95.288183
10.135000 90.476780 91.173900 92.582884 92.828630 94.600139 96.266323
10.155000 90.694156 91.390362 92.800074 93.047648 94.819989 96.497279
10.175000 90.923385 91.585044 93.018453 93.267654 95.056268 96.710070
10.200000 91.118346 91.813778 93.288931 93.549174 95.360542 97.102443
10.215000 91.306645 91.978759 93.473182 93.711436 95.546008 97.289931
10.235000 91.556280 92.171359 93.685679 93.938475 95.764000 97.621370
10.255000 91.698238 92.396926 93.918816 94.157031 96.042022 97.896837
10.275000 91.901943 92.619331 94.136804 94.385637 96.241545 98.179151
10.315000 92.339966 93.071281 94.649407 94.899344 96.756058 98.932665
10.400000 93.245034 94.245701 95.952482 96.260854 98.399356 100.637397
10.500000 94.468386 95.758418 97.749279 98.086147 100.483742 103.175867
10.515000 94.593044 95.951233 97.957253 98.283614 100.683134 103.350189
10.600000 95.724378 97.382740 99.795992 99.905414 102.450183 104.915063
10.677500 96.688377 98.718461 101.465487 101.459689 104.428846 106.435675
10.755000 97.536676 100.014522 103.088448 102.901541 105.865823 107.585864
10.775000 97.764517 100.306907 103.360830 103.182796 106.136874 107.803420
10.900000 99.764266 103.196348 105.960252 105.700206 108.134989 109.925900
11.040000 104.451191 106.957964 108.659386 108.576255 110.449744 111.796381
11.060000 104.749056 107.276962 108.949632 108.858367 110.713756 111.993810
11.080000 105.039609 107.633092 109.248358 109.139380 110.907291 112.267411
11.140000 106.664878 108.727835 110.263746 110.121244 111.658294 112.850641
11.160000 106.978729 109.001075 110.570344 110.406249 111.865044 112.981937
11.180000 107.211102 109.320370 110.895917 110.690858 112.074523 113.335969
11.220000 107.715034 110.017045 111.458281 111.321274 112.647748 113.936753
11.240000 107.948997 110.348122 111.753846 111.598857 112.895813 114.193703
11.260000 108.244886 110.647454 112.044803 111.865495 113.140376 114.377561
11.280000 108.532253 110.954154 112.339879 112.149814 113.402917 114.653517
11.320000 110.013539 111.810696 112.958064 112.849467 113.946286 115.149562
11.340000 110.252709 112.103412 113.207681 113.125487 114.221063 115.341809
11.360000 110.527671 112.460380 113.476549 113.413839 114.494855 115.635813
11.380000 110.966986 112.714586 113.747440 113.693728 114.809952 115.884470
11.420000 112.058779 113.386917 114.392597 114.388752 115.502590 116.597735
11.440000 112.391972 113.660475 114.688870 114.679950 115.817183 116.901740
11.480000 112.922004 114.277747 115.324694 115.294689 116.371617 117.527296
11.520000 113.736234 114.909170 116.068621 115.999043 117.060832 118.381006
11.620000 116.252756 117.158988 118.320595 118.403950 119.613224 121.040406
11.640000 116.564486 117.513563 118.661140 118.726964 119.934044 121.316903
11.680000 117.238201 118.266515 119.338779 119.439549 120.607916 121.869645
11.720000 118.007009 119.006611 120.134354 120.144539 121.247917 122.367827
11.780000 118.938533 120.138884 121.189665 121.152768 122.222530 123.128907
11.810000 119.352720 120.599765 121.672865 121.610360 122.652514 123.462260
11.820000 119.503877 120.742726 121.807158 121.746975 122.802703 123.577554
11.840000 119.807455 121.031453 122.057638 122.024948 123.039345 123.855233
11.860000 120.157509 121.290794 122.313935 122.286171 123.288374 124.040878
11.880000 120.472761 121.537503 122.551301 122.544871 123.515721 124.253505
11.920000 121.138923 122.177134 123.084163 123.085849 123.991947 124.733015
11.940000 121.438443 122.470906 123.362562 123.354249 124.244660 125.025547
11.960000 121.746537 122.771485 123.609578 123.608758 124.491236 125.305197
11.980000 122.083800 123.045594 123.895399 123.870366 124.729893 125.545037
12.000000 122.314083 123.304946 124.193295 124.116633 124.932419 125.853864
12.020000 122.561557 123.554799 124.404759 124.352896 125.132641 126.069696
12.040000 122.779853 123.765882 124.640829 124.591894 125.368092 126.348505
12.060000 123.002469 123.972104 124.884993 124.828050 125.606561 126.620521
12.080000 123.237038 124.230651 125.107865 125.065037 125.806287 126.887138
12.100000 123.458638 124.456624 125.360326 125.296403 126.045677 127.136531
12.120000 123.661883 124.707118 125.570727 125.520790 126.249237 127.324074
12.180000 124.392271 125.353736 126.149718 126.129203 126.909914 127.901209
12.220000 124.802211 125.768519 126.558633 126.544182 127.324148 128.286093
12.300000 125.572697 126.480007 127.336927 127.330497 128.135735 129.207023
12.320000 125.819041 126.697032 127.558721 127.548359 128.355628 129.421386
12.350000 126.180024 127.020144 127.863453 127.865788 128.663254 129.679972
12.410000 126.803029 127.638622 128.444751 128.460786 129.251382 130.214567
12.450000 127.226065 128.059292 128.854858 128.860813 129.684917 130.521244
12.530000 128.067079 128.895921 129.624405 129.657047 130.464489 131.311045
12.550000 128.197609 129.125113 129.828447 129.873805 130.711266 131.464349
12.570000 128.423508 129.336461 130.038192 130.098421 130.960825 131.662838
12.590000 128.686854 129.624606 130.267564 130.327823 131.180681 131.851686
12.600000 128.857853 129.751079 130.401009 130.446193 131.286843 131.948903
12.680000 130.070187 130.697159 131.359123 131.401617 132.173544 132.801831
12.740000 130.726744 131.351269 132.042946 132.034355 132.728516 133.401399
12.750000 130.842583 131.475576 132.164849 132.148578 132.843432 133.499674
12.840000 132.060653 132.600619 133.172649 133.159670 133.689320 134.424095
12.940000 133.353390 133.989445 134.521931 134.651526 135.192050 136.747405
13.020000 134.190735 134.836806 135.567111 135.806542 136.657580 139.167201
13.100000 135.041135 135.641604 136.587128 136.942967 138.173889 141.155481
13.200000 135.819250 136.601669 137.870106 138.301565 139.925053 143.417279
13.300000 136.784906 137.632068 139.200623 139.577955 141.349698 145.151545
