depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
7.770000 16.787712 20.137188 23.755183 23.664913 27.144386 30.647015
7.790000 17.140100 20.505655 24.116491 23.998474 27.447751 30.840835
7.890000 18.971794 22.313625 25.792996 25.598220 28.906851 32.555841
8.010000 22.164233 24.115983 27.649353 27.412933 30.546331 34.154265
8.030000 22.666396 24.410517 27.994354 27.741701 30.832502 34.670210
8.050000 23.117773 24.734845 28.281343 28.048079 31.168128 35.092965
8.070000 23.473935 25.064627 28.597715 28.363845 31.475885 35.444056
8.110000 24.250900 25.672389 29.194045 28.966047 32.030215 36.085617
8.130000 24.588200 25.935217 29.471920 29.266590 32.342153 36.429665
8.150000 24.940324 26.234066 29.812211 29.571717 32.644515 36.656907
8.170000 25.203924 26.592190 30.069518 29.890710 32.908818 37.032319
8.210000 25.769417 27.274594 30.715368 30.553253 33.493826 38.457464
8.230000 26.232519 27.596134 31.058398 30.880399 33.843150 38.674446
8.250000 26.542791 27.935732 31.364647 31.218497 34.197099 39.229527
8.270000 26.908060 28.299323 31.670578 31.561770 34.538505 39.521857
8.290000 27.148873 28.656081 31.987484 31.913067 34.928234 39.770828
8.330000 27.820549 29.335316 32.660907 32.653803 35.643370 40.440134
8.350000 28.055108 29.678703 32.955745 33.009635 35.990067 40.880492
8.370000 28.370572 30.047809 33.345304 33.377019 36.439034 41.231094
8.460000 29.552818 31.768187 35.133191 35.289166 38.726490 42.795309
8.490000 30.014416 32.298540 35.772095 35.905735 39.405584 43.433622
8.540000 31.001688 33.294197 36.714210 36.971543 40.573385 44.336906
8.655000 33.352647 35.921907 39.983856 39.961577 43.618309 47.465959
8.770000 35.771461 38.887011 43.199543 43.085070 46.619205 50.871307
8.800000 36.679431 39.461100 43.807115 43.726863 47.164442 51.460006
8.885000 38.619228 42.242573 45.902816 45.833326 49.305151 52.894566
8.970000 41.094015 45.749365 47.803813 48.082777 51.521412 54.134309
9.070000 43.611592 48.391447 49.960770 50.489588 53.861629 55.541678
9.090000 43.907938 48.850842 50.336354 50.895036 54.235465 55.875258
9.110000 44.210355 49.257690 50.709129 51.276213 54.544786 56.186793
9.130000 44.540933 49.763987 51.113050 51.655617 54.911687 56.427542
9.140000 44.695184 49.922945 51.283767 51.839600 55.064768 56.586737
9.150000 44.830522 50.098629 51.468994 52.020218 55.183055 56.736721
9.160000 44.992994 50.332060 51.688512 52.217655 55.356368 56.886810
9.170000 45.136117 50.526956 51.990146 52.434001 55.534364 57.082117
9.180000 45.356564 50.748727 52.168253 52.624146 55.713545 57.234259
