depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.020000 3.470345 4.199691 4.846446 4.830510 5.484253 6.095636
0.050000 3.802504 4.502851 5.147309 5.147241 5.779192 6.387022
0.120000 4.480693 5.161209 5.867350 5.865014 6.524850 7.216540
0.150000 4.769362 5.500657 6.215751 6.206108 6.906066 7.686300
0.180000 5.093868 5.840350 6.582250 6.590169 7.324749 8.150956
0.250000 5.930665 6.746670 7.524339 7.594605 8.505528 9.624238
0.280000 6.296768 7.124658 7.996373 8.044923 8.993301 10.036737
0.380000 8.087663 9.205156 10.338720 10.241231 11.262919 11.948228
0.420000 9.619601 10.539687 11.355034 11.307481 12.077102 12.736657
0.450000 10.236128 11.172198 11.910844 11.838813 12.531990 13.028731
0.480000 10.823373 11.666569 12.355449 12.294837 12.927836 13.387968
0.520000 11.501477 12.271314 12.896741 12.848886 13.424285 13.850781
0.550000 12.105323 12.733470 13.310126 13.249690 13.756545 14.221323
0.580000 12.643278 13.194417 13.703635 13.669273 14.135854 14.596069
0.620000 13.251465 13.747510 14.173758 14.165512 14.592729 15.023782
0.650000 13.663067 14.156329 14.558631 14.573918 14.998657 15.451577
0.680000 14.109324 14.502320 14.925403 14.931349 15.354225 15.819273
0.720000 14.539704 14.929729 15.352034 15.369050 15.808287 16.274659
0.750000 14.845214 15.239495 15.670194 15.693050 16.153580 16.641922
0.780000 15.181468 15.582459 16.008978 16.042047 16.493920 17.073416
0.820000 15.601703 16.068582 16.515533 16.534961 17.006874 17.571644
0.850000 15.933700 16.403958 16.862911 16.891284 17.371005 17.961234
0.880000 16.215080 16.695257 17.213122 17.226279 17.775506 18.305674
0.920000 16.576831 17.064923 17.626362 17.636752 18.193834 18.785563
0.950000 16.883896 17.352189 17.932811 17.941841 18.539448 19.119652
0.980000 17.148352 17.649175 18.238370 18.245668 18.817587 19.420177
1.020000 17.528089 18.026673 18.614736 18.634423 19.214644 19.863829
1.050000 17.797195 18.287101 18.902437 18.922189 19.522073 20.187584
1.080000 18.002530 18.552234 19.210223 19.201666 19.780907 20.490630
1.120000 18.360030 18.930372 19.581470 19.568660 20.147299 20.876502
1.150000 18.647735 19.216210 19.860431 19.846607 20.417129 21.221021
1.180000 18.900298 19.491787 20.144168 20.125029 20.708235 21.534083
1.220000 19.199941 19.852814 20.512703 20.490275 21.057790 21.944862
1.250000 19.439075 20.130331 20.772874 20.761913 21.369240 22.249732
1.280000 19.704805 20.402645 21.052668 21.046193 21.659608 22.519821
1.320000 20.025617 20.779864 21.404784 21.421684 22.047497 22.911056
1.350000 20.265340 21.073743 21.690803 21.710532 22.361344 23.272176
1.380000 20.633128 21.366353 21.982232 22.006964 22.644705 23.585396
1.420000 21.018486 21.765796 22.362693 22.385935 23.062478 23.917935
1.450000 21.354746 22.037536 22.638894 22.676759 23.344280 24.206876
1.480000 21.616909 22.287122 22.917595 22.966803 23.627990 24.526261
1.520000 22.000539 22.681561 23.310246 23.353977 24.045916 24.904471
1.550000 22.327553 22.976528 23.605496 23.649998 24.327406 25.223764
1.580000 22.608922 23.267697 23.883773 23.949345 24.619882 25.466934
1.620000 23.019699 23.670434 24.304157 24.346303 25.011780 25.820885
1.650000 23.279497 23.995676 24.624205 24.656331 25.336077 26.087024
1.680000 23.587045 24.304123 24.924207 24.958411 25.627076 26.376659
1.720000 24.033558 24.709268 25.326502 25.358208 26.014836 26.770544
1.750000 24.373276 25.013042 25.642752 25.672410 26.321704 27.014784
1.780000 24.658911 25.328439 25.953275 25.982936 26.652957 27.341404
1.820000 25.145736 25.751607 26.348414 26.393640 27.055210 27.782829
1.850000 25.440439 26.062736 26.676636 26.709618 27.369866 28.061082
1.880000 25.805138 26.380748 27.014895 27.030685 27.690355 28.459931
1.920000 26.264049 26.825317 27.432588 27.471179 28.097812 28.951165
1.950000 26.533998 27.159222 27.761846 27.800387 28.413640 29.312273
1.980000 26.907465 27.483075 28.115971 28.141812 28.744996 29.645672
2.020000 27.342598 27.943758 28.565357 28.585681 29.190200 30.124860
2.050000 27.598259 28.248444 28.891474 28.919042 29.546746 30.518704
2.080000 27.889674 28.588397 29.195583 29.242397 29.880388 30.887205
2.120000 28.261337 28.984991 29.581527 29.663422 30.346344 31.394887
2.150000 28.525579 29.283419 29.884278 29.976260 30.736672 31.688818
2.180000 28.860084 29.550496 30.150121 30.278924 31.095626 32.078409
2.220000 29.216170 29.946030 30.530225 30.674838 31.530574 32.616468
2.250000 29.536649 30.195418 30.784478 30.961637 31.873231 33.050244
2.280000 29.837864 30.480106 31.059007 31.265872 32.232790 33.456402
2.320000 30.195099 30.802489 31.393823 31.656025 32.646780 34.061543
2.350000 30.420057 31.092141 31.694070 31.951295 32.964049 34.439524
2.380000 30.736030 31.374822 32.009108 32.258345 33.281308 34.835192
2.420000 31.126446 31.729753 32.409148 32.661552 33.749950 35.387549
2.450000 31.440090 32.007796 32.699751 32.982101 34.056761 35.829812
2.480000 31.773525 32.297291 33.049172 33.309303 34.379293 36.208492
2.520000 32.123615 32.712752 33.480748 33.751444 34.846511 36.736415
2.550000 32.463115 33.019271 33.831268 34.105170 35.214572 37.200274
2.580000 32.795846 33.370530 34.203731 34.471347 35.697630 37.653440
2.620000 33.264773 33.817332 34.740200 35.007888 36.334221 38.368779
2.680000 33.851330 34.469590 35.422618 35.765645 37.255858 39.403905
2.720000 34.268568 34.877258 35.837323 36.247916 37.803141 39.928611
2.750000 34.533237 35.192101 36.208248 36.602679 38.226018 40.304213
2.780000 34.873415 35.517997 36.557531 36.976654 38.612851 40.784128
2.820000 35.242060 35.977501 37.019722 37.456236 39.133780 41.307525
2.850000 35.601054 36.318834 37.361654 37.801288 39.523909 41.610851
2.880000 35.924702 36.658244 37.705710 38.141595 39.846216 41.943236
2.920000 36.379646 37.130660 38.159569 38.592078 40.325797 42.291797
2.950000 36.714940 37.478719 38.528716 38.946376 40.681254 42.688066
2.980000 37.043656 37.824970 38.890219 39.304707 40.998428 43.129178
3.020000 37.491504 38.270757 39.374408 39.767218 41.465656 43.655394
3.050000 37.768626 38.599858 39.727165 40.130392 41.812422 44.079169
3.080000 38.062460 38.983497 40.123180 40.494884 42.127217 44.418271
3.120000 38.558721 39.492148 40.646705 40.979480 42.650680 44.892273
3.150000 38.901241 39.877139 41.038805 41.350463 42.989719 45.152080
3.180000 39.288711 40.260507 41.457816 41.738401 43.377000 45.555425
3.220000 39.840749 40.740611 42.057818 42.279478 43.953885 46.012325
3.250000 40.201592 41.114102 42.490935 42.676203 44.313242 46.316302
3.280000 40.544389 41.504407 42.865907 43.065285 44.652009 46.675412
3.320000 41.084060 42.042274 43.436398 43.589340 45.141164 47.140765
3.350000 41.399497 42.464407 43.832844 43.976052 45.524214 47.411456
3.380000 41.751506 42.854026 44.243431 44.353543 45.905403 47.703408
3.420000 42.284603 43.362236 44.778035 44.861959 46.344623 48.037710
3.450000 42.702261 43.768061 45.170612 45.238221 46.684860 48.337564
3.480000 43.065071 44.151073 45.590130 45.620065 47.088307 48.631352
3.520000 43.499129 44.655524 46.097288 46.123203 47.624177 49.024325
3.550000 43.869339 45.042172 46.501945 46.500154 48.012915 49.287082
3.580000 44.306172 45.467971 46.868596 46.865855 48.322245 49.528164
3.620000 44.846152 45.972546 47.349940 47.359664 48.765152 49.977941
3.650000 45.309813 46.378371 47.757714 47.745735 49.127270 50.251502
3.680000 45.661809 46.800010 48.149529 48.136622 49.484757 50.536578
3.720000 46.091299 47.369835 48.632636 48.621488 49.937892 50.927239
3.750000 46.452811 47.751913 48.991559 48.982061 50.289660 51.270503
3.780000 46.858263 48.154512 49.352748 49.335948 50.637686 51.564468
3.820000 47.384164 48.723958 49.832336 49.826007 51.068330 51.892493
3.850000 47.840989 49.098519 50.209500 50.190369 51.361803 52.138460
3.880000 48.306377 49.493762 50.567015 50.550010 51.675896 52.410579
3.920000 48.872537 50.096994 51.053607 51.040198 52.103067 52.802111
3.950000 49.229928 50.445369 51.422008 51.399524 52.431809 53.113755
3.980000 49.653830 50.886052 51.806728 51.780796 52.773338 53.433593
4.020000 50.182999 51.342504 52.312475 52.273748 53.241480 53.930028
4.050000 50.541042 51.702632 52.684564 52.632267 53.571290 54.245999
4.080000 50.871976 52.053655 53.075525 52.973651 53.907312 54.519053
4.120000 51.293992 52.496964 53.552724 53.425786 54.310754 54.936883
4.150000 51.605550 52.819546 53.901966 53.767028 54.674940 55.292037
4.180000 51.911027 53.116654 54.253858 54.116269 55.027453 55.651148
4.220000 52.457096 53.534231 54.733930 54.581031 55.559704 56.213327
4.250000 52.751732 53.843021 55.082072 54.923812 55.921368 56.556399
4.280000 53.026456 54.135342 55.410763 55.261535 56.259315 56.836678
4.320000 53.540133 54.568840 55.903092 55.727119 56.704831 57.291518
4.350000 53.862322 54.957287 56.256072 56.078297 57.035442 57.616612
4.380000 54.222976 55.320127 56.619977 56.433413 57.360349 57.981936
4.420000 54.714472 55.880094 57.127115 56.914666 57.821188 58.449652
4.450000 55.023877 56.293688 57.462906 57.265384 58.147556 58.768860
4.480000 55.455069 56.648328 57.815053 57.612796 58.439641 59.099219
4.520000 55.928875 57.129035 58.248388 58.064625 58.850490 59.509821
4.550000 56.229909 57.572598 58.567856 58.403767 59.135597 59.798267
4.580000 56.540429 58.022255 58.912382 58.751566 59.463462 60.124736
4.620000 57.018904 58.523510 59.361008 59.202831 59.856484 60.503083
4.650000 57.380388 58.891165 59.677265 59.537451 60.153337 60.803758
4.680000 57.861847 59.256916 60.004236 59.878507 60.498702 61.100826
4.700000 58.153480 59.490972 60.214807 60.100639 60.729249 61.296329
4.720000 58.462062 59.735864 60.428172 60.329431 60.933593 61.506715
4.750000 58.829541 60.126459 60.749547 60.656593 61.235074 61.756511
4.780000 59.233392 60.443605 61.050428 60.980164 61.559224 62.096138
4.820000 59.771766 60.894720 61.480115 61.418009 62.005681 62.500977
4.850000 60.164303 61.227766 61.801094 61.751313 62.354818 62.814161
4.880000 60.588029 61.540901 62.131945 62.102924 62.736924 63.172281
4.920000 61.191439 62.008738 62.585411 62.566230 63.162825 63.692323
4.950000 61.501483 62.334604 62.920610 62.909545 63.516631 64.102852
4.980000 61.912946 62.685583 63.242574 63.249029 63.852548 64.439830
5.020000 62.420374 63.101832 63.646636 63.679046 64.289949 64.947590
5.080000 63.114238 63.701606 64.304001 64.314475 64.913812 65.679918
5.120000 63.557653 64.144134 64.713991 64.743982 65.376069 66.086427
5.150000 63.817473 64.463205 65.036652 65.082730 65.708126 66.451331
5.180000 64.161176 64.820530 65.370223 65.426638 66.072045 66.821370
