depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
3.120000 301.079021 302.010443 302.997368 302.984539 303.955048 304.803487
3.170000 303.959165 305.256549 306.632999 306.922509 308.519398 311.847301
3.220000 307.449250 309.222019 311.853014 312.118944 315.271286 317.963749
3.270000 311.031827 313.515297 316.692610 316.627492 319.578937 321.610906
3.320000 314.800991 318.559863 321.119904 320.722750 322.850494 324.428094
3.370000 320.956848 323.727090 325.224824 325.189737 326.832532 328.791600
3.420000 325.050038 326.772711 328.468122 328.442839 330.184852 331.862296
3.470000 328.286386 329.989432 331.676773 331.698795 333.540205 334.798478
3.520000 332.822324 334.249732 335.828705 335.845403 337.275589 339.120506
3.570000 336.070144 337.405892 338.901391 338.871879 340.289544 341.508006
3.620000 339.223458 340.937369 342.384724 342.395487 343.840075 345.472244
3.670000 342.452906 343.850721 345.635914 345.844350 347.765244 350.953810
3.720000 345.389928 346.869227 349.045695 349.746595 352.993408 356.935023
3.770000 348.050174 349.830984 353.472506 353.880021 358.271683 361.102018
3.820000 351.166144 353.739346 358.968659 358.418359 362.403829 364.628392
3.870000 354.711615 359.046207 363.468104 362.787005 366.118703 368.283786
3.920000 359.523218 364.305822 367.202899 366.989757 369.784668 373.257693
3.970000 364.871111 368.334304 370.701771 370.828702 373.492657 377.345770
4.020000 368.852809 371.563946 374.229502 374.441105 377.511040 381.056569
4.070000 372.573625 375.208589 378.039897 378.333616 381.766679 384.905556
4.120000 377.154383 379.676822 382.910430 382.999163 386.338467 389.413260
4.170000 381.608625 384.541208 387.936465 387.860158 391.000031 393.241655
4.220000 386.231818 390.038196 393.329740 392.809660 395.353214 397.345428
4.270000 395.035734 396.974810 398.826597 398.923772 400.930242 402.882285
4.320000 398.725073 400.311370 402.064400 402.356404 404.553395 406.803068
4.370000 401.710506 403.213970 405.305328 405.450379 407.651363 409.741863
4.420000 404.783118 406.337523 408.536406 408.570066 410.694256 412.588812
4.470000 408.275584 410.333553 412.366275 412.334954 414.220097 416.354358
4.520000 413.137499 415.044916 416.823719 417.062589 419.169038 421.681014
4.570000 418.410434 420.284032 422.276197 422.286643 424.310612 426.166117
4.620000 422.277917 424.444546 426.445940 426.347555 428.337778 429.673009
4.670000 427.062015 429.077092 431.314392 431.237206 433.419132 435.639640
4.720000 430.553141 432.894574 435.103315 435.172137 437.492474 439.933723
4.770000 434.431174 436.694714 439.164360 439.255045 441.702324 444.571190
4.820000 439.395477 441.795642 444.707748 445.013247 448.205811 452.189211
4.870000 443.447969 445.702487 449.386518 449.868700 454.233568 459.059577
4.920000 446.922886 450.048495 454.899217 454.900044 459.569114 463.864306
4.970000 451.474924 455.754710 460.903407 460.870221 465.536598 470.699811
5.020000 458.274591 463.627743 468.245672 468.676157 474.150958 479.376263
5.070000 472.578081 477.702709 485.682847 484.311963 489.848150 492.797412
5.120000 480.916331 487.609235 491.030423 490.680824 494.039181 497.156852
5.170000 488.285456 492.286035 495.441981 495.140407 498.070018 500.505027
5.220000 493.464208 496.299480 499.265399 499.041833 501.688901 503.711490
5.270000 497.475866 500.276756 502.788932 502.570666 504.734785 506.646119
5.320000 501.515235 503.906887 505.899517 505.826675 507.702217 509.554144
5.370000 505.145014 507.337393 509.040408 509.060975 510.785314 512.862514
5.420000 508.624369 510.392684 511.958181 512.042963 513.778477 515.732238
5.470000 511.310432 513.192804 514.931634 514.972071 516.747586 518.595084
5.520000 514.289443 516.008788 517.854105 517.896630 519.744706 521.792594
5.570000 517.659073 519.158358 521.036050 521.127120 522.966749 525.201630
5.620000 520.639009 522.047862 524.074618 524.165247 526.126708 528.815588
5.670000 523.046941 524.996027 527.162445 527.175614 529.220648 532.231260
5.720000 525.850452 527.629957 529.752210 529.887981 531.882112 535.321017
5.770000 528.514490 530.321495 532.291709 532.385759 534.249786 537.575863
5.820000 531.307366 533.323150 535.016791 535.145228 536.766744 540.229414
5.870000 535.651452 537.064119 538.555221 538.871192 540.753953 543.851318
5.920000 538.571084 540.104770 542.096311 542.401814 545.011869 547.950922
5.970000 541.371264 543.201563 545.747986 545.976659 548.885692 551.773624
6.020000 544.169168 546.454221 549.363398 549.483862 552.594239 555.172856
6.070000 547.496999 550.336406 553.230088 553.144972 555.783997 559.200567
6.120000 552.035269 555.091088 557.707275 557.890274 560.962650 564.265314
6.170000 555.802175 558.749820 562.352765 562.809676 567.464588 570.220694
6.220000 563.269488 567.678574 572.440491 571.636526 574.949816 576.944214
6.270000 567.742017 573.806133 577.090558 576.441521 578.940595 580.364123
6.320000 574.413453 579.257173 580.836864 580.604395 582.207920 584.274906
6.370000 581.435858 582.772677 584.296572 584.411898 585.796454 588.843814
6.420000 584.139556 585.764626 587.677539 588.140706 590.320618 595.931185
6.470000 587.459775 589.153927 591.925231 593.212711 598.307319 602.347849
6.520000 591.639296 594.720637 601.157396 600.985035 606.637386 611.549623
6.570000 598.749860 606.364528 612.162268 611.772439 617.389328 620.843561
6.620000 621.494960 625.691727 635.613757 634.297287 641.661276 645.151057
6.670000 627.644503 638.182774 644.826924 643.351187 647.911778 650.610466
6.720000 640.647133 645.997345 649.542132 648.930822 652.042624 654.609096
6.770000 647.683861 650.838261 653.474698 653.323091 655.767771 658.039831
6.820000 652.432266 654.870344 657.085355 657.037716 659.227169 661.266233
6.870000 656.909668 658.658145 660.455018 660.460719 662.374089 664.120725
6.920000 661.016287 662.353329 663.796713 663.828834 665.384233 666.669378
6.970000 665.499581 666.416234 667.396566 667.397432 668.381369 669.203855
