depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
1.120000 98.758409 99.630325 100.634622 100.622408 101.636406 102.658267
1.170000 101.470858 102.682324 104.192745 104.722120 106.223122 114.200559
1.220000 104.278312 106.117702 108.314091 109.011906 111.753988 117.712748
1.270000 108.452139 111.385904 113.977289 114.224986 116.803340 121.486874
1.320000 117.339685 120.003744 122.359710 122.534621 125.352230 128.042443
1.370000 126.407132 127.964950 129.785487 129.861751 132.045700 133.791255
1.500000 135.098897 137.925112 142.946321 143.121035 148.272202 154.001015
1.570000 139.826185 143.023156 149.670529 149.498023 155.699488 159.312508
1.670000 146.404895 151.986936 158.885288 158.006290 162.966865 166.602273
1.720000 150.033399 158.235274 163.730286 162.625111 167.001159 170.107855
1.770000 154.459295 163.294324 168.050309 167.135859 170.864414 174.426202
1.820000 159.303169 167.485829 171.862551 171.187566 175.070437 178.243071
1.870000 162.950269 170.747722 175.597975 174.796455 178.611355 182.184050
1.920000 167.644596 174.337028 178.797324 178.219041 182.018971 185.854789
1.970000 171.123927 178.016652 181.827361 181.664478 185.567374 188.984602
2.070000 181.898528 185.806386 188.477645 189.464060 193.046089 204.929533
2.120000 192.045332 195.091134 201.135597 202.315704 210.251466 213.127693
2.170000 198.586549 201.670846 213.247253 210.569720 215.751803 217.337880
2.220000 203.869097 207.459767 218.618929 216.494375 220.384115 222.370815
2.270000 208.256149 218.058508 221.382162 220.376729 223.359960 225.483175
2.320000 219.828583 222.519096 224.691498 224.559949 226.434964 228.514110
2.370000 223.372482 226.068616 227.996775 227.964992 229.812708 232.022775
2.420000 227.256459 229.581716 231.381582 231.600726 233.262222 239.449791
2.470000 232.171805 234.059864 235.959119 237.056646 241.201094 245.388878
2.570000 245.153083 248.963134 253.068863 254.202369 260.448582 267.845956
2.620000 251.180342 257.050296 261.675033 262.395347 268.755698 273.299453
2.670000 258.564400 265.172001 271.217961 270.217470 274.971018 277.767670
2.720000 266.925786 275.207907 278.568881 277.797003 280.694595 282.295689
2.770000 281.452830 283.621593 284.996732 285.030511 286.643297 288.309306
2.820000 288.455102 289.750055 290.783830 290.854452 292.067903 293.684144
2.870000 295.088372 296.157159 297.033896 297.047212 297.995416 298.901827
