depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
2.410000 101.799491 102.739250 103.844156 103.810425 104.872515 105.790071
2.510000 104.621662 106.352843 108.899974 108.989061 111.797615 113.551741
2.610000 107.468297 111.699669 114.562154 113.969851 116.098221 117.533183
2.710000 112.862445 115.291020 117.120805 116.959824 118.649476 119.957086
2.810000 116.739155 118.238322 119.958865 119.916685 121.457829 123.274156
2.910000 118.664678 120.395255 122.159952 122.194894 123.914911 125.976796
3.010000 120.680206 122.453088 124.360422 124.511584 126.486414 128.781321
3.110000 123.271506 125.092817 127.211445 127.464647 129.927722 132.812367
3.210000 129.738079 133.137836 136.964454 136.530103 139.594542 141.425614
3.310000 133.250544 137.359552 140.828002 140.411396 143.035336 145.655722
3.410000 135.706164 140.526195 143.483226 143.195190 146.019946 148.546694
3.510000 138.964220 142.787129 145.455716 145.459487 148.293454 151.289279
3.610000 142.259223 144.914104 147.355269 147.596897 150.362280 154.015558
3.710000 144.543046 146.923129 149.311984 149.608852 152.462091 155.943534
3.810000 146.206099 148.824886 151.314480 151.589684 154.446763 158.040288
3.910000 148.106077 150.778092 153.484766 153.536295 156.239509 159.934859
4.025000 150.186745 152.984460 156.011918 155.946020 158.642012 161.874317
4.117500 151.763827 154.850526 158.061726 157.938018 160.909011 163.684762
4.210000 153.395004 156.604024 159.892907 159.838351 162.852542 165.753806
4.310000 155.085809 158.579854 161.850330 161.801660 165.083117 167.776681
4.410000 156.913437 160.765559 163.694157 163.746924 167.074578 169.802001
4.517500 159.015619 162.617181 165.514735 165.661141 169.001555 171.886665
4.625000 160.926497 164.496874 167.384864 167.590600 171.192603 174.068874
4.717500 162.469717 166.057505 168.947383 169.204742 172.995213 176.033071
4.810000 163.985322 167.627845 170.582312 170.840153 174.624627 177.716716
4.910000 166.005170 169.417280 172.549061 172.684184 176.404938 179.324952
5.010000 167.839894 171.190420 174.457990 174.584516 178.149021 181.080971
5.110000 169.876954 173.235644 176.432694 176.445911 179.867501 182.570204
5.225000 172.125895 175.650174 178.808340 178.658448 181.876440 184.345825
5.325000 174.287978 177.491691 180.714264 180.515152 183.534891 185.841497
5.425000 176.118644 179.322045 182.644871 182.392665 185.376247 187.449393
5.525000 177.847076 181.434193 184.669831 184.298276 186.998581 189.006069
5.625000 180.286171 183.622078 186.706833 186.374022 188.808712 191.013281
5.725000 182.965127 186.341852 188.823300 188.728237 191.148088 194.025287
5.825000 185.720773 189.008573 191.084185 191.305753 193.772004 196.459917
5.925000 188.995581 191.879729 194.794792 195.174767 198.057664 204.176946
6.025000 193.050829 195.622762 198.896640 199.232608 202.473233 208.555995
6.125000 195.660238 198.586476 202.021356 202.747808 207.937778 211.732239
6.225000 198.596038 201.285519 205.423112 206.030405 211.450563 214.499037
6.325000 201.019667 204.379426 209.489003 209.161399 213.709307 216.413414
6.425000 203.598512 208.308071 212.897504 212.415067 216.211440 218.608234
6.558333 207.453025 213.128440 217.088489 216.638270 220.178133 222.778818
6.691667 212.666150 217.910307 221.220572 220.947424 224.130964 226.927593
6.825000 220.412758 222.739446 225.285140 225.335662 227.941852 230.574417
6.925000 223.576608 226.258914 228.858244 228.912233 231.499957 234.546763
7.025000 227.024380 230.029437 232.779973 232.560398 234.809745 238.111089
7.125000 229.454349 233.504502 236.765092 236.508757 239.677345 241.909340
7.225000 231.381144 236.368538 241.024181 240.061884 242.928728 244.526519
7.325000 233.166716 241.193636 243.396056 242.622950 244.937434 246.371633
7.425000 235.240988 243.494412 245.266791 244.835271 246.886280 248.475969
7.525000 240.006276 245.773370 247.414094 247.350625 249.362460 251.405244
7.625000 245.888312 247.933246 249.706936 249.815716 251.883648 254.190865
7.725000 248.115368 250.029621 251.752884 251.990099 254.181923 256.675621
7.825000 250.546436 252.122907 253.929593 254.139123 256.375934 258.694128
7.925000 252.470706 254.285937 256.498902 256.532323 258.718662 260.880776
8.025000 254.625239 256.742688 259.110496 258.936765 260.951415 262.704654
8.125000 256.531528 258.931668 261.350911 261.091880 263.014083 264.538133
8.225000 258.921880 261.496411 263.395287 263.215219 264.880468 266.390900
8.325000 262.277696 264.205953 265.492486 265.412910 266.715050 267.988878
8.425000 265.877637 266.746392 267.762312 267.742142 268.683662 269.665476
