depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
2.710000 103.304462 104.128879 105.048644 105.085222 106.081027 107.010880
2.760000 104.820352 105.753786 107.040236 107.512503 109.090603 113.455864
2.860000 107.961171 110.118348 112.773689 113.230324 116.280793 121.272086
2.960000 112.531706 115.495589 117.289581 118.361673 123.174566 125.500548
3.010000 114.506068 116.729072 118.559250 119.868411 125.291935 127.378835
3.110000 117.654615 119.104809 120.878191 122.440279 127.516397 129.734878
3.160000 119.410526 120.847848 122.904717 124.148532 128.860921 130.977393
3.210000 121.631528 123.247489 125.625740 126.369765 130.307355 132.303437
3.310000 129.574366 131.316117 133.163454 132.959931 134.454843 135.596442
3.360000 132.165792 133.648078 134.844915 134.765487 135.894684 136.856683
3.410000 134.040106 135.116549 136.128300 136.121704 137.146782 138.213287
3.460000 135.414270 136.419205 137.421149 137.429590 138.393010 139.644642
3.510000 136.696250 137.680422 138.611690 138.686726 139.740895 141.084820
3.560000 137.807058 138.853708 139.820302 139.906242 140.989856 142.524224
3.610000 138.940193 139.919404 141.066763 141.174874 142.381900 144.361210
3.660000 140.223433 141.167951 142.330191 142.522821 143.787595 146.093032
3.710000 141.570496 142.552843 143.859710 144.086375 145.576562 147.965036
3.760000 142.808319 144.004111 145.556587 145.868312 147.709812 150.749811
3.810000 144.065590 145.493181 147.489706 147.785752 150.048074 153.422396
3.860000 145.198356 146.951684 149.400269 149.601515 152.141421 155.979741
3.910000 146.774358 148.832804 151.413094 151.522793 154.096862 157.615529
3.960000 148.399162 150.977801 153.651496 153.722184 156.337251 159.437189
4.010000 150.310092 153.142933 155.864933 155.824530 158.438407 160.999788
4.060000 152.202193 155.323449 157.985954 157.905076 160.437780 162.843327
4.110000 154.328740 157.716626 160.270897 160.116842 162.576525 164.932716
4.160000 157.154259 159.977359 162.377723 162.266476 164.622277 166.748334
4.260000 161.518153 163.879477 166.477505 166.280856 168.483325 170.145117
4.310000 163.529959 165.820839 168.472932 168.167641 170.187196 171.994639
4.360000 165.404684 167.959429 170.492602 170.128961 172.036527 173.896806
4.410000 167.211188 169.869470 172.112958 171.918516 173.826304 175.654064
4.460000 168.936990 171.463717 173.580705 173.527101 175.542608 177.705426
4.510000 170.565839 173.005607 175.078793 175.081251 177.136953 179.476127
4.560000 171.941692 174.493891 176.601571 176.644682 178.884829 181.184778
4.610000 173.453952 175.883627 178.086361 178.139489 180.648823 182.627996
4.660000 175.057506 177.332548 179.742214 179.733610 182.384263 184.090231
4.710000 176.764361 178.881926 181.380785 181.334454 183.801585 185.585568
4.760000 178.424236 180.682599 182.981757 183.033660 185.370812 187.068510
4.810000 180.531776 182.770486 184.856334 184.822778 186.996488 188.497096
4.860000 182.195514 185.047404 186.849404 186.696747 188.390296 189.881640
4.910000 184.215732 187.352750 188.957768 188.766556 190.366457 191.726306
4.960000 187.430259 189.364107 190.843079 190.871223 192.350101 194.485777
5.010000 189.591209 191.365274 193.216861 193.497602 195.372884 200.098957
5.060000 192.444874 194.489437 197.533079 198.165353 201.746194 207.736923
5.160000 198.458330 202.359745 208.728602 207.651099 211.942272 214.094416
5.210000 201.695174 209.181534 212.950192 212.004368 214.913305 216.619312
5.260000 208.429655 214.050681 216.378299 215.909319 218.115120 219.884228
5.310000 217.895733 219.409473 221.069949 221.429186 223.256670 227.313115
5.360000 220.872700 222.523447 224.774540 225.537260 227.575788 243.147003
5.410000 223.679191 225.784130 228.731161 230.602055 232.996289 249.804266
5.510000 242.157556 245.963340 249.179612 249.199609 253.180638 256.339569
5.560000 246.955596 249.520051 252.451500 252.746715 255.986999 259.218071
5.610000 249.814729 252.558128 255.438164 255.539802 258.413881 261.868333
5.660000 252.519278 255.299938 258.100672 258.119242 261.060012 264.116016
5.710000 254.786452 257.448444 260.447371 260.453767 263.460993 266.058992
5.760000 256.793707 259.822515 262.893147 262.773850 265.739086 268.345378
5.860000 261.029477 264.422566 267.176023 267.033906 269.591379 271.587587
5.960000 265.873633 269.027511 271.495904 271.175724 273.414545 275.225726
6.035000 269.087291 272.409820 274.685384 274.410569 276.494552 277.962823
6.110000 274.011999 276.121276 277.869123 277.743258 279.348473 280.565760
6.160000 276.545943 278.397350 279.884635 279.815700 281.237202 282.517830
6.210000 279.057733 280.573989 281.805219 281.855165 283.103481 284.623664
6.260000 281.782531 283.095288 284.256453 284.402095 285.711046 287.662771
6.310000 284.168769 285.604128 287.219843 287.373735 288.940703 291.731069
6.360000 288.558217 290.442653 293.061603 293.157480 295.920189 297.501616
6.410000 296.524801 297.534325 298.508991 298.493822 299.469420 300.452561
