depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
1.900000 99.776512 100.745183 101.743841 101.755003 102.763747 103.671711
1.950000 102.260143 104.150077 106.771230 107.585645 112.013762 113.880025
2.000000 104.638269 108.648167 114.304788 112.889312 116.005400 117.201877
2.050000 108.618827 114.424034 116.575637 115.984898 117.918851 119.046658
2.100000 114.549086 116.979832 118.703928 118.432822 119.892869 120.980965
2.150000 118.359169 119.901809 121.205559 121.128350 122.381170 123.598700
2.200000 121.018255 122.159124 123.393011 123.346023 124.490218 125.742830
2.250000 123.251659 124.465016 125.564264 125.583611 126.759079 127.894360
2.300000 125.826915 126.820341 127.969071 128.070354 129.365374 130.837937
2.350000 128.283220 129.439564 130.853479 131.013909 132.563212 134.174865
2.400000 130.878220 132.096418 134.398700 135.792180 141.501035 146.972215
2.450000 133.040646 134.668063 141.475952 140.804464 146.591074 149.685130
2.500000 135.168337 138.281627 145.969325 144.827147 149.413949 152.139408
2.550000 137.511875 143.886589 148.752266 147.921366 151.912980 154.215389
2.600000 140.481795 146.864916 151.308945 150.543841 154.167355 156.579896
2.650000 143.142609 149.426656 153.654942 152.959255 156.485286 158.501035
2.700000 147.129403 152.282265 155.873776 155.419307 158.592923 160.657558
2.750000 150.885732 155.469669 158.102318 157.899826 160.741859 162.725612
2.800000 153.921056 158.103654 160.623479 160.415718 162.880851 165.320006
2.850000 157.926658 160.701512 163.067834 162.987368 165.346879 167.912323
2.900000 160.788072 163.394007 165.729986 165.750454 168.079123 171.183004
2.950000 163.689795 165.991835 168.384411 168.553876 170.918879 175.373178
3.000000 166.354098 168.675042 171.167617 171.508290 174.604124 178.668775
3.050000 168.724186 171.180747 173.855615 174.303095 177.833155 181.134150
3.100000 171.513304 173.640592 176.820406 177.188885 181.085096 183.508133
3.150000 173.990161 176.295886 180.493712 180.179953 183.852750 185.873739
3.200000 176.638854 179.713020 184.367318 183.479121 186.609200 188.208199
3.250000 180.208763 183.980673 187.663865 187.055833 189.582271 191.158952
3.300000 185.100972 189.491828 191.133830 191.146028 192.930642 196.081689
3.350000 191.055448 192.744169 194.678527 195.634261 197.962017 206.206954
3.400000 193.985458 195.915768 199.616404 201.157746 207.402416 212.184167
3.450000 196.917057 200.418933 207.247587 207.293838 214.881792 217.639643
3.500000 201.298490 206.205120 216.613649 213.682395 219.063908 220.886073
3.550000 207.519991 217.844669 220.359806 219.624050 222.422309 224.234899
3.600000 220.258944 221.828524 223.773054 223.796075 225.703917 227.872726
3.650000 222.585759 224.700739 226.567491 226.615894 228.591571 230.386296
3.700000 224.998327 227.387556 229.271455 229.246275 231.216712 233.249397
3.750000 227.533459 229.814745 231.659991 231.608027 233.448971 235.307521
3.800000 230.373646 232.288408 234.579185 234.469346 236.436327 239.347781
3.850000 232.814386 234.780320 237.271586 237.490103 240.476274 242.524004
3.900000 235.066366 238.057697 241.112203 240.765699 243.274918 245.147662
3.950000 238.918575 242.245806 244.272856 244.067503 245.927795 247.809220
4.000000 244.139237 245.982097 247.656804 247.843890 249.829889 252.595925
4.050000 246.688158 248.662792 250.827471 251.110721 253.572417 255.856509
4.100000 248.797618 250.871717 253.939776 254.055248 257.098603 260.188234
4.150000 250.863041 253.296029 256.641329 256.713448 260.257264 262.893043
4.200000 252.899322 255.763094 259.500781 259.469125 263.164192 265.426827
4.250000 255.342548 258.767269 262.591736 262.337840 265.683903 268.054284
4.300000 258.117828 261.872662 265.317958 264.985859 267.942951 270.177091
4.350000 261.568313 264.605077 267.818600 267.469912 270.081204 272.019581
4.400000 264.398992 267.150554 270.095730 269.808960 272.232222 274.085148
4.450000 267.415747 269.872795 272.260022 272.189505 274.381631 276.447724
4.500000 270.515927 272.706327 274.774653 274.718600 276.734862 278.470512
4.550000 274.050805 275.720351 277.455846 277.488017 279.193496 280.921562
4.600000 276.733153 278.417255 279.990871 280.035160 281.500751 283.277857
4.650000 279.872129 281.491481 283.249172 283.419899 285.277111 288.373989
4.700000 282.215361 283.790304 286.308813 286.803689 289.686152 294.750262
4.750000 284.855247 286.700984 289.831657 290.968174 296.301895 298.619848
4.800000 297.514132 298.500233 299.580973 299.536677 300.567303 301.382924
