depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.090000 0.045747 0.315668 0.949498 1.073342 1.835799 2.807551
0.100000 0.258458 0.577316 1.234843 1.352671 2.129812 3.033262
0.180000 1.475717 2.209983 3.106662 3.236809 4.303917 5.587337
0.200000 1.845102 2.653080 3.617059 3.746501 4.863606 6.192091
0.240000 2.714853 3.610538 4.597317 4.684649 5.823976 7.126840
0.300000 4.056543 5.144647 6.195513 6.256303 7.431277 8.598156
0.360000 5.774206 6.808232 7.946082 8.000692 9.140909 10.400163
0.450000 7.997561 9.056533 10.328739 10.359304 11.622145 13.070481
0.585000 10.699216 12.437992 14.184405 14.503487 16.718097 19.902787
0.720000 14.949762 16.167210 18.140082 18.551643 21.152905 23.874870
0.840000 17.547900 19.024690 21.658791 21.722544 24.351685 26.455610
0.930000 19.592821 21.557421 24.606678 24.353318 26.722507 28.930848
0.960000 20.279895 22.455366 25.454289 25.193740 27.469242 29.855161
1.050000 22.617691 25.690590 27.855739 27.773382 29.778411 32.352497
1.080000 23.163025 26.495595 28.610690 28.541852 30.515500 33.354818
1.110000 23.968190 27.328489 29.296741 29.333180 31.322893 34.380830
1.200000 26.428225 29.218421 31.222407 31.369826 33.458668 37.075152
1.320000 29.219908 31.703267 34.024322 34.305811 37.028203 40.358025
1.440000 32.571221 34.762552 37.406345 37.698424 40.869615 43.739695
1.500000 34.506586 36.678192 39.529098 39.692854 42.832873 45.423887
1.530000 35.264481 37.538958 40.487282 40.592812 43.653700 46.572812
1.620000 37.987753 40.149365 43.653327 43.459352 46.453831 48.873150
1.650000 38.804363 41.043644 44.510146 44.360048 47.344138 49.677659
1.710000 40.283918 42.830228 46.123800 46.011219 49.086913 51.214369
1.770000 41.571603 44.574169 47.799091 47.557718 50.321838 52.639594
1.830000 42.901323 45.999369 49.451959 49.036297 51.690108 53.851789
1.890000 44.369609 47.560380 50.732286 50.403132 52.993507 55.094462
1.950000 45.803364 48.989824 52.188743 51.753592 54.281557 56.543004
2.010000 47.647554 50.603632 53.399649 53.152602 55.471376 57.974351
2.130000 50.884009 53.747838 55.958848 55.952329 58.014420 60.950041
2.250000 54.485277 56.646244 59.026701 59.157474 61.110571 66.442637
2.370000 58.915196 61.621585 64.223478 64.474253 67.455339 70.784421
2.445000 61.543681 65.176467 68.528091 68.482463 71.756716 75.299665
2.520000 64.875136 69.472206 72.342557 72.512262 76.050678 79.282003
2.610000 68.875481 72.849122 76.662329 77.187007 82.192484 85.013425
2.700000 73.084102 76.695581 81.253649 81.641207 86.802232 88.600053
2.775000 77.726307 81.628752 86.837323 85.739740 89.428078 91.035879
2.850000 84.449814 88.143172 90.222260 89.978159 92.003310 93.644732
2.925000 89.759008 92.439414 93.681672 93.554190 94.933645 96.321370
3.000000 95.489542 96.372496 97.230845 97.289949 98.214507 99.324650
