depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
160.240000 1399.040257 1399.300517 1399.971870 1399.963807 1400.624507 1400.938365
160.340000 1399.930460 1400.446659 1401.210760 1401.239801 1401.953808 1402.921666
160.440000 1400.964125 1401.579316 1402.457932 1402.529229 1403.404256 1404.787574
160.540000 1402.128984 1402.796483 1403.756917 1403.918487 1405.071026 1406.832669
160.640000 1403.269077 1404.099276 1405.241278 1405.452829 1406.801390 1408.817090
160.740000 1404.381903 1405.351299 1406.709732 1406.933383 1408.532010 1410.343664
160.785000 1405.017729 1406.046564 1407.469829 1407.635841 1409.298688 1411.104332
160.885000 1406.091222 1407.390700 1408.914870 1408.992353 1410.633898 1412.359054
160.985000 1407.180678 1408.662492 1410.304763 1410.310907 1411.921216 1413.646359
161.085000 1408.371338 1410.024743 1411.686264 1411.681904 1413.303312 1414.918310
161.185000 1409.789839 1411.363876 1413.013346 1413.050434 1414.752136 1416.349803
161.285000 1411.172550 1412.710722 1414.457521 1414.459035 1416.211719 1417.757709
161.385000 1412.356886 1413.984646 1415.822516 1415.799713 1417.641521 1418.981353
161.485000 1413.814078 1415.439255 1417.207546 1417.193305 1419.029415 1420.405826
161.585000 1415.352808 1417.035940 1418.911572 1418.798233 1420.390392 1422.017940
161.685000 1417.407126 1419.086428 1420.827132 1420.763399 1422.316352 1423.966211
161.785000 1419.331095 1421.008213 1422.656869 1422.648792 1424.300636 1425.794417
161.885000 1421.639542 1423.281120 1424.833713 1424.941747 1426.528124 1428.794814
161.985000 1423.742160 1425.374978 1427.129461 1427.263706 1429.133416 1431.386859
162.085000 1425.648755 1427.437342 1429.555054 1429.635139 1431.854254 1434.117017
162.185000 1427.782636 1429.334182 1431.666144 1431.677493 1433.898814 1435.947795
162.285000 1429.458510 1431.374751 1433.623257 1433.597007 1435.790113 1437.602378
162.385000 1430.762086 1433.014097 1435.323670 1435.232532 1437.400163 1439.212476
162.485000 1432.438079 1434.580922 1436.729673 1436.709010 1438.909101 1440.801197
162.585000 1434.151512 1435.993175 1438.078107 1438.132811 1440.255200 1442.281977
162.685000 1435.511430 1437.379283 1439.524186 1439.505950 1441.637517 1443.793004
162.785000 1436.784575 1438.745147 1440.909446 1440.953317 1443.138638 1445.419643
162.885000 1438.129292 1440.181669 1442.298091 1442.377170 1444.585934 1446.851337
162.985000 1439.481735 1441.742973 1443.993319 1443.962721 1446.304504 1448.227342
163.085000 1441.206857 1443.531295 1445.886917 1445.784301 1448.001286 1449.928979
163.185000 1443.505139 1445.871205 1448.027539 1447.871282 1449.899491 1451.584963
163.285000 1446.651965 1448.606946 1450.585032 1450.407381 1452.102799 1453.521074
163.385000 1449.953257 1451.614243 1452.919606 1452.857416 1454.139071 1455.284507
