depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
28.175000 997.692883 998.319974 998.899327 998.882231 999.444715 999.952090
28.215000 998.322226 998.911351 999.460476 999.443822 999.974717 1000.427669
28.255000 998.924295 999.467935 999.995890 999.977794 1000.471670 1000.915980
28.295000 999.423457 1000.042495 1000.555707 1000.525121 1000.991665 1001.464805
28.335000 1000.005774 1000.621563 1001.099063 1001.087495 1001.551873 1002.055177
28.375000 1000.685821 1001.207030 1001.666444 1001.672266 1002.130187 1002.656552
28.415000 1001.328098 1001.810273 1002.250302 1002.275854 1002.703099 1003.380583
28.455000 1001.810684 1002.375300 1002.825787 1002.859703 1003.283426 1004.112646
28.495000 1002.383730 1002.890512 1003.386726 1003.430258 1003.929796 1004.879890
28.535000 1002.969980 1003.465323 1003.954666 1004.012635 1004.519599 1005.534992
28.575000 1003.402291 1004.024251 1004.561556 1004.613177 1005.212510 1006.159164
28.615000 1003.965184 1004.607792 1005.150439 1005.230111 1005.903234 1006.778758
28.655000 1004.586437 1005.159260 1005.779619 1005.883279 1006.685979 1007.513875
28.695000 1005.221426 1005.785214 1006.444978 1006.552100 1007.404850 1008.257732
28.735000 1005.815199 1006.414439 1007.121869 1007.219870 1008.078069 1009.037703
28.775000 1006.370807 1007.014518 1007.847350 1007.910980 1008.832709 1009.690075
28.815000 1006.956161 1007.657006 1008.579837 1008.606067 1009.560844 1010.581714
28.855000 1007.602755 1008.366711 1009.324404 1009.333049 1010.257199 1011.354158
28.895000 1008.258319 1009.089428 1010.062034 1010.088728 1011.076033 1012.296918
28.935000 1008.971429 1009.835935 1010.844728 1010.896430 1011.991124 1013.066094
28.975000 1009.551003 1010.571953 1011.655232 1011.714826 1012.839096 1014.036100
29.015000 1010.352725 1011.300302 1012.458200 1012.479454 1013.638210 1014.817037
29.055000 1011.023565 1012.086261 1013.330044 1013.299240 1014.476661 1015.732043
29.095000 1011.676197 1012.860166 1014.118924 1014.091853 1015.262085 1016.526581
29.135000 1012.473979 1013.645306 1015.016431 1014.933953 1016.145249 1017.343837
29.175000 1013.285637 1014.565553 1015.851987 1015.799162 1016.984223 1018.079533
29.215000 1014.090598 1015.428678 1016.750670 1016.704873 1017.913137 1019.042797
29.255000 1014.895195 1016.318305 1017.655208 1017.629383 1018.863484 1020.432699
29.295000 1015.957737 1017.368564 1018.586291 1018.687459 1020.013490 1021.946876
29.335000 1016.966528 1018.373627 1019.678323 1019.807436 1021.293872 1023.439014
29.375000 1018.077555 1019.460350 1020.945070 1021.077522 1022.748768 1024.476695
29.415000 1019.046081 1020.493848 1022.191343 1022.251617 1024.010096 1025.605472
29.455000 1020.193933 1021.781524 1023.426459 1023.497231 1025.278307 1026.574895
29.495000 1021.249365 1023.037133 1024.828108 1024.730694 1026.439875 1027.617219
29.535000 1022.663776 1024.411922 1026.255878 1026.059459 1027.718737 1028.610731
29.575000 1023.881347 1025.737845 1027.382942 1027.184345 1028.631738 1029.492164
29.615000 1025.197790 1026.884161 1028.278785 1028.143130 1029.397954 1030.227194
29.655000 1026.527720 1027.896507 1029.209195 1029.029292 1030.098350 1030.887177
29.695000 1027.569693 1028.773180 1029.943411 1029.820991 1030.813500 1031.552349
29.735000 1028.548307 1029.718692 1030.670193 1030.624635 1031.582799 1032.357714
29.775000 1029.421760 1030.539512 1031.439169 1031.414084 1032.314030 1033.230264
29.815000 1030.688998 1031.612102 1032.471925 1032.517854 1033.402893 1034.650159
29.855000 1031.978069 1032.742639 1033.682937 1033.827667 1034.876834 1036.657370
29.895000 1033.124364 1034.050856 1035.213513 1035.359118 1036.690997 1038.593373
29.935000 1033.998746 1035.106593 1036.424780 1036.567801 1038.121088 1039.803589
29.975000 1034.897229 1035.975046 1037.431918 1037.592096 1039.251549 1040.921088
30.015000 1035.602588 1036.931528 1038.498357 1038.615387 1040.354327 1042.044538
30.055000 1036.501788 1037.890377 1039.554535 1039.610424 1041.359070 1043.065571
30.095000 1037.280579 1038.910590 1040.635793 1040.639592 1042.358312 1043.872817
30.135000 1038.200264 1039.886860 1041.728689 1041.665701 1043.335421 1044.853388
30.175000 1039.108614 1040.906163 1042.739743 1042.664042 1044.354303 1045.740426
30.215000 1040.226641 1041.967793 1043.713578 1043.638525 1045.233222 1046.740560
30.255000 1041.198519 1042.965875 1044.648141 1044.588039 1046.181146 1047.886437
30.295000 1042.429883 1043.964019 1045.534605 1045.538107 1047.084113 1048.986528
30.335000 1043.472031 1044.910507 1046.479706 1046.458094 1047.929018 1049.915524
30.375000 1044.578678 1045.960910 1047.477925 1047.521006 1049.039885 1050.811621
30.415000 1045.363521 1046.858750 1048.468527 1048.471748 1050.021509 1051.975422
30.455000 1046.290491 1047.780937 1049.416956 1049.450547 1051.156296 1052.915344
30.495000 1047.191346 1048.727664 1050.458164 1050.482229 1052.186590 1053.959865
30.535000 1048.329828 1049.927849 1051.649588 1051.640881 1053.364435 1054.870309
30.575000 1049.563566 1051.130151 1053.016951 1052.901587 1054.578660 1055.883500
30.615000 1050.961484 1052.706952 1054.430939 1054.333892 1055.885542 1056.995042
30.655000 1052.806609 1054.487114 1055.968908 1055.875437 1057.290608 1058.420282
30.695000 1054.559432 1056.063990 1057.336523 1057.324818 1058.699388 1059.849079
30.735000 1056.000660 1057.357838 1058.694308 1058.687281 1060.046025 1061.206461
30.775000 1057.297245 1058.434827 1059.904913 1059.879258 1061.295350 1062.308121
30.815000 1058.533903 1059.664531 1061.233763 1061.123233 1062.488868 1063.338407
30.855000 1059.212755 1060.678569 1062.378893 1062.144402 1063.425690 1064.126168
30.895000 1060.144659 1061.473064 1063.248246 1062.968929 1064.208652 1064.894715
30.935000 1060.807941 1062.276446 1063.998141 1063.716040 1064.936776 1065.584549
30.975000 1061.523096 1062.962563 1064.735285 1064.416145 1065.552387 1066.224342
31.015000 1062.111958 1063.569534 1065.411771 1065.070374 1066.172200 1066.815046
31.055000 1062.681996 1064.178425 1066.047993 1065.716179 1066.808140 1067.557240
31.095000 1063.270217 1064.809834 1066.722315 1066.355129 1067.476615 1068.174585
31.135000 1063.857045 1065.399818 1067.329007 1066.979929 1068.089201 1068.808796
31.175000 1064.479901 1066.022679 1067.970455 1067.597431 1068.715254 1069.400941
31.215000 1064.976038 1066.620298 1068.579318 1068.201307 1069.333795 1070.078818
31.255000 1065.588433 1067.181238 1069.165057 1068.815351 1069.954097 1070.657942
31.295000 1066.137896 1067.752870 1069.821263 1069.428637 1070.587444 1071.285493
31.335000 1066.771869 1068.444319 1070.431493 1070.048135 1071.175703 1071.952034
31.375000 1067.413324 1069.129592 1071.034445 1070.671582 1071.826981 1072.511891
31.415000 1067.949566 1069.750588 1071.642413 1071.282440 1072.387706 1073.091110
31.455000 1068.549275 1070.498285 1072.226937 1071.894528 1073.022717 1073.702614
31.495000 1069.259430 1071.209616 1072.877995 1072.530590 1073.627461 1074.340495
31.535000 1069.876126 1071.852194 1073.501014 1073.174969 1074.271659 1075.070854
31.575000 1070.470611 1072.570077 1074.126513 1073.831636 1074.951305 1075.890863
31.615000 1071.087443 1073.163320 1074.778706 1074.510412 1075.676905 1076.626452
31.655000 1071.785527 1073.943187 1075.497455 1075.273119 1076.542949 1077.613861
31.695000 1072.527900 1074.692687 1076.248527 1076.046071 1077.331400 1078.662825
31.735000 1073.379330 1075.510300 1077.079111 1076.918104 1078.350636 1079.721325
31.775000 1074.050618 1076.243397 1077.873638 1077.779698 1079.325486 1080.816064
31.815000 1074.910435 1077.188279 1078.793217 1078.774835 1080.431765 1082.066699
31.855000 1075.837186 1078.332630 1080.046066 1079.983947 1081.735702 1083.561577
31.895000 1077.207253 1079.657734 1081.494596 1081.478682 1083.388564 1085.422851
31.935000 1079.144225 1081.218349 1083.061424 1083.128751 1085.072851 1087.209262
31.975000 1080.887726 1082.996659 1084.857966 1084.913458 1086.936842 1088.970226
32.015000 1082.413352 1084.563082 1086.545309 1086.509989 1088.501210 1090.209471
32.055000 1084.166646 1086.098219 1088.099215 1088.035540 1089.899466 1091.757978
32.095000 1085.772353 1087.719144 1089.650881 1089.618651 1091.500894 1093.189230
32.135000 1087.549647 1089.459103 1091.376455 1091.255987 1093.064547 1094.409105
32.175000 1089.220255 1091.059007 1093.063565 1092.848752 1094.532825 1095.570266
32.215000 1091.020147 1093.077505 1094.689069 1094.487592 1095.897304 1096.817851
32.255000 1093.081478 1094.751510 1095.982313 1095.859169 1096.986518 1097.868540
32.295000 1094.572074 1095.991086 1097.048317 1097.000668 1098.060810 1098.925808
32.335000 1095.604599 1096.938118 1097.969961 1097.925422 1098.967979 1099.824036
32.375000 1096.577127 1097.814446 1098.841792 1098.779376 1099.764337 1100.735610
32.415000 1097.675046 1098.664038 1099.684325 1099.669296 1100.580519 1101.616085
32.455000 1098.622433 1099.598445 1100.576601 1100.558309 1101.475252 1102.363256
32.495000 1099.401933 1100.519443 1101.449547 1101.428222 1102.320493 1103.299240
32.535000 1100.233942 1101.380369 1102.356932 1102.323929 1103.291493 1104.264266
32.575000 1101.093348 1102.302719 1103.267673 1103.239996 1104.177313 1105.136592
32.615000 1102.224697 1103.370434 1104.309686 1104.303292 1105.256071 1106.292036
