depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
67.850000 1001.044163 1001.532423 1001.972011 1001.977086 1002.423232 1002.930055
67.870000 1001.405648 1001.822316 1002.238406 1002.248513 1002.678543 1003.117003
67.890000 1001.663519 1002.056453 1002.501004 1002.501015 1002.924242 1003.435211
67.910000 1001.960100 1002.294732 1002.712449 1002.726919 1003.149539 1003.641681
67.930000 1002.208484 1002.501048 1002.932811 1002.952827 1003.403229 1003.879733
67.950000 1002.398531 1002.685295 1003.147451 1003.161004 1003.586484 1004.094748
67.970000 1002.567966 1002.862382 1003.359642 1003.361562 1003.831536 1004.276894
67.990000 1002.747780 1003.018263 1003.573807 1003.555640 1004.036194 1004.431028
68.010000 1002.902347 1003.190441 1003.776387 1003.752316 1004.239859 1004.619205
68.030000 1003.055002 1003.352808 1003.973504 1003.945567 1004.461642 1004.818972
68.050000 1003.199255 1003.504231 1004.177280 1004.140173 1004.658730 1005.021478
68.070000 1003.354910 1003.691324 1004.369297 1004.328401 1004.865911 1005.232581
68.090000 1003.502459 1003.852159 1004.609316 1004.528532 1005.073788 1005.408731
68.110000 1003.639491 1004.026572 1004.824912 1004.723236 1005.277349 1005.588070
68.130000 1003.764642 1004.216335 1005.032127 1004.920733 1005.469346 1005.753746
68.150000 1003.893395 1004.414121 1005.266031 1005.134180 1005.682163 1005.937463
68.170000 1004.085658 1004.628098 1005.469723 1005.338564 1005.877471 1006.152263
68.210000 1004.346930 1005.102094 1005.895914 1005.725000 1006.231518 1006.471521
68.230000 1004.503061 1005.337216 1006.099723 1005.914386 1006.409257 1006.652542
68.250000 1004.634706 1005.531981 1006.285409 1006.101781 1006.584213 1006.810743
68.270000 1004.790319 1005.770831 1006.463618 1006.286480 1006.745590 1006.957430
68.290000 1004.955296 1005.959215 1006.658497 1006.481717 1006.935243 1007.147596
68.310000 1005.154399 1006.235308 1006.837251 1006.667342 1007.093672 1007.305504
68.330000 1005.322966 1006.493451 1007.022484 1006.858587 1007.256809 1007.476162
68.350000 1005.507332 1006.751740 1007.203903 1007.040540 1007.419434 1007.625753
68.370000 1005.712717 1006.956212 1007.374603 1007.224299 1007.593809 1007.809612
68.390000 1005.876896 1007.158956 1007.546475 1007.402061 1007.760460 1007.993005
68.410000 1006.085134 1007.339842 1007.708295 1007.579552 1007.925925 1008.157220
68.430000 1006.376505 1007.515587 1007.859835 1007.755879 1008.103195 1008.357184
68.450000 1006.601845 1007.689568 1008.029942 1007.934446 1008.269868 1008.563465
68.470000 1006.859018 1007.865151 1008.201258 1008.117703 1008.443498 1008.749931
68.490000 1007.116889 1008.053851 1008.378934 1008.312404 1008.642501 1008.960636
