depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
175.000000 173.339649 174.278681 175.209105 175.136307 175.965869 176.961096
175.142857 173.492160 174.407937 175.335910 175.272504 176.106854 177.064519
175.285714 173.600571 174.542472 175.458462 175.406446 176.246075 177.232759
175.428571 173.715425 174.636729 175.593227 175.536091 176.362412 177.392110
175.571429 173.824766 174.742895 175.751324 175.667292 176.534416 177.529991
175.714286 173.951545 174.857155 175.873346 175.797298 176.657532 177.691663
175.857143 174.038768 174.973309 176.001417 175.925497 176.779683 177.842148
176.000000 174.161753 175.087125 176.105173 176.053301 176.949558 178.098093
176.142857 174.255529 175.189249 176.209220 176.179866 177.123770 178.287692
176.285714 174.380633 175.289268 176.314064 176.307372 177.286213 178.522988
176.428571 174.536079 175.398734 176.420646 176.430858 177.418424 178.687704
176.571429 174.626273 175.496908 176.520385 176.556196 177.541009 178.950097
176.714286 174.708780 175.613027 176.618053 176.678925 177.672925 179.322244
176.857143 174.806042 175.726039 176.729660 176.801821 177.804098 179.549482
177.000000 174.890777 175.801743 176.836658 176.924151 177.947648 179.799248
177.142857 174.954957 175.906895 176.938517 177.042717 178.079542 180.090627
177.285714 175.046043 175.997452 177.031670 177.161619 178.223698 180.169408
177.428571 175.140602 176.089412 177.132589 177.279441 178.357148 180.404636
177.571429 175.242012 176.193938 177.225875 177.396698 178.465753 180.611255
177.714286 175.343190 176.282710 177.322373 177.511091 178.600686 180.786004
177.857143 175.427614 176.381112 177.416215 177.624589 178.770624 181.005903
178.000000 175.505406 176.473735 177.528291 177.737590 178.921364 181.211546
178.142857 175.591394 176.554947 177.630079 177.848133 179.027580 181.276782
178.285714 175.670091 176.658981 177.739831 177.958633 179.121252 181.411671
178.428571 175.765431 176.742727 177.850549 178.070814 179.256216 181.602867
178.571429 175.851967 176.831036 177.941330 178.181888 179.346264 181.784977
178.714286 175.977722 176.919268 178.054646 178.291429 179.457583 181.930903
178.857143 176.028008 176.989909 178.161242 178.403725 179.584878 182.123549
179.000000 176.125154 177.084627 178.274949 178.511234 179.724069 182.250906
179.142857 176.221508 177.182502 178.374695 178.617372 179.819246 182.346665
179.285714 176.303568 177.266910 178.474159 178.722520 179.934190 182.487190
179.428571 176.382453 177.379456 178.585927 178.829732 180.067866 182.683245
179.571429 176.459589 177.469655 178.730243 178.939820 180.210802 182.787888
179.714286 176.599659 177.572472 178.841264 179.049440 180.345456 182.875182
179.857143 176.676810 177.648032 178.995724 179.160413 180.449420 182.955044
180.000000 176.773514 177.737607 179.138993 179.276950 180.537547 183.029347
180.142857 176.872587 177.804653 179.261631 179.384676 180.687640 183.116674
180.285714 176.962214 177.913969 179.389255 179.493286 180.794934 183.230762
180.428571 177.032694 177.984563 179.504416 179.603551 180.917030 183.347023
180.571429 177.130750 178.091935 179.618804 179.712657 181.039822 183.470501
180.714286 177.228653 178.191315 179.734032 179.819696 181.146067 183.540544
180.857143 177.327952 178.291451 179.858947 179.930398 181.322458 183.628927
181.000000 177.426893 178.375790 179.985219 180.038957 181.487906 183.718466
181.142857 177.521394 178.468989 180.087034 180.150195 181.663514 183.828547
181.285714 177.616266 178.603572 180.212371 180.263717 181.810391 183.946095
181.428571 177.691478 178.744299 180.332025 180.379884 181.958202 184.072807
181.571429 177.764381 178.835763 180.437824 180.494844 182.083542 184.181886
181.714286 177.853062 178.922178 180.556933 180.608660 182.199618 184.260295
181.857143 177.938007 179.010566 180.678883 180.726947 182.365778 184.509893
182.000000 178.028827 179.160083 180.799959 180.844838 182.513572 184.640464
182.142857 178.131748 179.297108 180.918773 180.961521 182.632286 184.722254
