depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
21.300000 696.671522 702.206720 707.034650 706.293759 709.873191 712.981642
21.400000 705.065018 709.466844 712.508458 712.107660 714.214601 715.803357
21.500000 715.435679 716.987078 718.450589 718.743057 720.234411 723.633148
21.600000 719.657987 721.783396 724.467984 725.246931 728.969219 734.145675
21.700000 725.059203 727.367698 731.723375 731.846483 736.487943 739.831853
21.800000 730.652709 735.070240 739.424309 738.877838 742.340171 744.615404
21.900000 739.511475 744.127987 746.534624 746.569855 749.201652 752.756499
22.000000 748.073790 750.885212 753.766107 753.929306 756.530735 762.951012
22.100000 757.826518 761.396051 765.529658 765.708192 770.258634 773.807570
22.200000 765.585535 770.455095 773.526108 773.539692 776.916559 780.268468
22.300000 772.635924 776.386032 779.581212 779.531958 782.837645 785.113831
22.400000 777.610848 781.364020 785.813554 785.246351 788.334226 790.138511
22.533333 784.577828 789.534794 794.864026 796.078726 802.813381 813.815964
22.666667 792.660659 799.366043 806.674990 807.576756 817.108088 823.331586
22.800000 807.691591 811.669777 817.043708 818.639825 826.632406 830.949617
22.900000 814.224856 818.714043 824.922146 825.243218 831.804480 835.695552
23.000000 819.012694 825.483870 831.449034 831.029897 836.516959 839.643592
23.100000 824.977078 831.798703 837.098963 836.408392 840.884240 843.699548
23.200000 833.236567 838.074569 842.112349 841.690328 845.145938 850.179141
23.300000 840.061228 844.375393 847.486148 847.147889 849.927173 854.125460
23.400000 845.410253 848.913955 851.885340 851.868713 855.229965 857.762019
23.500000 849.653943 853.641021 856.609621 856.239516 858.914477 860.693595
23.550000 852.340204 856.241997 859.087634 858.578275 860.942032 862.450154
23.600000 854.509488 858.964639 861.405254 860.927145 862.954979 864.263524
23.650000 857.372512 861.665768 863.625224 863.234298 865.041648 866.046866
23.700000 860.190163 864.073623 865.545322 865.255918 866.683670 867.601355
23.750000 862.969072 866.241359 867.583842 867.316235 868.605138 869.652697
23.800000 865.455349 867.973499 869.452496 869.309297 870.677384 872.038037
23.850000 869.522798 870.910014 872.193328 872.370520 873.766958 876.054561
23.900000 871.737322 873.143237 874.778448 875.111406 877.113004 880.167251
23.950000 873.859031 875.588956 877.842420 878.235203 880.811856 884.651721
24.050000 877.987725 881.275521 885.284200 885.605681 890.000073 895.085598
24.150000 884.685687 889.354181 893.748542 893.757653 897.432060 904.832236
24.200000 888.993532 895.045962 898.981858 899.146319 903.332322 910.058192
24.250000 893.019050 898.137783 902.745084 903.065575 908.232355 913.327660
24.300000 896.103267 900.960099 907.156973 906.963934 913.028345 916.367463
24.350000 899.004596 904.006446 911.937261 911.054102 916.808500 923.607378
24.400000 900.922387 906.661066 917.837456 915.948070 923.691299 926.390712
24.450000 903.457732 909.727859 924.014711 920.008639 927.052053 928.993933
24.500000 907.116872 913.175832 927.112382 923.512027 929.514494 931.174542
24.550000 910.281368 918.556628 929.505167 927.006471 931.629503 933.303075
24.600000 913.958177 927.907813 931.836420 930.378884 933.755330 935.454726
24.650000 925.066581 931.494261 933.940367 933.367612 935.707412 937.541627
24.700000 932.975484 935.043002 936.661317 936.559272 938.187879 939.855127
24.750000 935.786876 937.425345 938.852369 938.842378 940.331869 941.931379
24.800000 937.937498 939.537025 940.883592 940.871969 942.231082 943.688883
24.850000 940.161292 941.533567 942.817828 942.799509 944.072608 945.257980
24.900000 942.350360 943.601309 944.841704 944.796647 946.032151 947.065251
24.950000 944.247535 945.468709 946.633923 946.639853 947.879065 948.869003
25.000000 945.954128 947.119462 948.330745 948.349801 949.597333 950.766654
25.050000 947.567064 948.904163 950.055024 950.069281 951.261856 952.572351
25.100000 949.198119 950.606087 951.859021 951.796232 952.944408 954.122323
25.150000 951.048247 952.360890 953.547173 953.523420 954.656676 955.774809
25.200000 952.799415 954.204201 955.333341 955.313274 956.411355 957.447306
25.250000 955.089348 956.439083 957.457909 957.456157 958.440516 959.950555
25.300000 959.881634 961.612880 963.437167 963.577933 965.635349 967.494878
25.350000 963.825111 966.619729 968.528673 968.508446 970.345173 972.864704
25.400000 967.684351 969.859604 971.984076 972.120123 974.413142 977.081485
25.450000 970.553675 972.761293 975.587598 975.646595 978.616770 980.976425
25.500000 972.602198 975.272980 979.347008 978.972263 982.109339 985.068149
25.550000 974.766320 978.713665 982.808904 982.513355 986.249028 989.093234
25.600000 977.755510 981.701981 985.838216 985.512492 989.308801 991.326121
25.650000 981.580288 984.848842 988.917459 988.353361 991.401837 993.102974
25.700000 985.070322 988.608064 991.388685 991.049167 993.523303 995.082488
25.750000 989.013667 991.957652 994.102238 993.852512 995.823789 997.209777
