depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
160.240000 1399.076618 1399.444358 1400.139265 1400.105406 1400.758105 1400.965069
160.340000 1400.202826 1400.980185 1401.890617 1402.042917 1403.157457 1404.775482
160.440000 1401.437336 1402.458922 1403.846800 1404.041773 1405.650221 1407.396098
160.540000 1402.853809 1404.180793 1406.084232 1406.003759 1407.745893 1409.122864
160.640000 1404.428896 1406.155136 1407.967561 1407.888008 1409.566568 1411.110998
160.740000 1405.833652 1407.928892 1409.658168 1409.499881 1411.080496 1412.464490
160.785000 1406.597618 1408.704510 1410.266537 1410.215337 1411.779960 1413.378463
160.885000 1408.123744 1410.086787 1411.560812 1411.537803 1413.051841 1414.540198
160.985000 1409.728006 1411.389995 1412.771872 1412.836172 1414.389582 1416.019126
161.085000 1411.115495 1412.663168 1413.985795 1414.187398 1415.832346 1418.246695
161.185000 1412.566169 1413.935179 1415.400408 1415.610649 1417.325402 1420.152740
161.285000 1414.152406 1415.346451 1416.934378 1417.178207 1419.034028 1421.755790
161.385000 1415.295897 1416.715619 1418.639876 1418.824196 1420.785640 1423.648403
161.485000 1416.546527 1418.362034 1420.257069 1420.525870 1422.677063 1425.511440
161.585000 1417.860059 1420.053784 1422.115854 1422.381775 1425.045700 1427.531742
161.685000 1419.385426 1422.066225 1424.385292 1424.473432 1427.135327 1429.334956
161.785000 1421.608897 1424.046761 1426.624766 1426.611152 1429.223478 1431.335581
161.885000 1423.786119 1426.553451 1429.082780 1428.884403 1431.128228 1433.069548
161.985000 1426.161863 1428.759356 1431.112509 1430.933989 1433.070135 1434.865381
162.085000 1428.682054 1430.797613 1432.836128 1432.777177 1434.837364 1436.495369
162.185000 1430.412915 1432.372568 1434.371383 1434.326804 1436.244501 1438.080249
162.285000 1431.921179 1433.903788 1435.855562 1435.804331 1437.606514 1439.480746
162.385000 1433.452139 1435.289059 1437.175365 1437.164516 1438.982521 1440.876503
162.485000 1434.521080 1436.516275 1438.501070 1438.438521 1440.354606 1442.436659
162.585000 1435.732174 1437.653908 1439.734823 1439.716740 1441.657873 1443.690915
162.685000 1436.919887 1438.890046 1441.019432 1440.987742 1443.128671 1445.061310
162.785000 1438.142376 1440.195801 1442.352080 1442.308696 1444.514368 1446.312974
162.885000 1439.328996 1441.509837 1443.767399 1443.686852 1445.968562 1447.512677
162.985000 1440.789636 1443.110023 1445.307261 1445.162487 1447.310497 1448.752013
163.085000 1442.630690 1444.711469 1446.907412 1446.727236 1448.707243 1449.879923
163.185000 1444.258141 1446.649307 1448.616240 1448.396590 1450.101194 1451.131144
163.285000 1446.584706 1449.047982 1450.528273 1450.328537 1451.639182 1452.634035
163.385000 1449.587585 1451.259658 1452.384323 1452.377409 1453.460163 1455.156187
163.485000 1451.883832 1452.915618 1454.028732 1454.208660 1455.502993 1457.763708
163.585000 1453.180824 1454.210228 1455.459453 1455.696201 1457.225632 1459.494573
163.685000 1454.159012 1455.341789 1456.855263 1457.149011 1459.090056 1461.630824
163.785000 1455.381841 1456.456240 1458.255885 1458.622088 1461.112242 1463.215273
163.885000 1456.493762 1457.679652 1459.836597 1460.091389 1462.873979 1464.661909
163.985000 1457.678998 1459.233408 1461.789073 1461.773168 1464.259857 1466.005941
164.085000 1458.955215 1461.090639 1463.851288 1463.628968 1465.869453 1467.479226
164.185000 1460.766054 1463.438132 1465.867663 1465.614763 1467.612879 1469.147672
164.285000 1462.857424 1465.999253 1467.823885 1467.640484 1469.352309 1471.028173
164.385000 1465.814162 1467.812614 1469.481129 1469.389495 1470.909911 1472.792079
164.485000 1467.682403 1469.193559 1470.877727 1470.874176 1472.452528 1474.788171
164.585000 1469.236488 1470.645294 1472.193954 1472.329885 1473.942911 1476.451575
164.685000 1470.729287 1471.959622 1473.512382 1473.689318 1475.390722 1478.139670
164.785000 1471.964656 1473.195863 1474.704688 1474.967513 1476.759093 1479.519877
164.885000 1473.111226 1474.375950 1475.921225 1476.264515 1478.150692 1481.182192
164.985000 1474.145906 1475.487641 1477.198096 1477.583132 1479.735489 1482.789690
165.085000 1475.237706 1476.715861 1478.591434 1478.931692 1481.327061 1484.330657
165.185000 1476.402785 1477.913121 1480.042384 1480.374741 1483.058687 1485.816270
165.285000 1477.606625 1479.294086 1481.539027 1481.887733 1484.988299 1486.982428
165.385000 1478.894133 1480.740233 1483.340606 1483.523566 1486.503264 1488.192098
165.485000 1480.115451 1482.532771 1485.566686 1485.259630 1487.939744 1489.400575
165.585000 1481.751380 1484.732365 1487.448769 1487.101026 1489.425700 1490.593851
165.685000 1483.528472 1487.078207 1489.438648 1489.025123 1490.928501 1492.189968
165.785000 1486.139738 1489.887595 1491.592293 1491.376051 1493.012021 1494.489069
165.887500 1489.913052 1491.995144 1493.592932 1493.571483 1495.128988 1497.328240
165.990000 1492.607295 1494.289271 1495.581334 1495.764282 1497.250142 1500.220183
166.090000 1494.286472 1495.691387 1497.126221 1497.428108 1499.304499 1501.933262
166.190000 1495.671305 1496.964987 1498.750576 1499.010802 1501.163307 1503.646722
166.290000 1496.853177 1498.292624 1500.397935 1500.550895 1502.919199 1505.120869
166.390000 1497.983189 1499.716847 1501.917765 1502.084209 1504.610568 1506.620618
166.490000 1499.515224 1501.196448 1503.628740 1503.662037 1506.109938 1508.167196
166.620000 1501.515567 1503.369970 1505.986633 1505.854922 1508.184351 1510.106765
166.690000 1502.746001 1504.742310 1507.315847 1507.179291 1509.331584 1511.447980
166.785000 1504.435431 1507.165012 1509.312676 1509.342970 1511.480740 1514.682030
166.885000 1506.666641 1509.704138 1511.837158 1512.138287 1514.905365 1518.514004
166.985000 1509.948268 1512.054864 1514.577302 1514.981006 1518.494367 1521.057722
167.085000 1512.279549 1514.249815 1517.238557 1517.484665 1520.902989 1523.476180
167.185000 1513.936886 1516.382266 1520.112698 1519.870997 1523.091022 1525.249414
167.285000 1515.808506 1518.743685 1522.543179 1522.054632 1524.954810 1526.805122
167.385000 1517.422135 1521.456756 1524.729229 1524.215963 1526.854043 1528.413159
167.485000 1519.708497 1523.909158 1526.663058 1526.148999 1528.364054 1529.898587
167.585000 1522.154938 1526.202678 1528.138471 1527.832128 1529.684263 1531.003612
167.685000 1524.740178 1527.827172 1529.435008 1529.261026 1530.891288 1532.002791
167.785000 1527.021197 1529.155577 1530.630405 1530.505248 1531.967136 1533.092165
167.885000 1528.636699 1530.479135 1531.714519 1531.683820 1532.971025 1534.067697
167.985000 1530.439891 1531.570928 1532.771566 1532.768571 1533.975136 1535.106314
