depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
187.535000 1814.329956 1814.623003 1815.526595 1815.422062 1816.091537 1816.244372
187.635000 1815.492578 1816.362040 1817.582125 1817.946313 1819.400649 1822.597625
187.735000 1816.922639 1818.039125 1819.748157 1820.400443 1823.089463 1826.554746
187.835000 1818.356118 1819.715329 1821.852338 1822.658148 1825.759804 1830.100446
187.935000 1819.812831 1821.415365 1824.260303 1824.929183 1828.499775 1833.524986
188.035000 1821.323781 1823.188644 1826.656703 1827.150608 1831.208225 1835.852187
188.135000 1822.735448 1825.004584 1829.064447 1829.397067 1833.974236 1838.364745
188.235000 1824.290813 1826.726762 1831.607524 1831.696884 1836.529400 1840.631848
188.335000 1826.075009 1828.759845 1833.932575 1833.969564 1839.066138 1842.595732
188.475000 1828.179917 1831.539078 1837.036607 1836.956100 1842.295210 1845.068818
188.615000 1830.292172 1834.461662 1840.349418 1840.015595 1845.223385 1848.496412
188.755000 1833.053945 1837.277645 1843.588264 1843.086860 1847.928779 1850.721624
188.895000 1835.967502 1840.564933 1846.907107 1846.047107 1850.398238 1852.848873
189.035000 1839.146552 1843.945152 1850.102603 1849.107087 1852.759580 1854.797326
189.135000 1841.103149 1846.610831 1852.050559 1851.228147 1854.504629 1856.370333
189.235000 1844.161902 1849.583750 1854.017072 1853.428405 1856.120260 1857.794698
189.335000 1847.191101 1852.677457 1855.931177 1855.517881 1857.622792 1859.273826
189.435000 1850.594427 1855.451826 1857.766821 1857.666405 1859.316814 1861.264154
189.535000 1854.314616 1857.896952 1859.541736 1859.769949 1861.060884 1863.734749
189.635000 1857.775507 1859.867469 1861.270527 1861.697222 1862.813692 1866.197504
189.735000 1859.795855 1861.487455 1862.908286 1863.491072 1864.619332 1869.835431
189.835000 1861.652243 1862.930886 1864.537834 1865.296226 1866.629827 1872.968795
189.935000 1863.124884 1864.481675 1866.226865 1867.256701 1869.299758 1876.330344
190.035000 1864.468773 1865.989027 1868.164186 1869.413333 1872.216235 1880.403571
190.135000 1865.939482 1867.885341 1870.735200 1872.150339 1876.283052 1884.655874
190.235000 1868.047767 1869.902953 1874.151749 1875.554201 1881.249837 1890.376848
190.335000 1869.756882 1872.508857 1878.385977 1879.398790 1885.687280 1895.803336
190.435000 1871.953323 1875.839100 1883.345859 1883.767525 1890.903954 1899.394806
190.535000 1874.132490 1880.113901 1888.325962 1888.351956 1896.127162 1902.835582
190.635000 1875.960525 1883.820211 1894.024526 1892.865515 1900.364392 1907.689226
190.685000 1877.429905 1885.645554 1895.951427 1894.584162 1902.081386 1908.884056
190.785000 1880.331383 1890.760164 1899.881811 1898.820427 1906.062670 1911.518902
190.885000 1883.195911 1896.542030 1904.298859 1902.991493 1909.909224 1914.710933
190.985000 1886.593894 1901.221670 1908.315270 1907.079309 1913.813361 1918.280818
191.085000 1891.752487 1905.940104 1912.063236 1910.949628 1916.996858 1921.929406
191.185000 1896.248297 1909.431696 1915.358079 1914.382910 1919.980999 1924.602942
191.285000 1900.650818 1912.803165 1918.350210 1917.586059 1922.889831 1926.986728
191.385000 1906.164662 1916.308368 1921.429984 1920.756388 1925.648184 1929.302164
191.485000 1912.772208 1919.423364 1924.376607 1923.814877 1928.187298 1931.430094
191.585000 1916.342788 1922.718810 1926.874859 1926.475654 1930.618166 1933.554195
191.685000 1919.835357 1925.522283 1929.277601 1929.051719 1932.909014 1935.829332
191.785000 1923.940973 1927.936481 1931.700857 1931.409427 1935.058148 1937.884338
191.885000 1926.387371 1930.086013 1933.815876 1933.604295 1937.210091 1939.792857
191.985000 1928.930888 1932.461875 1936.064546 1935.858402 1939.168005 1941.752507
192.085000 1931.956077 1934.945603 1938.358304 1938.077460 1941.153256 1943.771498
192.185000 1934.584453 1937.524862 1940.561561 1940.339535 1943.133620 1946.129769
192.285000 1937.422030 1940.161497 1942.419007 1942.595239 1945.278444 1948.683695
192.385000 1940.507286 1942.527859 1944.693279 1945.026998 1947.834511 1951.546526
192.485000 1942.354122 1944.433199 1947.069088 1947.359351 1950.361116 1953.885745
192.585000 1944.301872 1946.414033 1949.341125 1949.594846 1952.731185 1957.123953
192.685000 1945.986487 1948.390134 1951.643951 1951.950369 1955.619162 1959.704021
192.785000 1947.807141 1950.546520 1953.843350 1954.373396 1958.786736 1962.331683
192.885000 1950.074610 1952.750097 1956.758148 1957.074196 1961.642570 1965.228403
192.985000 1952.227559 1955.249076 1959.832022 1959.811287 1964.165308 1968.603599
193.085000 1954.581731 1958.210947 1963.019719 1962.703460 1966.938497 1971.179133
193.185000 1957.364304 1961.003113 1965.690512 1965.499683 1969.557860 1973.836940
193.285000 1959.600986 1964.318073 1968.446641 1968.177971 1972.010201 1976.211714
193.385000 1962.572835 1966.983713 1971.052952 1970.738221 1974.457107 1979.339517
193.485000 1965.188881 1969.379541 1973.219594 1973.090783 1976.782360 1981.219386
193.585000 1967.532370 1971.557932 1975.381925 1975.312816 1978.993779 1983.470441
193.685000 1970.346193 1973.770329 1977.384453 1977.476464 1981.171162 1985.979924
193.785000 1972.762391 1975.973641 1979.267306 1979.554121 1983.400773 1988.589337
193.885000 1974.893931 1977.929949 1981.188331 1981.555377 1985.449913 1990.686523
193.985000 1977.015811 1979.881459 1983.072102 1983.636106 1987.644916 1993.255376
194.085000 1979.007617 1981.944241 1985.226751 1985.880000 1990.773285 1995.210538
194.185000 1980.797049 1984.047552 1987.468510 1988.287051 1993.635663 1997.154265
194.285000 1983.280402 1986.465777 1990.774073 1991.146447 1996.316497 1999.078933
194.385000 1986.217921 1989.371007 1994.655310 1994.233889 1998.869187 2001.780621
194.485000 1988.745090 1992.207114 1998.034603 1997.170560 2001.123472 2003.982218
194.585000 1991.180826 1995.714406 2000.270054 1999.713261 2003.341271 2005.849617
194.685000 1992.994778 1998.760853 2002.350061 2001.811175 2005.151642 2007.515248
194.785000 1995.229873 2001.091122 2004.358935 2003.833021 2006.854726 2009.397216
194.885000 1997.346969 2003.159645 2006.195558 2005.812130 2008.690993 2011.258804
194.985000 2000.313727 2005.326702 2008.114248 2007.949111 2010.854504 2013.769168
195.085000 2002.942875 2007.669678 2010.314041 2010.200062 2013.164063 2015.956345
195.185000 2005.628142 2009.646466 2012.662176 2012.390366 2015.298485 2017.829628
195.285000 2008.400475 2011.867553 2014.746885 2014.509429 2017.351395 2019.656778
195.385000 2010.277575 2013.989388 2016.908272 2016.583387 2019.305923 2021.573248
195.485000 2012.517153 2016.401615 2018.980007 2018.707284 2021.139996 2023.347853
195.585000 2015.436997 2018.379257 2020.826251 2020.641825 2022.843056 2025.056141
195.685000 2017.517029 2020.401328 2022.625516 2022.472372 2024.618525 2026.678419
195.785000 2019.865863 2022.346508 2024.248161 2024.204483 2026.320770 2028.234895
195.885000 2022.236368 2024.025823 2025.675470 2025.844420 2028.053084 2029.887920
195.985000 2023.930291 2025.452660 2027.251116 2027.392857 2029.499130 2031.475180
196.085000 2025.090537 2026.981458 2028.872088 2028.947805 2031.035193 2033.077548
196.185000 2026.642308 2028.570056 2030.419397 2030.563533 2032.543521 2034.845905
196.285000 2028.302531 2030.117301 2032.111030 2032.194535 2034.269646 2036.935662
196.385000 2029.922299 2031.771531 2033.907708 2033.992291 2036.269436 2039.181525
196.485000 2031.586582 2033.364497 2035.643929 2035.765576 2038.278758 2040.881492
196.585000 2033.176686 2034.996955 2037.592578 2037.663484 2040.328104 2042.921771
