depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
52.280000 1399.074508 1399.526968 1400.224673 1400.163563 1400.781642 1400.974588
52.390000 1401.690397 1402.846194 1404.765023 1405.004446 1407.225207 1409.565339
52.510000 1404.422531 1406.250454 1408.818388 1408.692713 1410.858182 1412.623418
52.630000 1407.097199 1409.378386 1411.513131 1411.426768 1413.410249 1415.718088
52.750000 1410.064275 1411.941518 1413.817917 1414.103279 1416.319577 1419.858570
52.850000 1412.313460 1414.122511 1416.336696 1416.774351 1419.647481 1423.098808
52.950000 1415.083404 1416.940832 1419.772380 1420.228085 1423.647428 1426.910955
53.030000 1417.475998 1420.001177 1423.308986 1423.519427 1427.279647 1430.051383
53.110000 1420.772494 1424.079142 1427.546869 1427.540302 1430.984699 1434.542492
53.190000 1423.946714 1427.724104 1430.869570 1430.886084 1434.167740 1437.519867
53.280000 1428.521334 1431.207563 1434.021974 1434.319228 1437.705476 1441.159572
53.370000 1431.562441 1434.312318 1437.109981 1437.337603 1440.650036 1443.720724
53.470000 1434.202749 1437.189954 1440.512563 1440.441670 1443.750176 1446.034544
53.570000 1436.830284 1440.155640 1443.927727 1443.535464 1446.641856 1448.463791
53.680000 1440.344202 1444.479937 1447.654683 1447.014536 1449.401116 1450.789207
53.790000 1445.780232 1449.440804 1451.061568 1450.831230 1452.364781 1453.788797
53.880000 1450.837008 1452.263187 1453.519572 1453.616874 1454.987692 1456.948644
53.980000 1453.412956 1454.439727 1455.762666 1456.041322 1457.649896 1460.685853
54.070000 1455.092443 1456.236408 1457.805365 1458.181502 1460.270601 1463.349763
54.160000 1456.797627 1458.025587 1460.224249 1460.464177 1463.060126 1465.354334
54.260000 1458.635498 1460.199853 1463.019358 1462.960107 1465.421907 1467.549291
54.370000 1461.000635 1462.966319 1466.157868 1465.971458 1468.440298 1471.366565
54.470000 1463.261714 1466.186608 1468.458781 1468.648911 1470.933936 1476.241280
54.580000 1465.942137 1468.797174 1471.067399 1471.536444 1474.383924 1480.117016
54.680000 1469.138196 1471.399925 1473.780324 1474.519413 1478.017586 1482.785140
