depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
10.500000 298.510911 302.013644 305.824625 305.435467 308.492713 311.466027
10.600000 304.055935 307.244105 310.347343 310.133631 312.930669 315.082441
10.700000 308.876469 311.647550 314.649044 314.338021 316.793743 318.696333
10.800000 313.502976 316.145525 318.637431 318.251045 320.208405 321.540072
10.900000 317.672836 320.566737 322.365672 322.142789 323.687227 325.237254
11.000000 322.688078 324.414289 325.910953 325.911965 327.385221 329.453997
11.100000 326.526835 328.069497 329.575493 329.688032 331.346597 333.189677
11.200000 330.925930 332.814906 334.541013 334.637874 336.581291 338.216356
11.300000 337.024258 339.462436 341.818871 341.575272 343.615016 345.170485
11.400000 341.572919 344.274248 346.013229 346.018689 347.931902 350.034162
11.500000 345.967586 347.957007 349.698262 349.905640 351.795658 354.781597
11.600000 349.434259 351.498637 353.298673 353.458161 355.529896 358.275476
11.700000 352.835628 354.848313 356.801307 356.920419 359.103591 361.650863
11.800000 356.258057 358.212483 360.293632 360.337011 362.397676 364.792882
11.900000 360.013028 361.793442 363.787827 363.973170 366.129412 368.796908
12.000000 363.478172 365.485730 367.640264 367.871271 370.315397 373.414164
12.100000 367.261180 369.363856 371.718661 372.119839 374.768321 379.053764
12.200000 371.145983 373.729013 376.583869 376.806057 379.839018 384.325171
12.300000 376.595324 379.669248 382.802851 383.045607 386.689835 389.740468
12.400000 381.921777 385.669836 390.351606 389.683800 393.151025 395.767658
12.500000 394.743144 397.780091 400.745924 400.698804 403.564051 407.050185
12.600000 400.900664 403.526274 406.642005 406.442892 409.161266 411.513011
12.700000 406.664376 409.675475 412.213024 412.279819 414.725382 418.642559
12.800000 416.094413 418.508937 421.311025 421.312272 424.176572 426.813904
12.900000 426.764527 429.083224 431.680145 431.639121 434.047630 436.900033
13.000000 432.884286 435.336315 437.750661 437.886809 440.472341 443.707998
13.100000 437.995995 440.514822 444.734384 444.604394 448.329535 452.023076
13.200000 442.091091 444.558832 449.513000 449.472670 454.200725 457.495002
13.300000 446.578896 449.319264 454.205570 454.153514 458.866446 462.497172
13.400000 450.707420 454.157293 458.790765 458.852549 463.462577 467.220960
13.500000 454.594302 458.767836 463.691673 463.622462 468.479523 471.912296
13.600000 459.379293 463.744868 468.691272 468.639338 473.771586 476.954216
13.700000 465.691384 470.400209 475.528136 475.139501 479.639441 484.326306
13.800000 473.169055 478.666122 482.477045 482.265487 485.370868 492.792657
13.900000 481.992232 486.589236 489.634611 489.740976 492.917899 498.320019
14.000000 489.004092 493.136793 497.091303 496.990709 500.919016 504.405000
14.100000 496.586508 501.560693 505.399772 505.278165 508.946340 512.912757
14.200000 505.324523 509.388328 513.149964 512.864595 516.202534 519.032309
14.300000 511.473277 516.262025 519.486124 519.133221 522.063896 524.517399
14.400000 517.196406 521.574447 524.315360 524.074422 526.798472 529.470951
14.500000 522.180061 526.580444 529.728294 529.499648 532.634452 535.073512
