depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
2.920000 300.316685 304.383228 308.071909 307.905698 311.464094 314.649045
3.020000 309.276589 312.112197 315.139450 314.909909 317.567860 319.739027
3.070000 312.566568 315.659697 318.468469 318.119341 320.428966 322.190427
3.130000 316.433656 319.333455 321.882522 321.701919 323.988576 326.056345
3.170000 319.064810 321.678937 323.939318 324.019995 326.319737 329.176503
3.220000 322.436943 324.536939 327.227310 327.207279 329.738325 332.052516
3.270000 325.362477 328.525167 331.112616 330.927607 333.298651 335.725349
3.320000 331.188932 332.811691 335.136895 336.955802 339.160443 354.611792
3.370000 333.591248 335.182939 338.138344 342.870589 354.304897 364.703486
3.420000 335.560366 337.181801 340.911808 347.381161 361.711383 369.310663
3.470000 337.274493 339.216031 351.874583 351.040384 367.463573 372.128462
3.570000 350.194647 355.697927 365.391678 364.622222 372.774728 376.884561
3.620000 356.496054 362.918407 369.665931 369.191501 375.736916 379.684397
3.670000 364.507999 368.915258 374.489578 374.021634 378.915362 382.214439
3.720000 370.157049 375.032126 379.006221 378.876337 383.133652 385.808025
3.770000 377.437671 380.987263 384.279594 384.046270 387.187722 389.174685
3.820000 381.368147 384.938451 387.866924 387.604321 390.297388 392.264472
3.870000 385.869472 388.630192 391.007723 390.836032 393.243884 394.773009
3.920000 388.784132 391.573089 393.733526 393.547500 395.514569 397.162587
3.970000 392.105662 394.436138 396.330980 396.236036 398.061355 399.656679
4.070000 398.523794 400.305737 401.905484 401.930612 403.563438 405.355968
4.120000 401.302435 403.151658 404.740394 404.666357 406.171393 407.833479
4.170000 404.011482 405.818011 407.370798 407.364875 408.933309 410.436834
4.220000 407.068872 408.831216 410.400313 410.279442 411.677884 412.887850
4.270000 410.918470 412.239313 413.631342 413.607210 414.905607 416.374721
4.320000 413.940610 415.375014 416.658571 416.701064 418.093874 419.512414
4.370000 416.467713 417.894618 419.269528 419.336570 420.772176 422.337240
4.420000 419.176608 420.490183 421.927219 421.982349 423.480882 425.057750
4.500000 423.257549 424.728198 426.256521 426.255139 427.719664 429.415734
4.570000 427.329504 429.105595 430.888114 431.441670 433.778507 438.534325
4.620000 430.874717 432.644987 435.353559 435.770771 438.820075 443.262251
4.670000 435.986616 439.306893 442.714761 443.179748 446.678010 454.094078
4.720000 444.433148 447.473036 451.274514 452.272391 457.848651 463.146662
4.770000 449.921647 453.784022 459.707201 459.855321 465.750616 471.007753
4.820000 460.536714 467.278720 470.768033 471.152491 475.822110 481.836941
4.870000 468.550461 471.759836 475.487152 476.333724 481.644236 488.242374
4.970000 475.015629 478.700958 482.314279 483.841866 491.390947 497.283449
5.020000 478.755394 482.438749 486.262276 487.952902 495.711025 499.940265
5.095000 483.544363 488.772576 494.195771 494.288226 500.370024 503.328570
5.170000 489.700268 496.334971 501.500338 500.454577 504.437853 506.422766
5.220000 493.247477 500.695721 504.585587 503.705154 506.900029 508.439310
5.270000 496.570583 503.298490 506.585548 505.856021 508.829387 510.280655
5.370000 501.057970 506.576725 509.451812 508.890151 511.497809 513.158355
5.470000 505.823043 510.041866 512.264978 511.993686 514.254987 515.758029
5.570000 510.717921 513.508994 515.188893 515.071251 516.788301 518.085382
5.620000 513.137092 515.412729 516.873859 516.813193 518.347038 519.586385
5.670000 515.557735 517.306376 518.584237 518.598135 520.039231 521.208028
5.720000 517.685927 519.228599 520.489706 520.470232 521.677203 523.110276
5.770000 519.561128 520.999579 522.230061 522.214152 523.452511 524.632584
5.820000 521.566693 522.785443 523.964201 523.946178 525.099967 526.190055
5.870000 523.259187 524.502842 525.651023 525.656801 526.789836 527.899410
5.920000 525.124882 526.264126 527.430138 527.406470 528.532458 529.849203
5.970000 526.622300 527.947179 528.985496 529.053988 530.204518 531.586500
6.020000 528.110230 529.466594 530.660228 530.668004 531.814047 533.090591
6.070000 529.655552 530.991110 532.188990 532.231129 533.474376 534.762680
6.120000 531.257441 532.564785 533.757116 533.799088 534.991434 536.386564
6.170000 532.907546 534.224037 535.339594 535.445686 536.734232 538.406980
6.220000 534.586837 535.867478 537.185016 537.260809 538.625532 540.735000
6.270000 535.813765 537.276792 538.817391 538.977059 540.547884 543.037201
6.320000 537.517813 538.964438 540.599558 540.835044 542.573766 545.424244
6.370000 538.925372 540.607981 542.388875 542.670542 544.618966 547.590009
6.470000 542.171062 543.955016 545.922984 546.195624 548.042364 552.060091
6.520000 543.928262 545.998743 547.831213 548.151985 550.075167 554.300352
6.570000 545.856657 548.113058 550.084623 550.380491 552.418048 556.147081
6.670000 550.889532 553.525394 556.480755 557.137735 560.241319 565.792256
6.720000 557.559954 560.966139 563.834694 564.293710 567.128310 572.273135
6.770000 561.248015 565.107775 568.371596 568.724883 571.045671 580.721083
6.820000 567.645781 571.411086 575.499464 575.683967 579.931221 584.219492
6.870000 577.464697 581.548992 583.587897 583.948581 586.726038 591.153989
6.920000 583.237422 585.364682 587.980637 588.428318 591.374536 597.889221
7.020000 590.640361 594.634626 600.234604 599.894246 603.958353 611.810636
7.070000 595.142530 604.174497 608.879165 608.158684 612.660842 616.351540
7.170000 614.152298 617.059415 619.333140 619.061267 621.228550 623.073429
7.220000 618.799436 620.913940 622.699798 622.823469 624.652123 627.026090
7.270000 621.357116 623.363840 625.529613 626.711906 630.390850 637.158469
7.320000 623.295900 625.137042 628.263744 629.874680 635.424633 641.382592
7.370000 625.193138 627.107701 631.933507 632.907173 639.236757 643.992261
7.420000 627.821664 630.113943 636.355912 636.208542 642.042718 645.499312
7.470000 630.469454 634.216414 641.678839 640.527120 645.190753 648.026163
7.520000 632.617048 638.080281 645.055017 643.729712 647.625925 650.780691
7.570000 635.169066 641.237503 647.294938 646.122319 649.748040 653.025970
7.670000 639.161607 645.332207 650.846902 649.930237 653.458120 656.847370
7.720000 641.732726 648.171855 652.949043 652.082554 655.546216 658.903363
7.770000 643.918768 651.017454 654.881326 654.355134 657.871537 661.116703
7.820000 646.728203 653.724525 657.096763 656.779271 660.325342 663.613138
7.870000 650.933296 656.147943 659.247950 659.235089 662.691548 665.809387
7.920000 653.598035 658.433107 661.596681 661.566572 665.114150 667.901779
7.970000 656.171798 660.725215 663.942110 663.812154 667.193360 669.751174
8.070000 661.736638 665.466424 668.465079 668.382326 671.474587 673.842130
8.120000 664.468351 668.330437 671.138521 671.041999 673.957161 676.458209
8.170000 668.008072 671.374879 673.977094 673.941655 676.537832 679.457752
8.220000 671.563629 674.364267 676.783602 676.840242 679.578538 682.353608
8.270000 674.453300 677.223090 679.649393 679.777951 682.458936 685.845425
8.320000 676.999881 679.719023 682.128654 682.417631 685.462569 688.704974
8.360000 678.866991 681.539787 684.295813 684.461016 687.460290 690.815318
