depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
16.920000 196.778989 197.809763 198.558117 198.602642 199.497370 200.339678
16.940000 197.351330 198.200935 198.906144 198.949324 199.789383 200.596693
16.960000 197.815554 198.548460 199.254398 199.304697 200.084591 200.837174
16.980000 198.135982 198.911882 199.640646 199.654827 200.387340 201.109594
17.000000 198.595148 199.277616 199.969675 199.998933 200.749304 201.366099
17.020000 199.007383 199.677965 200.320827 200.336734 201.040496 201.630423
17.040000 199.383310 200.007804 200.670737 200.668098 201.309630 201.957333
17.060000 199.726949 200.341980 200.996514 200.984958 201.617183 202.233475
17.080000 200.022687 200.672731 201.334443 201.316249 201.949025 202.520314
17.100000 200.414061 200.975564 201.688741 201.650807 202.302052 202.938604
17.120000 200.677869 201.280997 202.012902 201.989940 202.634593 203.332491
17.140000 201.020641 201.655522 202.333176 202.322704 202.942394 203.679039
17.160000 201.339887 202.013166 202.680083 202.666952 203.309795 204.051320
17.180000 201.650361 202.391207 203.012348 203.015677 203.644304 204.365278
17.200000 202.060208 202.776083 203.365152 203.378110 204.004403 204.712856
17.220000 202.493925 203.115119 203.669812 203.703674 204.323404 205.038301
17.240000 202.777160 203.409067 203.985902 204.013346 204.618898 205.362454
17.260000 203.030800 203.696823 204.273432 204.304814 204.922853 205.621549
17.280000 203.316394 203.952484 204.563641 204.589646 205.228670 205.905286
17.300000 203.605493 204.206650 204.849254 204.862239 205.509616 206.248308
17.320000 203.884782 204.449456 205.117594 205.136958 205.815079 206.485182
17.340000 204.135052 204.752826 205.410158 205.413615 206.104407 206.778920
17.360000 204.375861 205.012598 205.678451 205.680231 206.370425 207.001322
17.380000 204.689926 205.297397 205.979808 205.963632 206.641166 207.292440
17.400000 204.893429 205.535072 206.255168 206.237092 206.921118 207.543295
17.420000 205.152977 205.811932 206.530556 206.516027 207.189629 207.727549
17.440000 205.368653 206.086453 206.846791 206.795544 207.446000 207.993273
17.460000 205.628562 206.352062 207.152034 207.075066 207.703413 208.241778
17.480000 205.883517 206.692565 207.415518 207.337636 207.944832 208.463323
17.500000 206.141086 206.967873 207.687927 207.597328 208.178651 208.657605
17.520000 206.373441 207.233588 207.950164 207.848185 208.409859 208.929647
17.540000 206.614727 207.500283 208.189792 208.096507 208.650632 209.106427
17.560000 206.913013 207.757450 208.436142 208.352251 208.878938 209.346920
17.580000 207.187293 208.029168 208.691132 208.603133 209.106009 209.621527
17.600000 207.507726 208.314911 208.936363 208.851341 209.343749 209.818039
17.620000 207.774718 208.565190 209.177395 209.088579 209.565356 210.027611
17.640000 208.013745 208.841772 209.389881 209.329859 209.782142 210.222295
17.660000 208.315709 209.136412 209.627863 209.574776 210.004063 210.455427
