depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
2.040000 98.592185 100.838399 103.676481 104.123750 107.971653 111.663951
2.090000 101.863094 104.435203 108.590289 108.759505 113.354724 115.656717
2.140000 105.737234 110.400738 114.775727 114.097056 117.235956 119.000477
2.190000 117.100874 118.950104 120.846150 120.722938 122.381875 123.663058
2.240000 120.404278 122.106993 123.594542 123.543438 124.988238 126.366574
2.340000 125.767719 126.927152 128.199114 128.163203 129.366090 130.593565
2.390000 128.031483 129.241738 130.394864 130.407313 131.526491 132.844887
2.440000 130.218789 131.501376 132.720423 132.689613 133.759549 135.083984
2.490000 133.223403 134.556659 135.970682 136.244078 137.762797 141.171663
2.540000 136.131762 137.586688 139.459201 139.628730 141.426684 144.916258
2.620000 140.667746 142.651580 144.934709 145.162345 147.554228 151.110929
2.670000 143.109913 145.801704 148.511968 148.602729 151.323475 154.700755
2.720000 145.047052 148.147853 151.479959 151.452629 154.584376 158.513647
2.770000 146.977187 150.271695 154.428051 154.247388 157.706428 161.092371
2.820000 148.995492 152.906534 157.567900 157.024325 160.527541 163.747040
2.870000 151.057301 155.340186 160.372955 159.667108 163.082598 166.029495
2.920000 152.860537 158.494579 162.487749 161.977711 165.307742 168.330743
2.970000 155.199559 160.960770 164.338059 164.051072 167.328378 170.677335
3.020000 158.823448 163.194306 166.038748 166.094406 169.298325 173.453794
3.070000 161.504653 165.254812 167.881860 168.195180 171.367874 176.488336
3.120000 163.641596 167.077171 169.610985 170.126555 173.512763 178.359182
3.170000 165.876947 169.079558 171.563158 172.119748 175.826146 180.377117
3.220000 167.791855 171.366365 173.866420 174.293643 177.801293 181.915758
3.270000 169.565648 173.262290 176.218330 176.485938 179.825872 183.537793
3.320000 171.667476 175.302298 178.445411 178.588336 182.062556 185.286368
3.370000 173.884606 177.647395 180.744096 180.812905 184.188639 186.990286
3.420000 175.873747 180.127045 183.004592 183.013297 186.136911 188.639091
3.470000 178.008073 182.560982 185.595337 185.328503 188.184361 190.318886
3.520000 180.847249 185.565964 187.996546 187.742884 190.154258 191.826947
3.570000 183.637974 188.547675 190.755368 190.700240 192.782932 197.830484
3.620000 186.760758 190.311150 192.436103 192.683996 194.586649 204.074923
3.670000 190.046836 192.063713 194.364001 194.767680 196.384406 206.294366
3.720000 192.916701 194.631638 196.756789 197.495817 198.934400 208.368792
3.770000 195.572308 197.928540 200.086341 201.263336 205.848062 210.797508
3.820000 198.345603 199.982763 203.196717 204.598554 210.783058 212.808913
3.870000 200.245866 201.989201 208.012064 207.631342 213.223544 214.639538
3.920000 202.063721 203.955500 212.211549 210.206226 215.231880 216.372945
3.970000 203.967653 206.379935 215.215589 212.685232 217.166025 218.251960
4.020000 205.950376 208.887812 217.423874 215.242891 219.046900 220.125168
4.050000 208.305183 211.627025 218.617914 216.973279 220.138536 221.540950
4.120000 218.588066 220.266123 221.704632 221.720255 223.192549 224.800249
4.170000 221.091706 222.553851 223.868426 223.982192 225.478752 227.315560
4.220000 223.122863 224.425092 225.927881 226.037422 227.603780 229.502104
4.280000 225.489602 226.906227 228.571894 228.737309 230.568704 232.622183
4.320000 227.316877 228.823846 230.845834 231.124619 233.503573 235.742747
4.370000 229.366857 231.029532 233.483319 234.171881 237.625419 242.046644
4.420000 231.636256 233.247360 236.270042 237.438815 242.277880 244.635691
4.470000 234.482384 236.533210 242.222927 241.298503 244.865208 247.473299
4.520000 242.547036 245.259017 248.186088 248.309645 251.444351 254.248970
4.570000 246.026581 248.244367 251.890143 251.854547 255.280572 257.732224
4.620000 248.057338 250.260549 255.173607 254.697322 258.466940 261.254931
4.720000 251.546957 253.808162 260.697446 259.558842 263.768798 266.047047
4.770000 253.725925 256.422232 263.284352 262.008056 265.886174 268.383636
4.820000 255.922202 259.634812 265.708850 264.520239 268.060368 270.274616
4.920000 260.396578 265.582696 270.006699 269.039219 271.576696 273.390608
4.970000 262.556078 268.791295 272.165319 271.337096 273.676743 275.162327
5.020000 265.664649 271.672347 274.367157 273.661101 275.876761 277.140321
5.070000 269.008929 274.222657 276.713311 276.096900 278.125709 279.270633
5.120000 274.605065 277.515807 279.222271 278.980625 280.448146 281.715542
5.170000 279.472466 281.013456 282.213416 282.281618 283.638278 285.978980
5.220000 282.964394 284.278247 285.795345 285.792831 287.261163 288.623714
5.270000 287.025040 288.803515 290.144853 290.340712 291.919211 294.773946
5.320000 290.061958 291.757379 293.773516 293.919988 295.961163 298.683287
5.370000 292.473313 294.449843 297.193702 297.248832 299.876339 303.239267
