id,age,age_sd,position,thickness
Core top,0,0.1,0,0
Iceland Basin Event,0.188,0.1,0.188,0
Brunhes/Matuyama,0.781,0.1,0.781,0
Kamikatsura,0.885,0.1,0.885,0
Santa Rosa,0.93,0.1,0.93,0
Top Jaramillo,0.99,0.1,0.99,0
Base Jaramillo,1.07,0.1,1.07,0
Punaruu,1.125,0.1,1.125,0
Top Cobb Mountain,1.18,0.1,1.18,0
Base Cobb Mountain,1.215,0.1,1.215,0
Top Olduvai,1.775,0.1,1.775,0
Base Olduvai,1.934,0.1,1.934,0
Top Reunion,2.116,0.1,2.116,0
Base Reunion,2.14,0.1,2.14,0
Matuyama/Gauss,2.581,0.1,2.581,0
