Age,d18O
0,3.158369
1,3.158208585
2,3.151446876
3,3.144901378
4,3.142717593
5,3.149416895
6,3.170721935
7,3.211587091
8,3.256286431
9,3.319024774
10,3.408152586
11,3.516834555
12,3.633960008
13,3.757375082
14,3.872549857
15,3.973563089
16,4.098163212
17,4.253712998
18,4.423648054
19,4.578990729
20,4.700208662
21,4.775840754
22,4.793960256
23,4.788637383
24,4.776545075
25,4.757892471
26,4.724312344
27,4.681383858
28,4.641214778
29,4.626351438
30,4.621238508
31,4.611073063
32,4.592904915
33,4.572376317
34,4.533916749
35,4.494560355
36,4.472021205
37,4.454367038
38,4.428227567
39,4.39812227
40,4.370149147
41,4.331287404
42,4.288294708
43,4.260490526
44,4.271422346
45,4.320654738
46,4.367548224
47,4.377009195
48,4.361382977
49,4.331578658
50,4.2888578
51,4.228414657
52,4.227442217
53,4.280478455
54,4.316720726
55,4.311848188
56,4.268408079
57,4.209080225
58,4.173154004
59,4.190404466
60,4.225884202
61,4.190939766
62,4.135801317
63,4.163883003
64,4.234388752
65,4.293835735
66,4.350344566
67,4.392071063
68,4.414139554
69,4.425563292
70,4.438336264
71,4.432372459
72,4.394931046
73,4.333076658
74,4.262730044
75,4.178509178
76,4.101066965
77,4.05166245
78,3.995601814
79,3.950175984
80,3.939629914
81,3.899342069
82,3.839459324
83,3.760368822
84,3.686135092
85,3.640936397
86,3.652527852
87,3.738900529
88,3.860629394
89,3.967118854
90,4.025688293
91,4.026114435
92,3.882887519
93,3.852434743
94,3.821470164
95,3.794687136
96,3.769569194
97,3.740428206
98,3.7066427
99,3.679707812
100,3.662863565
101,3.656022808
102,3.660308115
103,3.678893963
104,3.700865897
105,3.724528876
106,3.748006832
107,3.765311082
108,3.773234109
109,3.784695508
110,3.801325753
111,3.944916323
112,3.92990977
113,3.863654869
114,3.773705439
115,3.655569998
116,3.528273594
117,3.426324686
118,3.326291988
119,3.212330997
120,3.116914987
121,3.064033993
122,3.032788486
123,3.020865459
124,3.063416043
125,3.190628896
126,3.367830826
127,3.571213959
128,3.801389636
129,3.967246922
130,4.031198912
131,4.151411258
132,4.335956662
133,4.493937268
134,4.621120569
135,4.703770671
136,4.739872216
137,4.758291971
138,4.757045343
139,4.729083783
140,4.688519399
141,4.647585181
142,4.616069731
143,4.59225035
144,4.566258838
145,4.535855003
146,4.510128136
147,4.494092126
148,4.486213009
149,4.487187749
150,4.497503118
151,4.512847958
152,4.531371828
153,4.550367895
154,4.578183909
155,4.604484802
156,4.595702886
157,4.566389847
158,4.527487412
159,4.486658707
160,4.448525267
161,4.421980708
162,4.403728927
163,4.378264021
164,4.359168265
165,4.354167344
166,4.336070885
167,4.273528501
168,4.217670723
169,4.194667788
170,4.201211804
171,4.250896916
172,4.297099288
173,4.313080995
174,4.3225758
175,4.31779078
176,4.291256352
177,4.284351169
178,4.318284053
179,4.365876558
180,4.36189928
181,4.317392527
182,4.250224366
183,4.165571012
184,4.061250188
185,3.945095672
186,3.849963469
187,3.789408623
188,3.763459404
189,3.724151235
190,3.641413377
191,3.547439986
192,3.469276175
193,3.427613107
194,3.437845852
195,3.504000419
196,3.582724693
197,3.622413499
198,3.630018589
199,3.615761526
200,3.587801855
201,3.548805768
202,3.491646505
203,3.435697107
204,3.400241881
205,3.380251341
206,3.386812499
207,3.44195437
208,3.545780867
209,3.683421873
210,3.846330844
211,4.010110228
212,4.131706265
213,4.201397937
214,4.249450081
215,4.274824025
216,4.26075988
217,4.21206985
218,4.155190792
219,4.114197836
220,4.082119188
221,4.042769783
222,3.993009649
223,3.917115064
224,3.812968355
225,3.685287008
226,3.556968976
227,3.454913233
228,3.381969012
229,3.347128677
230,3.365789188
231,3.458906311
232,3.606902227
233,3.77351265
234,3.941148747
235,4.089862715
236,4.197480552
237,4.267397253
238,4.33312826
239,4.397873801
240,4.446294869
241,4.468664194
242,4.47462136
243,4.458090054
244,4.418269189
245,4.379699887
246,4.360637768
247,4.348772991
248,4.327715546
249,4.309403667
250,4.310597085
251,4.321393058
252,4.330412792
253,4.348711961
254,4.370282105
255,4.376783077
256,4.375531696
257,4.392634296
258,4.428897566
259,4.456303742
260,4.449218296
261,4.411453184
262,4.371964477
263,4.333467984
264,4.285934829
265,4.253306108
266,4.240262036
267,4.214683337
268,4.154132859
269,4.171995669
270,4.129103207
271,4.080340393
272,4.034489685
273,4.006900876
274,4.002943884
275,4.008425052
276,4.033571658
277,4.091303666
278,4.15969291
279,4.207216362
280,4.238300511
281,4.243902432
282,4.233017328
283,4.21126289
284,4.175573153
285,4.126505201
286,4.069359672
287,4.021038216
288,3.990338391
289,3.957641777
290,3.916183252
291,3.885286449
292,3.863600035
293,3.830365885
294,3.777188694
295,3.715128631
296,3.662152797
297,3.626700925
298,3.609276173
299,3.59416378
300,3.580328871
301,3.568745877
302,3.558193057
303,3.548432481
304,3.540793781
305,3.533964869
306,3.528257564
307,3.522073367
308,3.514791834
309,3.504629483
310,3.491706682
311,3.474760068
312,3.434453774
313,3.390467166
314,3.343190844
315,3.292170384
316,3.242425786
317,3.195132339
318,3.161943922
319,3.134498879
320,3.114694233
321,3.097988016
322,3.083758029
323,3.080099875
324,3.080574163
325,3.085336487
326,3.105001204
327,3.136936354
328,3.190228844
329,3.271482229
330,3.365351365
331,3.476146902
332,3.585946132
333,3.694863777
334,3.796199357
335,3.893710188
336,3.98661197
337,4.077133862
338,4.225980714
339,4.508871059
340,4.673647829
341,4.641545991
342,4.54606177
343,4.483310929
344,4.391510379
345,4.32869487
346,4.347266135
347,4.368788199
348,4.375195908
349,4.36639758
350,4.329819592
351,4.291997084
352,4.265130065
353,4.231937234
354,4.192879974
355,4.150621753
356,4.116526506
357,4.100911853
358,4.103809079
359,4.108751461
360,4.101691141
361,4.09071833
362,4.078656304
363,4.064362209
364,4.043582244
365,4.014631404
366,3.981149907
367,3.94667899
368,3.918490042
369,3.905981063
370,3.904222466
371,3.889327366
372,3.859412906
373,3.830019474
374,3.803349117
375,3.771373291
376,3.750226742
377,3.759292815
378,3.777435446
379,3.761612935
380,3.721035032
381,3.662513132
382,3.598120753
383,3.539133158
384,3.490294992
385,3.447369042
386,3.40060688
387,3.351330047
388,3.301572783
389,3.252662778
390,3.192022842
391,3.134483467
