Age,d18O
0,3.158369
1,3.158209784
2,3.151569404
3,3.145027746
4,3.142664408
5,3.148709848
6,3.168888506
7,3.20944809
8,3.253595457
9,3.314409957
10,3.40034946
11,3.507352763
12,3.622855171
13,3.745687185
14,3.860492695
15,3.962488049
16,4.081823314
17,4.231578354
18,4.401935817
19,4.561768865
20,4.682080384
21,4.764180142
22,4.793396865
23,4.79049722
24,4.779011734
25,4.764018403
26,4.731493739
27,4.690050862
28,4.649561976
29,4.627501214
30,4.622350058
31,4.615554952
32,4.596966643
33,4.581581134
34,4.545866799
35,4.506797361
36,4.479968739
37,4.460976987
38,4.439045047
39,4.411149856
40,4.382255591
41,4.352291776
42,4.309043483
43,4.26814724
44,4.253734372
45,4.290194325
46,4.345096311
47,4.373593368
48,4.372096943
49,4.351546355
50,4.318107582
51,4.27147857
52,4.223488744
53,4.232845088
54,4.294371715
55,4.322091846
56,4.308296518
57,4.259600655
58,4.201590879
59,4.172548341
60,4.195126972
61,4.226812844
62,4.187823704
63,4.133899018
64,4.165359591
65,4.234661146
66,4.293189941
67,4.348926839
68,4.390593332
69,4.413068476
70,4.424436262
71,4.438024335
72,4.434660357
73,4.401119869
74,4.342094505
75,4.273409376
76,4.192578092
77,4.110509444
78,4.060455287
79,4.009712156
80,3.958033123
81,3.94077015
82,3.911266461
83,3.858198319
84,3.782794645
85,3.702460442
86,3.648723584
87,3.637986951
88,3.705281513
89,3.821887864
90,3.935821356
91,4.009551459
92,4.027604027
93,3.923603527
94,3.862987962
95,3.831513909
96,3.803460299
97,3.77883081
98,3.75235469
99,3.719578301
100,3.688453656
101,3.668564815
102,3.658076288
103,3.658233981
104,3.671164595
105,3.691623642
106,3.714469026
107,3.738305585
108,3.7599951
109,3.771005147
110,3.777262104
111,3.792812107
112,3.856781577
113,3.947149196
114,3.90084709
115,3.826514285
116,3.727248969
117,3.599977972
118,3.484425565
119,3.392292739
120,3.287773122
121,3.175562899
122,3.096152643
123,3.053742548
124,3.02745239
125,3.026565553
126,3.091236038
127,3.231361042
128,3.411817451
129,3.616857412
130,3.848789966
131,3.992783197
132,4.037336803
133,4.174691211
134,4.363400344
135,4.511752198
136,4.634430799
137,4.710198641
138,4.741765842
139,4.759372705
140,4.756603166
141,4.727751054
142,4.687576586
143,4.647280031
144,4.61626447
145,4.592729501
146,4.567267529
147,4.537466155
148,4.511631403
149,4.495111886
150,4.486735712
151,4.486728179
152,4.495840095
153,4.51058133
154,4.528357104
155,4.547235976
156,4.572206736
157,4.599923331
158,4.599232545
159,4.574606269
160,4.538391795
161,4.498016393
162,4.45980716
163,4.429835597
164,4.4109166
165,4.387187716
166,4.364516816
167,4.354275192
168,4.345554186
169,4.302204084
170,4.238844915
171,4.199872572
172,4.193258327
173,4.220343287
174,4.273714086
175,4.30514071
176,4.316997435
177,4.325362577
178,4.310177849
179,4.287503518
180,4.294597189
181,4.341533004
182,4.371490671
183,4.348227328
184,4.293180421
185,4.21557844
186,4.120486876
187,4.007340674
188,3.897789815
189,3.81636218
190,3.775184883
191,3.75233002
192,3.685972085
193,3.588151418
194,3.500032183
195,3.44119309
196,3.431122547
197,3.477057292
198,3.557151872
199,3.614003094
200,3.631605464
201,3.624137213
202,3.597314558
203,3.563080687
204,3.51193911
205,3.452659234
206,3.409898904
207,3.385952436
208,3.383473507
209,3.422772114
210,3.511230049
211,3.637445242
212,3.7925788
213,3.960589073
214,4.100487794
215,4.182776588
216,4.236629234
217,4.273810575
218,4.273158366
219,4.23236742
220,4.172808523
221,4.124909096
222,4.092829195
223,4.057122876
224,4.010591314
225,3.944928077
226,3.849613826
227,3.728816588
228,3.598880999
229,3.486971386
230,3.404433544
231,3.357357332
232,3.358537314
233,3.429338158
234,3.563411207
235,3.726768564
236,3.896969842
237,4.055013705
238,4.175838676
239,4.250765745
240,4.316640294
241,4.38432313
242,4.440026629
243,4.466005678
244,4.475832468
245,4.465575398
246,4.427697352
247,4.385115496
248,4.362205845
249,4.351688208
250,4.332338355
251,4.311238494
252,4.308758777
253,4.319769603
254,4.329204944
255,4.345061557
256,4.367614196
257,4.376908532
258,4.375711278
259,4.389447858
260,4.424206292
261,4.453940047
262,4.451106789
263,4.415795212
264,4.375409709
265,4.336767768
266,4.289892196
267,4.255397695
268,4.24092007
269,4.216440212
270,4.157791017
271,4.17052596
272,4.131353371
273,4.082175398
274,4.035946025
275,4.007591419
276,4.003006722
277,4.008344746
278,4.034145369
279,4.09402593
280,4.163709212
281,4.210706839
282,4.239395786
283,4.242765668
284,4.230223402
285,4.206074199
286,4.16639809
287,4.112551023
288,4.054567172
289,4.010981323
290,3.981636197
291,3.944117186
292,3.903872847
293,3.87711176
294,3.853228602
295,3.809560979
296,3.748033233
297,3.687643132
298,3.639437594
299,3.611308646
300,3.58980147
301,3.571864946
302,3.55668601
303,3.544006289
304,3.533954799
305,3.525680658
306,3.516325056
307,3.501857105
308,3.481807629
309,3.429610104
310,3.364755797
311,3.293833019
312,3.223923839
313,3.167425329
314,3.129773912
315,3.103052556
316,3.083443641
317,3.07823883
318,3.085018862
319,3.112521733
320,3.178540064
321,3.289885599
322,3.434934318
323,3.591590683
324,3.74303802
325,3.88433404
326,4.016055032
327,4.1450132
328,4.290731244
329,4.437709909
330,4.569785514
331,4.656089048
332,4.683321192
333,4.661756052
334,4.614342091
335,4.56351716
336,4.524019215
337,4.493685137
338,4.458863983
339,4.409266407
340,4.361385762
341,4.332824248
342,4.329437922
343,4.342653139
344,4.356512295
345,4.366593208
346,4.373938358
347,4.375395772
348,4.372750004
349,4.367328354
350,4.355920473
351,4.332739966
352,4.307574025
353,4.283991668
354,4.255064112
355,4.220804878
356,4.180163403
357,4.139158762
358,4.110052617
359,4.100159969
360,4.106517415
361,4.107692674
362,4.099529823
363,4.088475916
364,4.076431136
365,4.061608976
366,4.039618363
367,4.010354746
368,3.976973881
369,3.943311792
370,3.916707553
371,3.906080469
372,3.903783453
373,3.888059759
374,3.858474621
375,3.82966703
376,3.803354883
377,3.77186344
378,3.750133363
379,3.758506432
380,3.777796013
381,3.761757801
382,3.720835857
383,3.661307212
384,3.59617876
385,3.536917142
386,3.487463292
387,3.444273969
388,3.396433516
389,3.346313854
390,3.296067273
391,3.244951185
392,3.183484569
393,3.125712686
394,3.086665828
395,3.065146417
396,3.055027722
397,3.049828997
398,3.059112845
399,3.085222608
400,3.10637993
401,3.119248441
402,3.128951468
403,3.146474907
404,3.173511341
405,3.216873747
406,3.267986386
407,3.32184526
408,3.374556566
409,3.422164647
410,3.468313211
411,3.518914466
412,3.566699017
413,3.606058945
414,3.640337779
415,3.678829021
416,3.729435485
417,3.795427467
418,3.878081786
419,3.972956854
420,4.073667068
421,4.185161357
422,4.313584913
423,4.450212405
424,4.581972087
425,4.699460384
426,4.79406031
427,4.858046264
428,4.89140855
429,4.901388033
430,4.88920885
431,4.873099323
432,4.861938409
433,4.83450509
434,4.807624492
435,4.779963216
436,4.750959367
437,4.721887425
438,4.694324287
439,4.664158488
440,4.627179096
441,4.58879657
442,4.549161122
443,4.508362287
444,4.475206612
445,4.459508987
446,4.449884782
447,4.437419965
448,4.424703787
449,4.416189231
450,4.417740555
451,4.423299008
452,4.421139307
453,4.409188636
454,4.393546045
455,4.378684527
456,4.367061405
457,4.359907134
458,4.354751692
459,4.347427661
460,4.333435
461,4.31324454
462,4.290325274
463,4.26528224
464,4.237292485
465,4.204384503
466,4.165901404
467,4.123389075
468,4.080262932
469,4.043872695
470,4.016794396
471,4.000649531
472,3.999688247
473,4.008153337
474,4.014047135
475,4.001789224
476,3.960231857
477,3.900272133
478,3.840974592
479,3.795856968
480,3.769622716
481,3.749191861
482,3.718224094
483,3.67937575
484,3.641364425
485,3.60459581
486,3.572685872
487,3.544265089
488,3.515054492
489,3.499249334
490,3.511046765
491,3.541514551
492,3.574746868
493,3.600022003
494,3.611473036
495,3.614299119
496,3.618332802
497,3.621585772
498,3.629405684
499,3.642573573
500,3.656810634
501,3.680290604
502,3.717751912
503,3.751209758
504,3.786673295
