Age,d18O
0,3.158369
1,3.158211643
2,3.151759271
3,3.145223562
4,3.142581994
5,3.147614227
6,3.166164873
7,3.206133553
8,3.249425597
9,3.307258961
10,3.388257947
11,3.492660034
12,3.605738128
13,3.727045452
14,3.841809243
15,3.945326469
16,4.056503451
17,4.19727911
18,4.368085587
19,4.526529853
20,4.653989295
21,4.746111174
22,4.79252385
23,4.793379174
24,4.782771312
25,4.76935125
26,4.741366021
27,4.703481018
28,4.662496567
29,4.629282875
30,4.624081767
31,4.619211902
32,4.60376867
33,4.587369389
34,4.560124781
35,4.522158181
36,4.488681088
37,4.467879051
38,4.449844399
39,4.423618807
40,4.39380901
41,4.36716863
42,4.327719914
43,4.286202912
44,4.26019881
45,4.27097347
46,4.318240876
47,4.366443197
48,4.378373919
49,4.36518129
50,4.337043012
51,4.297025652
52,4.241869389
53,4.226084289
54,4.2627317
55,4.308209937
56,4.318866119
57,4.290353737
58,4.233063556
59,4.175724358
60,4.169957483
61,4.218438384
62,4.225657655
63,4.169114722
64,4.140257583
65,4.18381785
66,4.247282346
67,4.30349187
68,4.356202636
69,4.39401417
70,4.414159849
71,4.42474505
72,4.437958901
73,4.435916894
74,4.406074193
75,4.351059124
76,4.285666817
77,4.210479909
78,4.130047541
79,4.074138559
80,4.030972891
81,3.97062505
82,3.942661599
83,3.929267265
84,3.88298262
85,3.811074776
86,3.724401746
87,3.656432585
88,3.631762633
89,3.700082806
90,3.826028954
91,3.947003388
92,4.019188952
93,4.026617559
94,3.882402292
95,3.849600599
96,3.816988501
97,3.788928345
98,3.761694542
99,3.728114223
100,3.69235778
101,3.669898736
102,3.658135317
103,3.658585826
104,3.673864347
105,3.696525638
106,3.721470293
107,3.744860625
108,3.763437467
109,3.77236526
110,3.781606126
111,3.79758181
112,3.904162435
113,3.938435153
114,3.883493836
115,3.803754326
116,3.697995078
117,3.565512469
118,3.458164427
119,3.365495118
120,3.257818008
121,3.153080901
122,3.084260151
123,3.04592965
124,3.023017211
125,3.03152122
126,3.116616493
127,3.270496676
128,3.45668579
129,3.668357709
130,3.888387482
131,4.011775731
132,4.075627446
133,4.24360129
134,4.431566711
135,4.572233406
136,4.678717573
137,4.731912287
138,4.753271934
139,4.75940547
140,4.737853156
141,4.697437975
142,4.654743004
143,4.62008652
144,4.594750546
145,4.568503861
146,4.537388999
147,4.510499214
148,4.493887038
149,4.485945982
150,4.487526823
151,4.499018532
152,4.515223595
153,4.534865393
154,4.554283688
155,4.586116116
156,4.608642362
157,4.592331393
158,4.563911734
159,4.527341277
160,4.489011338
161,4.453009545
162,4.426406257
163,4.409235999
164,4.385660808
165,4.364271769
166,4.354281433
167,4.346990666
168,4.3088849
169,4.248533738
170,4.206497669
171,4.192044328
172,4.204765598
173,4.257739958
174,4.29842716
175,4.313157961
176,4.322071756
177,4.319221091
178,4.296560388
179,4.282937336
180,4.307787651
181,4.3635833
182,4.366937458
183,4.325375873
184,4.259979535
185,4.176279533
186,4.073126817
187,3.956679971
188,3.856294592
189,3.791567734
190,3.764879848
191,3.728113723
192,3.645895477
193,3.550702963
194,3.471070348
195,3.428088485
196,3.437778651
197,3.504553027
198,3.583555674
199,3.62281578
200,3.629842293
201,3.614521772
202,3.586383767
203,3.547071199
204,3.489737194
205,3.434563968
206,3.399858924
207,3.380179261
208,3.386764969
209,3.441168297
210,3.542945394
211,3.67846437
212,3.83966377
213,4.003664813
214,4.127400361
215,4.197968484
216,4.246596425
217,4.274570418
218,4.264179712
219,4.218185261
220,4.160945199
221,4.117966503
222,4.086156174
223,4.04853843
224,4.000512866
225,3.929672611
226,3.830415858
227,3.705238919
228,3.574794673
229,3.467443202
230,3.389941142
231,3.350142852
232,3.362061365
233,3.449413186
234,3.597699515
235,3.766492423
236,3.936898668
237,4.088302229
238,4.197516382
239,4.268340358
240,4.335047342
241,4.40029111
242,4.447825707
