Age,d18O
0,3.158369
1.197651707,3.15818
2.395303413,3.148527
3.59295512,3.14189
4.790606826,3.143985
5.988258533,3.166266
7.185910239,3.214413
8.383561946,3.267413
9.581213652,3.348205
10.77886536,3.471154
11.97651707,3.606971
13.17416877,3.752781
14.37182048,3.888479
15.56947218,4.004814
16.76712389,4.165725
17.9647756,4.370879
19.1624273,4.560938
20.36007901,4.703756
21.55773072,4.791246
22.75538242,4.795281
23.95303413,4.78254
25.15068584,4.766346
26.34833754,4.727737
27.54598925,4.677159
28.74364096,4.630187
29.94129266,4.62394
31.13894437,4.618102
32.2519207,4.597475
33.36489703,4.580502
34.47787336,4.539411
35.59084969,4.495889
36.70382602,4.471614
37.81680235,4.452697
38.92977868,4.423574
40.04275501,4.390464
41.15573134,4.361326
42.26870767,4.313317
43.381684,4.268165
44.49466033,4.252265
45.60763666,4.298858
46.72061299,4.363031
47.83358932,4.379877
48.94656565,4.365293
50.05954199,4.334046
51.17251832,4.288035
52.28549465,4.222562
53.39847098,4.228378
54.51144731,4.296253
55.62442364,4.325657
56.73739997,4.303548
57.8503763,4.240012
58.96335263,4.17578
60.07632896,4.169376
60.95392684,4.218783
61.83152472,4.23076
62.70912259,4.178378
63.58672047,4.132472
64.46431835,4.157901
65.34191623,4.221028
66.21951411,4.272014
67.09711199,4.322841
67.97470987,4.36894
68.85230775,4.39922
69.72990563,4.415242
70.60750351,4.424256
71.48510138,4.437531
72.36269926,4.440561
73.24029714,4.421652
74.11789502,4.377142
74.9954929,4.319737
75.87309078,4.258761
76.75068866,4.185953
77.62828654,4.113113
78.50588442,4.068412
79.38348229,4.030063
80.26108017,3.973013
81.13867805,3.943406
82.01627593,3.939383
82.89387381,3.904431
83.82539258,3.85299
84.75691135,3.781494
85.68843012,3.705932
86.61994889,3.652412
87.55146766,3.627477
88.48298643,3.672979
89.4145052,3.775842
90.34602397,3.8918
91.27754274,3.983483
92.20906151,4.029769
93.14058028,4.026419
94.07209905,3.885444
95.00361782,3.8578015
95.93513659,3.828444
96.86665536,3.802911
97.79817413,3.780284
98.7296929,3.7566715
99.66121167,3.726818
100.5927304,3.695017
101.5242492,3.6738935
102.455768,3.660361
103.3872868,3.6555695
104.3188055,3.6603285
105.2503243,3.6771825
106.1818431,3.697074
107.1133618,3.7185745
108.0398161,3.7405855
108.9662703,3.7602965
109.8927245,3.7706895
110.8191787,3.7750135
111.745633,3.788955
112.6720872,3.8044095
113.5985414,3.959417
114.5249957,3.93063
115.4514499,3.872737
116.3779041,3.796049
117.3043583,3.696487
118.2308126,3.572649
119.1572668,3.470963
120.083721,3.388663
121.0101753,3.292467
121.9366295,3.186237
122.8630837,3.105663
123.7895379,3.062584
124.7159922,3.033976
125.6424464,3.017558
126.5689006,3.036106
127.4953549,3.132164
128.4218091,3.28196
129.3482633,3.454987
130.2747175,3.647967
131.2011718,3.864585
132.2282368,4.004505
133.2553019,4.041056
134.282367,4.192868
135.309432,4.390635
136.3364971,4.534086
137.3635622,4.65552
138.3906273,4.723162
139.4176923,4.7467
140.4447574,4.763107
141.4718225,4.754486
142.4988875,4.718183
143.5259526,4.675583
144.5530177,4.635178
145.5800827,4.607466
146.6071478,4.58529
147.6342129,4.557415
148.6612779,4.525678
149.688343,4.502673
150.7154081,4.489914
151.7424731,4.484383
152.7695382,4.488596
153.7966033,4.502044
154.8236684,4.51844
155.8507334,4.538167
156.8777985,4.556876
157.9048636,4.589721
158.762982,4.608716
159.6211005,4.595404
160.4792189,4.571975
161.3373373,4.540571
162.1954558,4.505972
163.0535742,4.472584
163.9116927,4.44169
