depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.020000 1.380893 2.155911 2.936990 2.924156 3.668951 4.401076
0.100000 4.089099 5.165374 6.180634 6.155461 7.091377 8.198347
0.200000 8.480141 9.808576 11.050775 11.057006 12.320647 13.922130
0.300000 14.763445 16.106087 19.844101 20.524659 25.401585 29.162267
0.400000 21.125740 24.503384 28.671256 28.721205 32.559743 37.803375
0.500000 27.053307 30.987935 34.697868 35.259767 39.735120 46.902100
0.600000 31.989734 35.575582 40.323312 41.053679 47.216733 54.184308
0.700000 36.526719 40.474199 45.785454 46.890594 54.560228 61.009842
0.800000 40.865573 45.421266 52.427571 52.864580 61.108320 65.074238
0.900000 46.781889 52.274776 60.168527 59.233217 65.839568 68.879116
1.000000 51.819622 61.113835 66.771252 65.636871 69.904905 72.286418
1.100000 58.212487 70.133441 72.606483 71.969851 74.703697 76.428168
1.200000 73.230974 75.615587 77.530783 77.271494 78.926951 80.424238
1.300000 78.176294 80.319736 81.675937 81.692128 83.206452 84.668826
1.400000 81.808195 84.127269 85.417751 85.506293 86.974052 89.221276
1.500000 86.160383 87.630049 89.133538 89.174554 90.670637 92.512072
1.600000 89.966926 91.380821 92.874772 93.005047 94.678118 97.010470
1.700000 93.608178 94.994141 96.836335 97.064814 99.194898 102.184654
