depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.040000 2.806268 3.557866 4.513982 4.534246 5.483434 6.371486
0.090000 10.516604 14.467925 16.275641 16.059470 17.900900 19.168842
0.190000 16.478203 17.973260 19.634574 19.749305 21.569619 23.690183
0.290000 19.317116 20.873330 22.584512 22.889601 25.062725 27.762270
0.390000 22.243748 23.720301 25.877575 26.197566 28.600457 32.490617
0.490000 25.147938 26.918652 29.099801 29.585101 32.030245 37.290554
0.590000 28.135309 30.263293 32.360293 32.939371 35.301245 40.517652
0.690000 31.112068 33.301701 35.365033 36.192401 40.084003 43.474785
0.790000 33.641350 35.895548 38.541174 39.215474 43.348627 46.112511
0.890000 35.868197 38.301891 41.942316 42.086765 46.104435 49.193216
0.990000 38.421568 40.996736 44.856904 44.840726 48.626659 51.337838
1.090000 40.820048 43.781032 47.609060 47.389681 50.842380 53.220335
1.190000 43.299243 46.595507 50.276071 49.914665 53.169683 55.270644
1.290000 46.574697 49.074461 52.848985 52.443606 55.308574 57.541508
1.390000 49.593451 52.006021 55.524084 55.150613 57.799272 59.856324
1.490000 51.936599 55.129027 58.362640 58.030104 60.604758 63.290550
1.590000 55.004512 58.668937 61.197580 61.120247 63.865969 66.511733
1.690000 58.081490 61.093424 63.711632 63.850162 66.985068 69.838164
1.790000 61.406189 64.103890 66.591071 66.817599 69.692812 73.138805
1.890000 64.537891 67.706224 71.238035 71.822681 75.694182 83.451931
1.990000 68.175629 72.224842 76.096108 77.168557 83.342159 89.460630
2.090000 74.835325 78.094440 80.787871 82.793818 90.025944 93.523533
2.190000 80.779726 82.772803 85.704616 88.157938 94.929005 97.327885
2.235000 83.377772 85.238419 88.989315 90.824576 97.224926 99.435580
