depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.020000 0.042146 0.234808 0.694057 0.781223 1.336009 1.938629
0.030000 0.170411 0.376145 0.850430 0.931337 1.492027 2.093534
0.040000 0.282438 0.493527 1.020487 1.077763 1.636108 2.232263
0.050000 0.391277 0.643437 1.189548 1.225899 1.784304 2.403062
0.060000 0.504323 0.784868 1.335541 1.375900 1.940168 2.506656
0.070000 0.598748 0.910599 1.517638 1.522814 2.124829 2.649192
0.080000 0.715346 1.045539 1.685740 1.675183 2.280805 2.787030
0.100000 0.924915 1.309159 2.009056 1.973923 2.597432 3.021385
0.120000 1.159178 1.555035 2.317781 2.269378 2.899598 3.322708
0.130000 1.259235 1.694204 2.487985 2.417989 3.054373 3.504572
0.140000 1.376531 1.823221 2.650040 2.566198 3.193299 3.621815
0.150000 1.517062 1.999394 2.801821 2.717891 3.348575 3.741512
0.170000 1.736549 2.307067 3.088069 3.006472 3.611126 4.043241
0.180000 1.852943 2.464959 3.219861 3.151003 3.744610 4.201818
0.200000 2.105963 2.800808 3.501168 3.425229 3.978650 4.480954
0.210000 2.199190 2.932452 3.644135 3.561700 4.091159 4.610019
0.220000 2.353518 3.098675 3.784621 3.696780 4.211508 4.735430
0.230000 2.499923 3.221194 3.927997 3.830546 4.334072 4.874169
0.240000 2.633127 3.384448 4.050285 3.962625 4.444176 5.006852
0.250000 2.786775 3.532361 4.179952 4.089037 4.556681 5.129689
0.260000 2.924951 3.681760 4.315985 4.216443 4.670158 5.225552
0.270000 3.117340 3.833818 4.447499 4.348644 4.785729 5.377649
0.280000 3.327054 3.967984 4.564059 4.477444 4.900994 5.506124
0.290000 3.460891 4.104921 4.687727 4.610442 5.028340 5.684070
0.300000 3.643350 4.221086 4.803047 4.735215 5.150448 5.788934
0.310000 3.805684 4.363414 4.931392 4.867089 5.288232 5.926921
0.320000 3.953585 4.532161 5.040873 5.001150 5.399696 6.066039
0.330000 4.099379 4.677578 5.159126 5.136662 5.537046 6.168466
0.340000 4.258197 4.855733 5.299102 5.279574 5.674914 6.289423
0.350000 4.487678 5.017894 5.438282 5.437134 5.852238 6.413524
0.360000 4.673926 5.184493 5.592557 5.604004 6.015539 6.520825
0.370000 4.883841 5.355268 5.758817 5.768561 6.197461 6.656455
0.380000 5.073216 5.563135 5.924580 5.938611 6.363373 6.791343
0.390000 5.301156 5.727316 6.090643 6.109899 6.553298 6.938919
0.400000 5.487216 5.900429 6.290086 6.300483 6.724659 7.099009
0.410000 5.682360 6.082282 6.472831 6.478145 6.899636 7.309932
0.420000 5.893527 6.274949 6.642758 6.652656 7.066067 7.473132
0.430000 6.059279 6.441215 6.808224 6.823483 7.215381 7.666965
0.440000 6.217678 6.613143 6.991715 7.004033 7.390683 7.821697
0.450000 6.476885 6.794333 7.160360 7.187569 7.590694 8.020219
0.460000 6.650888 6.965087 7.351449 7.374920 7.793658 8.215236
0.470000 6.843405 7.180489 7.554514 7.582070 7.990775 8.471749
0.480000 7.039807 7.382457 7.770977 7.792514 8.205125 8.693943
0.490000 7.246232 7.603695 8.002307 8.024657 8.434548 8.912679
0.500000 7.460723 7.853950 8.250563 8.267736 8.697475 9.201121
0.510000 7.771471 8.119132 8.516147 8.538900 8.977536 9.470656
0.520000 7.959448 8.330516 8.777895 8.793992 9.251873 9.701533
0.530000 8.182523 8.594214 9.039203 9.053773 9.522254 9.948201
0.540000 8.393304 8.845359 9.293614 9.311333 9.770939 10.289686
0.550000 8.693037 9.102710 9.582731 9.584345 10.035693 10.573275
0.560000 8.930138 9.356306 9.854771 9.851112 10.321947 10.854597
0.570000 9.171920 9.610963 10.127392 10.124150 10.598015 11.146891
0.580000 9.424774 9.900298 10.415737 10.408602 10.899766 11.464582
0.600000 10.351487 10.845282 11.352256 11.341767 11.825698 12.213010
0.610000 10.668304 11.201547 11.666455 11.654663 12.114271 12.489742
0.620000 10.979640 11.483446 11.926220 11.920943 12.360410 12.723611
0.630000 11.296299 11.774255 12.224145 12.191492 12.625539 12.970757
0.640000 11.643026 12.037254 12.488314 12.481205 12.911387 13.295025
0.650000 11.924702 12.337316 12.770629 12.759828 13.193356 13.571159
0.660000 12.172424 12.610447 13.055242 13.036048 13.443826 13.816794
0.670000 12.408007 12.858314 13.308476 13.281248 13.689445 14.034190
0.680000 12.584946 13.114179 13.536224 13.503869 13.898215 14.230001
0.700000 13.290314 13.666945 14.031226 14.017014 14.356301 14.679597
0.710000 13.515170 13.852009 14.224046 14.211587 14.568008 14.886219
0.720000 13.688565 14.043329 14.402013 14.394498 14.732611 15.051496
0.730000 13.882888 14.256116 14.581760 14.579563 14.897641 15.246005
0.740000 14.118502 14.423933 14.750358 14.745389 15.059910 15.394623
0.750000 14.245738 14.576699 14.902242 14.898744 15.222412 15.563190
0.760000 14.411362 14.748589 15.078891 15.067599 15.382111 15.710812
0.770000 14.587023 14.923178 15.252863 15.238812 15.554093 15.849601
0.780000 14.781864 15.089872 15.429834 15.423993 15.734154 16.059644
0.800000 15.079965 15.428831 15.765803 15.759760 16.087724 16.392425
0.810000 15.253465 15.609250 15.929442 15.927426 16.276759 16.564871
0.820000 15.409759 15.745395 16.088265 16.086451 16.427459 16.709034
0.830000 15.564081 15.881279 16.245091 16.249296 16.595394 16.858619
0.840000 15.669870 16.034248 16.425873 16.407728 16.765149 17.054338
0.850000 15.865582 16.165658 16.563318 16.547497 16.898985 17.182097
0.860000 15.979101 16.309452 16.726021 16.691961 17.031789 17.316701
0.870000 16.083085 16.471893 16.872504 16.836857 17.194159 17.436498
0.880000 16.264078 16.623618 17.019018 16.983095 17.330331 17.577340
0.900000 16.531817 16.918373 17.328110 17.285725 17.608144 17.890864
0.910000 16.638656 17.072286 17.462507 17.432335 17.753173 18.040620
0.920000 16.783631 17.237593 17.612396 17.576442 17.885285 18.162428
0.930000 16.903582 17.401790 17.757956 17.714420 18.028258 18.323178
0.940000 17.053020 17.521026 17.877679 17.839566 18.150525 18.449045
0.950000 17.153200 17.645608 17.998013 17.958952 18.262116 18.556367
0.960000 17.245690 17.760728 18.121881 18.075205 18.379003 18.700349
0.970000 17.317974 17.879654 18.235161 18.189056 18.503641 18.839627
0.980000 17.435685 17.978781 18.343273 18.302601 18.630545 18.965749
0.990000 17.534631 18.100815 18.451982 18.418297 18.770040 19.055681
1.000000 17.634067 18.223881 18.557733 18.529620 18.892312 19.151598
1.010000 17.735854 18.328552 18.651910 18.638914 19.014382 19.260525
1.020000 17.811645 18.430272 18.759659 18.745499 19.135242 19.387224
1.030000 17.913942 18.528240 18.861661 18.851542 19.244772 19.477575
1.040000 17.998350 18.622693 18.963966 18.958426 19.355191 19.583606
1.050000 18.106299 18.724687 19.065598 19.061944 19.470747 19.691073
1.060000 18.189863 18.822475 19.178728 19.166580 19.569727 19.803308
1.070000 18.277456 18.928573 19.296204 19.271443 19.672961 19.889489
1.080000 18.350556 19.045597 19.408178 19.378366 19.766367 20.009575
1.100000 18.494531 19.268052 19.622684 19.577954 19.952454 20.208650
1.110000 18.593176 19.380700 19.745216 19.683150 20.054063 20.313357
1.120000 18.683053 19.479882 19.869067 19.788480 20.148337 20.413290
1.130000 18.742718 19.591261 19.978135 19.896986 20.249827 20.521467
1.140000 18.800655 19.687446 20.087623 19.999923 20.343350 20.618396
1.150000 18.901662 19.776319 20.198967 20.101763 20.442909 20.713670
1.160000 19.014192 19.882733 20.293025 20.200568 20.528584 20.799743
1.170000 19.157841 19.983576 20.392203 20.298508 20.629154 20.893964
1.180000 19.260438 20.092430 20.498780 20.402125 20.720653 20.996688
1.190000 19.331861 20.187904 20.584583 20.498680 20.812736 21.092829
1.200000 19.418760 20.269799 20.677406 20.595622 20.908795 21.180208
