depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.020000 4.400866 5.036183 5.544572 5.505102 5.978842 6.396118
0.040000 5.000154 5.532454 5.933450 5.914515 6.338665 6.723483
0.060000 5.441480 5.897620 6.275051 6.276367 6.673066 6.986220
0.080000 5.839268 6.248054 6.618326 6.616610 6.994184 7.320079
0.100000 6.222974 6.599540 6.942036 6.943559 7.291947 7.602106
0.140000 6.769130 7.146846 7.505394 7.501016 7.851718 8.188290
0.200000 7.651842 7.947879 8.288124 8.305383 8.682267 9.038782
0.250000 8.310585 8.663172 9.033524 9.045574 9.432655 9.827633
0.300000 9.081652 9.460980 9.894099 9.905762 10.336355 10.756886
0.310000 9.311157 9.746700 10.286709 10.298776 10.822394 11.357101
0.350000 11.088660 12.002088 12.742087 12.672563 13.322424 13.904020
0.400000 13.433136 13.921910 14.383977 14.371616 14.853586 15.205903
0.410000 13.871931 14.322434 14.847618 14.824004 15.293457 15.709802
0.450000 15.257196 15.694028 16.143502 16.158836 16.581529 17.073396
0.500000 16.041507 16.456568 16.811902 16.832187 17.180747 17.780400
0.550000 16.779873 17.093317 17.390623 17.431602 17.735012 18.438444
0.600000 17.598487 17.938782 18.236842 18.312326 18.658609 19.549264
0.650000 18.210571 18.628387 19.065405 19.144911 19.650784 20.615229
0.700000 18.947868 19.364211 19.890233 20.003193 20.645970 21.705561
0.710000 19.132059 19.547152 20.071475 20.200393 20.876993 21.930032
0.750000 19.673453 20.145542 20.748343 20.860291 21.598410 22.672437
0.800000 20.383519 20.944015 21.630970 21.744773 22.518463 23.748529
0.900000 22.482957 23.424503 24.939076 25.447761 27.912457 29.643929
1.000000 29.977062 31.009881 32.316120 32.280355 33.533953 34.521284
