depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.400000 9.963365 10.710679 11.310752 11.293018 11.889909 12.492860
0.500000 11.040948 11.827492 12.417784 12.398045 13.000117 13.432777
0.600000 12.226931 12.888846 13.502632 13.488006 14.077329 14.650433
0.680000 13.125863 13.785484 14.341450 14.360140 14.979670 15.598627
0.800000 14.601818 15.209446 15.835017 15.901359 16.539814 17.642254
0.900000 15.909614 16.511666 17.194147 17.344556 18.170349 19.790277
0.980000 16.852124 17.520476 18.321023 18.498246 19.492370 21.255103
1.100000 18.135789 18.922383 20.021211 20.187641 21.358418 23.224689
1.200000 19.316896 20.312821 21.557520 21.702217 23.066827 24.963466
1.300000 20.520656 21.689140 23.104461 23.258836 24.843490 26.604712
1.400000 21.847539 23.123079 24.808473 24.894617 26.539316 28.829494
1.500000 23.334087 24.784215 26.638063 26.682586 28.518143 30.694898
1.600000 24.909274 26.464431 28.413035 28.522750 30.558812 32.766391
1.700000 26.588432 28.224599 30.285199 30.413865 32.618070 34.891229
1.800000 28.320535 29.965267 32.078401 32.286177 34.485518 37.431292
1.900000 29.998405 31.730268 33.909508 34.130467 36.572197 39.387259
2.000000 31.317383 33.391504 35.789958 35.933636 38.640319 41.117091
2.100000 33.208261 35.087870 37.667641 37.811289 40.575670 43.198022
2.200000 34.614345 36.753344 39.626402 39.611381 42.496376 45.252307
2.300000 36.046941 38.399432 41.516245 41.428840 44.288297 46.962511
2.400000 37.633286 40.298254 43.300313 43.220958 46.077578 48.619578
2.470000 38.822814 41.610127 44.696545 44.509301 47.377272 49.592079
2.580000 40.835886 43.814886 46.754464 46.499352 49.084790 51.373418
2.700000 43.014523 46.207202 48.757840 48.632850 51.120902 53.363547
2.800000 45.138401 48.250548 50.493356 50.427924 52.827980 54.874480
2.900000 46.880461 50.207250 52.297542 52.211740 54.560344 56.315481
3.000000 48.518681 51.980163 53.959149 53.892138 56.092141 57.880950
3.100000 50.546585 53.674168 55.702961 55.631214 57.839959 59.505030
3.200000 52.682495 55.320534 57.399788 57.310020 59.337328 60.999464
3.300000 54.863978 57.280589 59.226114 59.111463 61.023945 62.674971
3.400000 57.098212 59.218262 61.121025 60.992202 62.721920 64.195078
3.500000 59.369217 61.062635 62.948063 62.856509 64.589568 66.121275
3.600000 61.083215 63.059455 64.688091 64.642018 66.275578 67.713471
3.700000 63.102024 65.019823 66.463908 66.415901 67.896409 69.103224
3.800000 65.404413 67.009295 68.284021 68.255939 69.528585 70.686707
3.900000 67.918702 69.073297 70.178868 70.209217 71.357330 72.514966
3.970000 69.257044 70.291084 71.435477 71.486875 72.723494 73.912387
4.000000 69.784466 70.987036 72.157646 72.191016 73.457755 74.860231
4.100000 72.191023 73.219819 74.887219 75.142169 76.963184 78.982327
4.200000 74.824672 77.084958 79.740595 79.703078 81.409744 86.159079
4.300000 77.528604 80.656374 82.391630 82.677386 83.981180 93.899173
4.400000 79.491631 83.141340 84.630211 85.553603 87.706628 97.353244
4.500000 81.063759 86.048158 89.473903 89.918007 94.317033 98.918976
4.600000 82.866351 90.088228 94.852203 94.204919 98.170775 101.182052
4.700000 84.465938 93.315281 97.587659 96.886045 100.682097 103.622178
4.780000 86.302165 95.126217 99.463715 98.762617 102.626873 105.236911
4.900000 90.665413 97.560032 101.952464 101.426904 105.452962 108.047968
5.000000 93.658630 99.303722 104.036666 103.536821 107.422136 110.593354
5.100000 96.633601 101.317802 105.996701 105.656453 109.714440 112.508242
5.200000 99.022179 103.434382 108.327861 107.801673 111.812009 114.391653
5.300000 101.048593 106.050647 110.858542 110.085965 113.737118 116.042784
5.400000 102.873727 108.544638 113.280589 112.323550 115.659702 117.422927
5.500000 105.429223 111.442543 115.170289 114.469602 117.360918 119.029947
5.600000 108.937477 114.160926 117.156067 116.612465 119.101473 120.894242
5.700000 114.295297 116.877151 119.399278 119.170292 121.463420 122.961538
5.800000 116.318316 118.714665 121.387098 121.157299 123.589815 124.962521
5.900000 117.947743 120.493656 123.392753 123.044776 125.353525 126.780982
6.000000 119.576989 122.737320 125.407041 124.953151 127.054840 128.554389
6.100000 121.793472 124.947068 127.032759 126.774136 128.629778 129.932301
6.200000 125.022210 127.239117 128.879084 128.801700 130.480263 131.898099
6.280000 127.794535 129.252194 130.710685 130.744398 132.204039 133.889348
6.400000 130.715163 132.094052 133.637646 133.761137 135.298254 137.524952
6.500000 132.789528 134.443256 135.891452 136.044703 137.613948 140.543497
6.600000 134.844999 136.530032 138.160657 138.279130 139.915179 142.918418
6.700000 136.935916 138.514967 140.145741 140.350533 142.038549 145.379133
6.800000 138.722638 140.363663 142.218134 142.530598 144.575227 148.776915
6.900000 140.462956 142.144976 144.350322 144.869699 147.642641 152.238628
7.000000 142.013570 143.964691 146.441537 147.117553 150.873734 154.821596
7.100000 143.988127 145.952766 149.051413 149.593027 153.622321 157.560480
