depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.070000 2.217008 3.091470 3.932642 3.966200 4.876888 5.808822
0.170000 6.114224 7.272467 8.412404 8.414532 9.522148 10.976870
0.310000 12.700413 13.903272 14.983478 15.007881 16.068939 17.521583
0.380000 15.777484 17.107153 18.479021 18.704313 20.311780 22.338069
0.475000 18.949978 20.796663 22.895831 23.168988 25.686572 28.460798
0.570000 22.569304 24.902592 27.080178 27.547540 30.611896 33.198603
0.620000 24.745963 27.318833 29.779772 30.249856 33.618072 36.287759
0.715000 28.042798 30.672734 33.973445 34.139705 37.663869 40.993224
0.810000 31.330027 34.107057 38.132932 37.950734 41.684831 45.325254
0.860000 33.157853 36.140423 40.238681 40.037310 43.634590 47.722696
0.945000 36.550676 39.464806 43.367906 43.377397 47.041050 51.228234
1.030000 39.800039 42.896541 46.764705 46.721418 50.163300 54.376900
1.130000 43.920525 47.348156 50.759274 50.869732 54.270567 58.666039
1.210000 47.617716 51.160137 54.270452 54.399319 57.438536 62.338156
1.290000 51.984811 55.262911 58.116019 58.174650 60.669294 66.010502
1.400000 58.932601 61.597213 64.142180 64.378354 67.060052 71.250269
1.475000 62.803392 65.892096 68.657135 69.079364 71.767959 79.775155
1.550000 67.780555 70.669030 73.454036 74.139164 76.647797 88.509692
1.670000 74.467013 79.285244 82.419908 84.104232 89.093360 102.247827
1.810000 80.011418 88.711345 93.400896 95.266304 105.047740 113.200617
1.890000 83.543828 94.429538 99.078234 101.112438 113.514503 118.752297
1.980000 89.172404 99.256361 105.193880 107.312318 120.641854 124.366311
2.070000 96.436518 104.451234 111.460347 113.682272 127.106753 129.107458
2.140000 102.375936 109.112292 116.320826 119.216865 131.443465 133.823044
2.225000 110.429665 119.565435 131.758218 129.956999 139.436322 145.676355
2.310000 128.590247 132.242641 142.264925 140.607458 147.499573 152.483185
2.380000 132.571985 136.185201 147.502877 145.295022 151.871635 155.852631
2.510000 138.885422 144.015359 154.512626 152.520283 158.662486 162.511764
2.650000 144.884180 151.515498 161.191701 159.522928 165.414377 169.003528
2.790000 149.551171 160.240703 167.505642 166.152215 172.292227 175.157570
2.920000 153.835156 166.574229 172.311812 171.152144 176.750418 179.974229
3.010000 157.548441 170.202242 175.503393 174.335184 179.563670 182.936888
3.100000 161.458825 174.162052 178.623602 177.542290 182.351270 185.742272
3.180000 164.811848 177.165339 181.141881 180.208167 184.926589 187.861073
3.310000 172.976518 182.084655 184.917277 184.547436 188.594882 191.242550
3.410000 178.197259 185.589713 188.354980 188.043660 191.317209 193.923633
3.490000 183.599509 188.715342 191.236711 191.240095 194.094300 198.532013
3.570000 188.737278 191.701611 194.129569 194.517264 197.166679 202.786132
3.640000 191.333963 193.855875 196.468761 197.122136 200.895789 205.398707
3.725000 193.806819 196.459936 200.087160 200.510058 204.958070 208.170025
3.810000 196.026691 199.122981 204.143599 203.937090 208.668394 210.979455
3.860000 198.140685 200.993065 206.353440 205.952449 210.710586 212.850199
3.945000 201.272161 204.840255 210.045987 209.390146 213.455303 215.436045
4.030000 204.218815 208.992381 214.000597 212.997140 216.258303 218.051046
4.140000 208.852727 215.492453 218.691751 218.069436 220.643861 224.067814
4.215000 213.129943 218.716741 222.022054 221.640898 224.888795 228.207695
4.290000 217.755954 221.122489 225.492655 225.106741 228.745764 231.326222
4.410000 222.332294 225.895300 231.284951 230.435113 233.999080 236.440797
4.500000 225.430152 229.950400 236.680458 235.414924 239.377877 241.704670
4.590000 229.240119 234.326207 242.038033 240.303543 243.696493 245.536480
4.680000 232.969759 243.516013 245.554641 245.120915 247.529087 254.244987
4.810000 245.905688 248.080755 250.446074 251.127589 254.072038 262.277079
4.890000 248.686086 250.584944 253.172198 254.207233 257.933287 264.801548
4.980000 251.214213 253.538242 256.310322 257.637669 262.676489 268.368900
5.070000 254.073006 256.478893 259.741945 261.105072 267.166857 271.541163
5.200000 258.503564 261.013074 265.205803 266.132302 272.447096 275.098936
5.280000 261.810744 264.855856 269.179740 269.565736 274.935159 277.127701
5.390000 267.356688 270.997854 274.999970 274.649281 278.305426 280.459790
5.500000 274.830895 277.821524 280.116313 279.833947 281.595485 283.454573
5.600000 280.899939 282.805340 284.166148 284.203544 285.629982 287.160820
5.700000 284.938166 286.574579 288.096721 288.278110 289.972946 293.343262
5.800000 289.112641 290.674969 292.627868 293.168979 295.892042 299.865245
